Region,Codigo region,Provincia,Codigo provincia,provincia_residencia,fecha,positividad
Aysén,11,Aisén,112,Aisén,2020-03-19,
Aysén,11,Aisén,112,Aisén,2020-03-20,
Aysén,11,Aisén,112,Aisén,2020-03-21,
Aysén,11,Aisén,112,Aisén,2020-03-22,
Aysén,11,Aisén,112,Aisén,2020-03-23,
Aysén,11,Aisén,112,Aisén,2020-03-24,
Aysén,11,Aisén,112,Aisén,2020-03-25,
Aysén,11,Aisén,112,Aisén,2020-03-26,
Aysén,11,Aisén,112,Aisén,2020-03-27,
Aysén,11,Aisén,112,Aisén,2020-03-28,
Aysén,11,Aisén,112,Aisén,2020-03-29,
Aysén,11,Aisén,112,Aisén,2020-03-30,
Aysén,11,Aisén,112,Aisén,2020-03-31,
Aysén,11,Aisén,112,Aisén,2020-04-01,
Aysén,11,Aisén,112,Aisén,2020-04-02,
Aysén,11,Aisén,112,Aisén,2020-04-03,
Aysén,11,Aisén,112,Aisén,2020-04-04,
Aysén,11,Aisén,112,Aisén,2020-04-05,
Aysén,11,Aisén,112,Aisén,2020-04-06,
Aysén,11,Aisén,112,Aisén,2020-04-07,
Aysén,11,Aisén,112,Aisén,2020-04-08,
Aysén,11,Aisén,112,Aisén,2020-04-09,
Aysén,11,Aisén,112,Aisén,2020-04-10,
Aysén,11,Aisén,112,Aisén,2020-04-11,
Aysén,11,Aisén,112,Aisén,2020-04-12,
Aysén,11,Aisén,112,Aisén,2020-04-13,
Aysén,11,Aisén,112,Aisén,2020-04-14,
Aysén,11,Aisén,112,Aisén,2020-04-15,
Aysén,11,Aisén,112,Aisén,2020-04-16,
Aysén,11,Aisén,112,Aisén,2020-04-17,
Aysén,11,Aisén,112,Aisén,2020-04-18,
Aysén,11,Aisén,112,Aisén,2020-04-19,0.0
Aysén,11,Aisén,112,Aisén,2020-04-20,0.0
Aysén,11,Aisén,112,Aisén,2020-04-21,0.0
Aysén,11,Aisén,112,Aisén,2020-04-22,0.0
Aysén,11,Aisén,112,Aisén,2020-04-23,0.0
Aysén,11,Aisén,112,Aisén,2020-04-24,0.0
Aysén,11,Aisén,112,Aisén,2020-04-25,0.0
Aysén,11,Aisén,112,Aisén,2020-04-26,0.0
Aysén,11,Aisén,112,Aisén,2020-04-27,
Aysén,11,Aisén,112,Aisén,2020-04-28,
Aysén,11,Aisén,112,Aisén,2020-04-29,
Aysén,11,Aisén,112,Aisén,2020-04-30,
Aysén,11,Aisén,112,Aisén,2020-05-01,
Aysén,11,Aisén,112,Aisén,2020-05-02,
Aysén,11,Aisén,112,Aisén,2020-05-03,
Aysén,11,Aisén,112,Aisén,2020-05-04,
Aysén,11,Aisén,112,Aisén,2020-05-05,
Aysén,11,Aisén,112,Aisén,2020-05-06,
Aysén,11,Aisén,112,Aisén,2020-05-07,
Aysén,11,Aisén,112,Aisén,2020-05-08,0.0
Aysén,11,Aisén,112,Aisén,2020-05-09,0.0
Aysén,11,Aisén,112,Aisén,2020-05-10,0.0
Aysén,11,Aisén,112,Aisén,2020-05-11,0.0
Aysén,11,Aisén,112,Aisén,2020-05-12,0.008403361344537815
Aysén,11,Aisén,112,Aisén,2020-05-13,0.008403361344537815
Aysén,11,Aisén,112,Aisén,2020-05-14,0.008403361344537815
Aysén,11,Aisén,112,Aisén,2020-05-15,0.008403361344537815
Aysén,11,Aisén,112,Aisén,2020-05-16,0.008403361344537815
Aysén,11,Aisén,112,Aisén,2020-05-17,0.008403361344537815
Aysén,11,Aisén,112,Aisén,2020-05-18,0.008403361344537815
Aysén,11,Aisén,112,Aisén,2020-05-19,0.0
Aysén,11,Aisén,112,Aisén,2020-05-20,0.0
Aysén,11,Aisén,112,Aisén,2020-05-21,0.0
Aysén,11,Aisén,112,Aisén,2020-05-22,0.0
Aysén,11,Aisén,112,Aisén,2020-05-23,0.0
Aysén,11,Aisén,112,Aisén,2020-05-24,0.0
Aysén,11,Aisén,112,Aisén,2020-05-25,0.005102040816326529
Aysén,11,Aisén,112,Aisén,2020-05-26,0.0336734693877551
Aysén,11,Aisén,112,Aisén,2020-05-27,0.037432867883995705
Aysén,11,Aisén,112,Aisén,2020-05-28,0.04189715359828142
Aysén,11,Aisén,112,Aisén,2020-05-29,0.04189715359828142
Aysén,11,Aisén,112,Aisén,2020-05-30,0.04189715359828142
Aysén,11,Aisén,112,Aisén,2020-05-31,0.04189715359828142
Aysén,11,Aisén,112,Aisén,2020-06-01,0.03679511278195489
Aysén,11,Aisén,112,Aisén,2020-06-02,0.008223684210526315
Aysén,11,Aisén,112,Aisén,2020-06-03,0.004464285714285714
Aysén,11,Aisén,112,Aisén,2020-06-04,0.0
Aysén,11,Aisén,112,Aisén,2020-06-05,0.0
Aysén,11,Aisén,112,Aisén,2020-06-06,0.0
Aysén,11,Aisén,112,Aisén,2020-06-07,0.0
Aysén,11,Aisén,112,Aisén,2020-06-08,0.0
Aysén,11,Aisén,112,Aisén,2020-06-09,0.0
Aysén,11,Aisén,112,Aisén,2020-06-10,0.0075187969924812035
Aysén,11,Aisén,112,Aisén,2020-06-11,0.011983082706766915
Aysén,11,Aisén,112,Aisén,2020-06-12,0.011983082706766915
Aysén,11,Aisén,112,Aisén,2020-06-13,0.011983082706766915
Aysén,11,Aisén,112,Aisén,2020-06-14,0.011983082706766915
Aysén,11,Aisén,112,Aisén,2020-06-15,0.011983082706766915
Aysén,11,Aisén,112,Aisén,2020-06-16,0.011983082706766915
Aysén,11,Aisén,112,Aisén,2020-06-17,0.012186293436293436
Aysén,11,Aisén,112,Aisén,2020-06-18,0.007722007722007722
Aysén,11,Aisén,112,Aisén,2020-06-19,0.007722007722007722
Aysén,11,Aisén,112,Aisén,2020-06-20,0.007722007722007722
Aysén,11,Aisén,112,Aisén,2020-06-21,0.007722007722007722
Aysén,11,Aisén,112,Aisén,2020-06-22,0.007722007722007722
Aysén,11,Aisén,112,Aisén,2020-06-23,0.014215514215514216
Aysén,11,Aisén,112,Aisén,2020-06-24,0.006493506493506494
Aysén,11,Aisén,112,Aisén,2020-06-25,0.006493506493506494
Aysén,11,Aisén,112,Aisén,2020-06-26,0.011064935064935066
Aysén,11,Aisén,112,Aisén,2020-06-27,0.011064935064935066
Aysén,11,Aisén,112,Aisén,2020-06-28,0.017276115189158666
Aysén,11,Aisén,112,Aisén,2020-06-29,0.017276115189158666
Aysén,11,Aisén,112,Aisén,2020-06-30,0.014266929253143462
Aysén,11,Aisén,112,Aisén,2020-07-01,0.014266929253143462
Aysén,11,Aisén,112,Aisén,2020-07-02,0.014266929253143462
Aysén,11,Aisén,112,Aisén,2020-07-03,0.017632008618222828
Aysén,11,Aisén,112,Aisén,2020-07-04,0.017632008618222828
Aysén,11,Aisén,112,Aisén,2020-07-05,0.011420828493999226
Aysén,11,Aisén,112,Aisén,2020-07-06,0.014667581740752472
Aysén,11,Aisén,112,Aisén,2020-07-07,0.01118326118326118
Aysén,11,Aisén,112,Aisén,2020-07-08,0.017394441307484784
Aysén,11,Aisén,112,Aisén,2020-07-09,0.037802604572790915
Aysén,11,Aisén,112,Aisén,2020-07-10,0.03666881772471835
Aysén,11,Aisén,112,Aisén,2020-07-11,0.05254183359773422
Aysén,11,Aisén,112,Aisén,2020-07-12,0.05254183359773422
Aysén,11,Aisén,112,Aisén,2020-07-13,0.04929508035098097
Aysén,11,Aisén,112,Aisén,2020-07-14,0.06047520457458345
Aysén,11,Aisén,112,Aisén,2020-07-15,0.054264024450359855
Aysén,11,Aisén,112,Aisén,2020-07-16,0.03385586118505373
Aysén,11,Aisén,112,Aisén,2020-07-17,0.02705314009661836
Aysén,11,Aisén,112,Aisén,2020-07-18,0.011180124223602485
Aysén,11,Aisén,112,Aisén,2020-07-19,0.011180124223602485
Aysén,11,Aisén,112,Aisén,2020-07-20,0.011180124223602485
Aysén,11,Aisén,112,Aisén,2020-07-21,0.002645502645502645
Aysén,11,Aisén,112,Aisén,2020-07-22,0.002645502645502645
Aysén,11,Aisén,112,Aisén,2020-07-23,0.009788359788359787
Aysén,11,Aisén,112,Aisén,2020-07-24,0.009788359788359787
Aysén,11,Aisén,112,Aisén,2020-07-25,0.026271876271876275
Aysén,11,Aisén,112,Aisén,2020-07-26,0.04055759055759056
Aysén,11,Aisén,112,Aisén,2020-07-27,0.04293854293854294
Aysén,11,Aisén,112,Aisén,2020-07-28,0.04293854293854294
Aysén,11,Aisén,112,Aisén,2020-07-29,0.047020175591604166
Aysén,11,Aisén,112,Aisén,2020-07-30,0.04291683212655857
Aysén,11,Aisén,112,Aisén,2020-07-31,0.04291683212655857
Aysén,11,Aisén,112,Aisén,2020-08-01,0.026433315643042087
Aysén,11,Aisén,112,Aisén,2020-08-02,0.0121476013573278
Aysén,11,Aisén,112,Aisén,2020-08-03,0.013050721225964913
Aysén,11,Aisén,112,Aisén,2020-08-04,0.010405218580462266
Aysén,11,Aisén,112,Aisén,2020-08-05,0.008665506302108302
Aysén,11,Aisén,112,Aisén,2020-08-06,0.03788405714042578
Aysén,11,Aisén,112,Aisén,2020-08-07,0.04074119999756864
Aysén,11,Aisén,112,Aisén,2020-08-08,0.04074119999756864
Aysén,11,Aisén,112,Aisén,2020-08-09,0.04074119999756864
Aysén,11,Aisén,112,Aisén,2020-08-10,0.03745712774797915
Aysén,11,Aisén,112,Aisén,2020-08-11,0.03745712774797915
Aysén,11,Aisén,112,Aisén,2020-08-12,0.03887460586951249
Aysén,11,Aisén,112,Aisén,2020-08-13,0.010818222025652366
Aysén,11,Aisén,112,Aisén,2020-08-14,0.010228652864654634
Aysén,11,Aisén,112,Aisén,2020-08-15,0.010228652864654634
Aysén,11,Aisén,112,Aisén,2020-08-16,0.010228652864654634
Aysén,11,Aisén,112,Aisén,2020-08-17,0.010228652864654634
Aysén,11,Aisén,112,Aisén,2020-08-18,0.017747449857135836
Aysén,11,Aisén,112,Aisén,2020-08-19,0.018317055689899563
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-03-20,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-03-21,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-03-22,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-03-23,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-03-24,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-03-25,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-03-26,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-03-27,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-03-28,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-03-29,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-03-30,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-03-31,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-01,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-02,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-03,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-04,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-05,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-06,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-07,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-08,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-09,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-10,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-11,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-12,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-13,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-14,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-15,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-16,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-17,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-18,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-19,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-20,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-21,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-22,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-23,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-24,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-25,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-26,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-27,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-28,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-29,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-04-30,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-01,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-02,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-03,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-04,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-05,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-06,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-07,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-08,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-09,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-10,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-11,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-12,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-13,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-14,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-15,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-16,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-17,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-18,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-19,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-20,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-21,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-22,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-23,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-24,
Magallanes,12,Antártica Chilena,122,Antártica Chilena,2020-05-25,
