Grupo de edad,<=39,40-49,50-59,60-69,>=70
2020-04-01,23,23,53,39,35
2020-04-02,23,27,67,46,37
2020-04-03,26,34,74,56,47
2020-04-04,40,36,84,68,52
2020-04-05,40,40,89,75,63
2020-04-06,38,40,95,78,76
2020-04-07,39,38,101,82,77
2020-04-08,42,39,109,93,79
2020-04-09,46,48,102,89,75
2020-04-10,45,48,111,99,80
2020-04-11,43,50,111,100,79
2020-04-12,41,48,110,106,82
2020-04-13,40,45,112,106,84
2020-04-14,42,43,105,105,84
2020-04-15,42,45,107,110,85
2020-04-16,41,43,103,111,86
2020-04-17,38,44,109,107,87
2020-04-18,34,41,98,103,84
2020-04-19,38,40,96,111,88
2020-04-20,41,38,96,112,90
2020-04-21,41,42,97,121,91
2020-04-22,44,43,96,120,96
2020-04-23,55,40,99,120,97
2020-04-24,58,45,100,113,99
2020-04-25,61,40,102,114,101
2020-04-26,61,41,101,111,101
2020-04-27,63,39,105,112,107
2020-04-28,64,39,105,115,105
2020-04-29,58,36,105,108,111
2020-04-30,52,41,103,115,108
2020-05-01,50,44,108,115,111
2020-05-02,52,42,111,110,110
2020-05-03,55,45,118,117,114
2020-05-04,55,50,122,123,114
2020-05-05,54,50,115,130,121
2020-05-06,53,48,123,141,121
2020-05-07,53,52,127,138,123
2020-05-08,53,56,124,149,126
2020-05-09,59,66,134,154,131
2020-05-10,61,68,139,160,137
2020-05-11,62,73,136,166,137
2020-05-12,73,71,145,176,139
2020-05-13,77,75,152,188,150
2020-05-14,78,77,162,197,149
2020-05-15,82,84,182,213,150
2020-05-16,94,95,188,214,160
2020-05-17,95,94,196,217,167
2020-05-18,100,98,211,222,176
2020-05-19,110,111,231,242,182
2020-05-20,111,117,233,256,187
2020-05-21,120,117,247,266,193
2020-05-22,128,121,256,288,193
2020-05-23,132,127,280,318,205
2020-05-24,131,123,292,331,213
2020-05-25,136,128,307,345,219
2020-05-26,137,141,336,357,231
2020-05-27,135,145,369,366,236
2020-05-28,142,153,373,378,243
2020-05-29,137,162,395,410,246
2020-05-30,133,161,404,431,242
2020-05-31,130,160,403,439,251
2020-06-01,133,170,414,470,259
2020-06-02,140,173,414,472,252
2020-06-03,143,173,413,489,257
2020-06-04,135,179,424,486,272
2020-06-05,143,180,426,496,276
2020-06-06,144,181,427,499,273
2020-06-07,145,176,436,522,279
2020-06-08,147,184,440,527,283
2020-06-09,139,185,444,523,286
2020-06-10,142,189,447,519,293
2020-06-11,148,196,463,519,292
2020-06-12,152,207,467,526,295
2020-06-13,152,212,470,518,304
2020-06-14,153,216,488,544,314
2020-06-15,153,215,492,547,316
2020-06-16,154,223,490,550,310
2020-06-17,153,230,508,580,323
2020-06-18,162,238,516,595,334
2020-06-19,169,238,541,623,340
2020-06-20,172,254,548,630,347
2020-06-21,177,256,565,647,351
2020-06-22,179,259,559,661,356
2020-06-23,176,261,556,666,350
2020-06-24,175,262,557,689,363
2020-06-25,179,265,563,701,370
2020-06-26,176,256,568,721,365
2020-06-27,171,245,573,733,368
2020-06-28,171,244,572,763,379
2020-06-29,166,238,551,752,383
2020-06-30,165,241,555,755,390
2020-07-01,162,232,539,750,392
2020-07-02,172,232,544,766,385
2020-07-03,167,234,544,766,396
2020-07-04,161,229,540,755,392
2020-07-05,157,221,536,759,405
2020-07-06,156,215,522,765,411
2020-07-07,154,211,521,767,407
2020-07-08,142,216,514,759,422
2020-07-09,141,208,494,734,422
2020-07-10,142,210,488,726,424
2020-07-11,145,206,496,720,432
2020-07-12,143,198,498,723,433
2020-07-13,135,188,482,696,430
2020-07-14,139,191,471,686,428
2020-07-15,143,189,465,663,418
2020-07-16,132,181,451,643,414
2020-07-17,130,184,441,631,410
2020-07-18,130,187,433,633,409
2020-07-19,120,180,430,629,405
2020-07-20,121,180,423,623,406
2020-07-21,115,175,420,615,403
2020-07-22,112,169,396,597,414
2020-07-23,112,168,380,590,420
2020-07-24,117,157,365,566,431
2020-07-25,116,149,357,560,430
2020-07-26,116,144,347,547,438
2020-07-27,113,139,340,530,433
2020-07-28,113,137,332,520,427
2020-07-29,112,128,318,517,410
2020-07-30,99,129,309,509,417
2020-07-31,97,123,318,489,418
2020-08-01,97,123,318,489,418
2020-08-02,97,123,319,490,408
2020-08-03,94,120,314,487,404
2020-08-04,91,121,314,474,405
2020-08-05,90,121,319,468,402
2020-08-06,89,115,308,463,383
2020-08-07,98,112,302,461,375
2020-08-08,89,105,303,447,361
2020-08-09,78,106,304,432,356
2020-08-10,79,106,306,427,362
2020-08-11,73,106,301,422,366
2020-08-12,73,105,295,420,362
2020-08-13,71,105,293,435,355
2020-08-14,75,103,294,424,356
2020-08-15,70,96,283,412,346
2020-08-16,72,97,274,400,347
2020-08-17,74,98,265,397,343
2020-08-18,73,96,263,391,334
2020-08-19,69,88,251,383,329
2020-08-20,66,88,242,364,317
2020-08-21,68,90,240,360,314
2020-08-22,68,89,234,367,300
2020-08-23,65,88,225,357,292
2020-08-24,68,86,224,347,289
2020-08-25,66,87,223,345,290
2020-08-26,64,84,220,350,286
2020-08-27,59,86,225,352,290
2020-08-28,60,88,220,340,287
2020-08-29,59,81,210,325,284
