Date,PM10,Policy,Total Confirmed,New Cases,New Deaths,Recovered Population,Accumulative Deaths,Measured Current Infected,Population,CurrentInfected_pc,New_Cases_pc,Active_Cases_pc,retail_and_recreation_mob,grocery_and_pharmacy_mob,parks_percent_mob,transit_stations_mob,workplaces_mob,residential_mob,avg_mob,Nightlights_City,NightLights_Cidade de Deus,Nightlights_Pedra de Guaratiba,Nightlights_Copacabana,Night_lightsIpanema,Nightlights_Centro,Nightlights_Cidade Nova,Nightlights_Barra da Tijuca,Nightlights_Campo Grande
1,27.3614583333333,10,4,13,0,0,0,4,6718903,0.001934839660582,0.001934839660582,0.000595335280179,7,7,8,6,1,1,5,0.024,,0.105,,,,,0.085,0.025
2,25.2855944055944,10,9,29,0,0,0,9,6718903,0.004316180781297,0.004316180781297,0.001339504380403,3,8,6,13,20,-2,8,0.078,0.277,0.215,-0.075,-0.115,0.072,0.117,0.025,0.166
3,31.7879432624113,10,12,93,0,0,0,12,6718903,0.01384154526416,0.01384154526416,0.001786005840537,-1,1,4,11,15,-1,4.83333333333333,,,,,,,,,
4,30.2256028368794,10,13,49,0,0,0,13,6718903,0.007292857182192,0.007292857182192,0.001934839660582,1,3,-4,9,15,-2,3.66666666666667,-0.039,0.064,0.15,0.099,0.041,-0.084,-0.041,0.021,-0.052
5,28.7805555555556,10,21,58,0,0,0,21,6718903,0.008632361562594,0.008632361562594,0.003125510220939,-4,2,3,9,16,-1,4.16666666666667,-0.064,-0.032,-0.081,0.191,-0.192,0.12,0.05,0.01,-0.082
6,32.3593670886076,10,25,85,0,0,0,25,6718903,0.012650874703802,0.012650874703802,0.003720845501118,4,13,24,11,17,-2,11.1666666666667,-0.093,0.069,0.085,0.028,0.175,0.227,0.03,0.035,-0.149
7,28.5918848167539,10,30,122,0,0,0,30,6718903,0.018157726045457,0.018157726045457,0.004465014601342,-13,12,-13,-6,2,2,-2.66666666666667,0.046,0.072,0.093,0.035,0.099,0.068,-0.227,0.038,0.007
8,27.0910416666667,10,38,221,0,0,0,38,6718903,0.032892274229886,0.032892274229886,0.0056556851617,-23,3,-12,-12,-4,3,-7.5,0.173,0.154,0.41,0.118,-0.132,0.079,0.31,0.113,0.305
9,38.5212631578947,10,42,187,0,0,0,42,6718903,0.027831924348365,0.027831924348365,0.006251020441879,-19,10,-19,-13,-2,4,-6.5,0.008,-0.4,-0.538,-0.214,-0.036,-0.099,-0.014,-0.153,0.04
10,33.5938829787234,10,48,153,0,0,0,48,6718903,0.022771574466844,0.022771574466844,0.007144023362147,-37,0,-39,-29,-18,10,-18.8333333333333,-0.172,-0.23,-0.044,-0.025,-0.204,0.063,-0.234,-0.038,-0.21
11,30.8932085561497,7.5,51,147,0,0,0,51,6718903,0.021878571546575,0.021878571546575,0.007590524822281,-46,-4,-42,-38,-27,13,-24,0.119,,0.261,,,,,,
12,38.882688172043,7.5,60,175,0,0,0,60,6718903,0.026045918507828,0.026045918507828,0.008930029202684,-55,-11,-48,-45,-32,16,-29.1666666666667,-0.171,-0.153,-0.094,0.021,-0.2,0.092,-0.114,-0.053,-0.118
13,28.395,7.5,63,448,1,0,0,63,6718903,0.066677551380039,0.066677551380039,0.009376530662818,-57,-10,-49,-47,-36,17,-30.3333333333333,0.047,0.049,-0.044,0.039,,-0.125,-0.109,-0.16,0.055
14,17.2004069767442,7.5,63,268,0,0,1,62,6718903,0.039887463771988,0.039887463771988,0.009227696842773,-73,-25,-80,-61,-40,20,-43.1666666666667,0.072,,,,,,,,0.076
15,19.6416574585635,7.5,94,258,1,0,1,93,6718903,0.038399125571541,0.038399125571541,0.01384154526416,-77,-32,-81,-64,-40,19,-45.8333333333333,,,,,,,,,
16,21.8578571428571,7.5,103,347,2,0,2,101,6718903,0.051645335555522,0.051645335555522,0.015032215824518,-66,-18,-64,-62,-49,20,-39.8333333333333,0.054,0.055,0.087,,,,,0.105,0.065
17,20.0448167539267,7.5,170,267,2,0,4,166,6718903,0.039738629951943,0.039738629951943,0.024706414127425,-76,-36,-69,-69,-58,25,-47.1666666666667,0.017,0.055,0.027,,,,,0.075,0.039
18,25.6006770833333,7.5,214,401,1,16,6,192,6718903,0.059682361837937,0.059682361837937,0.028576093448588,-75,-32,-67,-69,-59,24,-46.3333333333333,-0.015,-0.317,0.052,-0.198,-0.031,-0.351,-0.15,-0.146,0.051
19,23.3988461538462,7.5,278,309,3,20,7,251,6718903,0.045989650393822,0.045989650393822,0.037357288831227,-75,-33,-65,-68,-57,25,-45.5,0.078,0.276,0.286,-0.215,-0.052,-0.188,0.125,-0.103,0.14
20,21.3301587301587,7.5,331,403,1,39,10,282,6718903,0.059980029478026,0.059980029478026,0.041971137252614,-71,-26,-56,-65,-55,24,-41.5,-0.102,0.015,0.064,-0.093,-0.017,-0.048,-0.035,-0.117,-0.129
21,23.1805376344086,7.5,368,421,0,48,11,309,6718903,0.062659038238832,0.062659038238832,0.045989650393822,-74,-28,-70,-62,-44,19,-43.1666666666667,-0.356,0.077,-0.025,0.013,-0.29,0.034,0.112,-0.195,-0.211
22,24.9285561497326,7.5,431,398,3,63,11,357,6718903,0.059235860377803,0.059235860377803,0.053133673755969,-76,-34,-74,-64,-40,18,-45,-0.305,-0.005,-0.041,0.204,0.254,0.187,0.131,-0.065,-0.195
23,28.3495789473684,7.5,489,508,1,74,14,401,6718903,0.075607580582723,0.075607580582723,0.059682361837937,-70,-28,-64,-64,-52,21,-42.8333333333333,-0.271,0.182,0.147,-0.009,-0.152,-0.009,-0.023,-0.148,-0.023
24,24.3297752808989,7.5,515,352,3,89,15,411,6718903,0.052389504655745,0.052389504655745,0.061170700038384,-70,-28,-63,-65,-55,23,-43,,,,,,,,,
25,22.5890322580645,7.5,553,755,2,94,18,441,6718903,0.112369534133772,0.112369534133772,0.065635714639726,-68,-21,-61,-64,-54,22,-41,-0.102,,,0.023,,-0.42,-0.018,-0.264,
26,24.7958115183246,7.5,583,611,4,113,20,450,6718903,0.09093746404733,0.09093746404733,0.066975219020129,-69,-24,-62,-64,-53,23,-41.5,-0.14,-0.127,-0.148,0.052,-0.005,-0.203,-0.143,0.042,-0.211
27,28.8901047120419,7.5,697,582,7,136,24,537,6718903,0.086621283266033,0.086621283266033,0.07992376136402,-68,-19,-71,-61,-52,23,-41.3333333333333,-0.266,-0.077,-0.146,0.113,0,0.243,0.055,-0.107,-0.145
28,31.0624083769634,7.5,807,660,5,154,31,622,6718903,0.098230321229522,0.098230321229522,0.092574636067822,-70,-17,-78,-57,-41,18,-40.8333333333333,-0.256,0.061,-0.089,0.008,-0.128,0.078,-0.012,-0.075,-0.066
29,37.9563586956522,7.5,867,788,2,175,36,656,6718903,0.117281050195248,0.117281050195248,0.097634985949343,-74,-27,-81,-60,-38,17,-43.8333333333333,0.121,0.164,0.212,0.076,-0.069,-0.052,-0.25,-0.132,0.134
30,43.4787931034483,7.5,982,656,4,204,38,740,6718903,0.097634985949343,0.097634985949343,0.110137026833101,-66,-19,-71,-59,-49,20,-40.6666666666667,-0.389,,-0.053,0.057,-0.281,-0.608,-0.568,-0.352,0.053
