Date,PM10,Policy,Total Confirmed,New Cases,New Deaths,Recovered Population,Accumulative Deaths,Measured Current Infected,Population,New_Cases_pc,Active_Cases_pc,retail_and_recreation_mob,grocery_and_pharmacy_mob,parks_percent_mob,transit_stations_mob,workplaces_mob,residential_mob,avg_mob
1,27.3614583333333,10,4,4,0,0,0,4,6718903,0.000595335280179,0.000595335280179,7,7,8,6,1,1,5
2,25.2855944055944,10,9,5,0,0,0,9,6718903,0.000744169100224,0.001339504380403,3,8,6,13,20,-2,8
3,31.7879432624113,10,12,3,0,0,0,12,6718903,0.000446501460134,0.001786005840537,-1,1,4,11,15,-1,4.83333333333333
4,30.2256028368794,10,13,1,0,0,0,13,6718903,0.000148833820045,0.001934839660582,1,3,-4,9,15,-2,3.66666666666667
5,28.7805555555556,10,21,8,0,0,0,21,6718903,0.001190670560358,0.003125510220939,-4,2,3,9,16,-1,4.16666666666667
6,32.3593670886076,10,25,4,0,0,0,25,6718903,0.000595335280179,0.003720845501118,4,13,24,11,17,-2,11.1666666666667
7,28.5918848167539,10,30,5,0,0,0,30,6718903,0.000744169100224,0.004465014601342,-13,12,-13,-6,2,2,-2.66666666666667
8,27.0910416666667,10,38,8,0,0,0,38,6718903,0.001190670560358,0.0056556851617,-23,3,-12,-12,-4,3,-7.5
9,38.5212631578947,10,42,4,0,0,0,42,6718903,0.000595335280179,0.006251020441879,-19,10,-19,-13,-2,4,-6.5
10,33.5938829787234,10,48,6,0,0,0,48,6718903,0.000893002920268,0.007144023362147,-37,0,-39,-29,-18,10,-18.8333333333333
11,30.8932085561497,7.5,51,3,0,0,0,51,6718903,0.000446501460134,0.007590524822281,-46,-4,-42,-38,-27,13,-24
12,38.882688172043,7.5,60,9,0,0,0,60,6718903,0.001339504380403,0.008930029202684,-55,-11,-48,-45,-32,16,-29.1666666666667
13,28.395,7.5,63,3,1,0,0,63,6718903,0.000446501460134,0.009376530662818,-57,-10,-49,-47,-36,17,-30.3333333333333
14,17.2004069767442,7.5,63,0,0,0,1,62,6718903,0,0.009227696842773,-73,-25,-80,-61,-40,20,-43.1666666666667
15,19.6416574585635,7.5,94,31,1,0,1,93,6718903,0.004613848421387,0.01384154526416,-77,-32,-81,-64,-40,19,-45.8333333333333
16,21.8578571428571,7.5,103,9,2,0,2,101,6718903,0.001339504380403,0.015032215824518,-66,-18,-64,-62,-49,20,-39.8333333333333
17,20.0448167539267,7.5,170,67,2,0,4,166,6718903,0.009971865942997,0.024706414127425,-76,-36,-69,-69,-58,25,-47.1666666666667
18,25.6006770833333,7.5,214,44,1,16,6,192,6718903,0.006548688081968,0.028576093448588,-75,-32,-67,-69,-59,24,-46.3333333333333
19,23.3988461538462,7.5,278,64,3,20,7,251,6718903,0.009525364482863,0.037357288831227,-75,-33,-65,-68,-57,25,-45.5
20,21.3301587301587,7.5,331,53,1,39,10,282,6718903,0.007888192462371,0.041971137252614,-71,-26,-56,-65,-55,24,-41.5
21,23.1805376344086,7.5,368,37,0,48,11,309,6718903,0.005506851341655,0.045989650393822,-74,-28,-70,-62,-44,19,-43.1666666666667
22,24.9285561497326,7.5,431,63,3,63,11,357,6718903,0.009376530662818,0.053133673755969,-76,-34,-74,-64,-40,18,-45
23,28.3495789473684,7.5,489,58,1,74,14,401,6718903,0.008632361562594,0.059682361837937,-70,-28,-64,-64,-52,21,-42.8333333333333
24,24.3297752808989,7.5,515,26,3,89,15,411,6718903,0.003869679321163,0.061170700038384,-70,-28,-63,-65,-55,23,-43
25,22.5890322580645,7.5,553,38,2,94,18,441,6718903,0.0056556851617,0.065635714639726,-68,-21,-61,-64,-54,22,-41
26,24.7958115183246,7.5,583,30,4,113,20,450,6718903,0.004465014601342,0.066975219020129,-69,-24,-62,-64,-53,23,-41.5
27,28.8901047120419,7.5,697,114,7,136,24,537,6718903,0.016967055485099,0.07992376136402,-68,-19,-71,-61,-52,23,-41.3333333333333
28,31.0624083769634,7.5,807,110,5,154,31,622,6718903,0.01637172020492,0.092574636067822,-70,-17,-78,-57,-41,18,-40.8333333333333
29,37.9563586956522,7.5,867,60,2,175,36,656,6718903,0.008930029202684,0.097634985949343,-74,-27,-81,-60,-38,17,-43.8333333333333
30,43.4787931034483,7.5,982,115,4,204,38,740,6718903,0.017115889305144,0.110137026833101,-66,-19,-71,-59,-49,20,-40.6666666666667
31,41.38390625,7.5,1068,86,5,213,42,813,6718903,0.012799708523847,0.121001895696366,-66,-18,-75,-60,-53,21,-41.8333333333333
32,22.168128342246,7.5,1110,42,12,232,47,831,6718903,0.006251020441879,0.123680904457171,-66,-14,-78,-61,-53,21,-41.8333333333333
33,25.2189361702128,7.5,1251,141,14,330,59,862,6718903,0.020985568626307,0.128294752878558,-62,1,-74,-58,-52,21,-37.3333333333333
34,29.4901058201058,7.5,1449,198,9,381,73,995,6718903,0.029469096368857,0.148089650944507,-79,-32,-79,-75,-73,28,-51.6666666666667
35,32.60078125,7.5,1633,184,10,424,82,1127,6718903,0.027385422888231,0.167735715190411,-69,-14,-83,-58,-43,19,-41.3333333333333
36,27.202380952381,7.5,1808,175,6,496,92,1220,6718903,0.026045918507828,0.181577260454571,-74,-26,-85,-59,-34,16,-43.6666666666667
37,24.88203125,7.5,1905,97,8,571,98,1236,6718903,0.014436880544339,0.183958601575287,-66,-26,-72,-60,-49,20,-42.1666666666667
38,25.7286033519553,7.5,1996,91,9,598,106,1292,6718903,0.013543877624071,0.192293295497792,-68,-30,-72,-62,-53,22,-43.8333333333333
39,31.6124607329843,7.5,2322,326,25,628,115,1579,6718903,0.048519825334582,0.235008601850629,-67,-23,-74,-62,-52,21,-42.8333333333333
40,31.2244198895028,7.5,2393,71,27,706,140,1547,6718903,0.010567201223176,0.230245919609198,-68,-25,-77,-63,-52,23,-43.6666666666667
41,23.6354891304348,7.5,2519,126,28,745,167,1607,6718903,0.018753061325636,0.239175948811882,-65,-19,-73,-60,-51,23,-40.8333333333333
42,25.3335329341317,7.5,2659,140,24,774,195,1690,6718903,0.020836734806262,0.251529155875595,-68,-19,-80,-57,-39,18,-40.8333333333333
43,22.7056886227545,7.5,2946,287,18,870,219,1857,6718903,0.042715306352838,0.276384403823065,-73,-27,-81,-61,-36,17,-43.5
44,20.0361363636364,7.5,3059,113,8,1119,237,1703,6718903,0.016818221665055,0.253463995536176,-62,-18,-72,-59,-49,19,-40.1666666666667
45,28.0519895287958,7.5,3127,68,12,1347,245,1535,6718903,0.010120699763042,0.228459913768661,-77,-44,-72,-76,-72,27,-52.3333333333333
46,28.9165680473373,7.5,3243,116,26,1359,257,1627,6718903,0.017264723125189,0.242152625212777,-63,-15,-72,-60,-51,20,-40.1666666666667
47,21.7132142857143,7.5,3587,344,20,1580,283,1724,6718903,0.051198834095387,0.256589505757115,-78,-41,-75,-75,-70,27,-52
48,19.6504191616766,7.5,3656,69,19,1775,303,1578,6718903,0.010269533583086,0.234859768030585,-65,-20,-69,-60,-50,22,-40.3333333333333
49,27.466582278481,7.5,4027,371,25,1888,322,1817,6718903,0.055217347236595,0.270431051021275,-69,-22,-77,-58,-38,18,-41
50,26.1462179487179,7.5,4091,64,20,1964,347,1780,6718903,0.009525364482863,0.26492419967962,-74,-29,-78,-63,-36,17,-43.8333333333333
51,23.5415568862275,7.5,4481,390,15,2394,367,1720,6718903,0.058045189817445,0.255994170476936,-65,-24,-72,-60,-48,20,-41.5
52,28.6081547619048,7.5,4498,17,23,2505,382,1611,6718903,0.00253017494076,0.239771284092061,-67,-27,-74,-62,-52,22,-43.3333333333333
53,32.1666285714286,7.5,5261,763,51,2824,405,2032,6718903,0.113560204694129,0.302430322330892,-66,-23,-72,-62,-51,21,-42.1666666666667
54,44.7603243243243,7.5,5554,293,40,3067,456,2031,6718903,0.043608309273106,0.302281488510848,-64,-14,-70,-59,-49,21,-39.1666666666667
55,51.0522994652406,7.5,5689,135,39,3467,496,1726,6718903,0.020092565706039,0.256887173397205,-78,-34,-70,-75,-71,28,-50
56,44.3695857988166,7.5,5903,214,39,3716,535,1652,6718903,0.031850437489572,0.245873470713895,-70,-20,-79,-59,-40,19,-41.5
