date,Chuva,Pres,RS,Temp,UR,Dir_Vento,Vel_Vento,SO2,NO2,HCNM,HCT,CH4,CO,NO,NOx,O3,PM10,PM2_5
2020-03-07,0.0,1013.9429166666667,192.69000000000003,25.140416666666667,76.24083333333334,228.95749999999998,1.0233333333333337,5.535,nan,nan,nan,nan,0.1395833333333333,nan,nan,23.10625,33.875,nan
2020-03-08,0.0,1014.2779166666666,195.17875,25.71541666666667,79.35375,234.8204166666667,1.265,6.415416666666665,nan,nan,nan,nan,0.07333333333333336,nan,nan,24.40958333333334,20.0,nan
2020-03-09,0.0,1015.7195833333334,185.5925,26.8775,76.73166666666667,216.02083333333334,1.1608333333333334,6.297391304347826,nan,nan,nan,nan,0.08083333333333333,nan,nan,31.623043478260865,21.958333333333332,nan
2020-03-10,0.0,1015.6433333333333,188.58375,26.902916666666666,79.22458333333331,215.64583333333334,1.1741666666666668,9.848333333333334,nan,nan,nan,nan,0.10875000000000003,nan,nan,25.605833333333333,26.875,nan
2020-03-11,0.0,1015.0970833333336,189.50625000000002,26.617916666666662,72.58791666666667,211.59041666666667,1.2541666666666667,7.152500000000001,nan,nan,nan,nan,0.04875000000000002,nan,nan,23.84916666666666,27.166666666666668,nan
2020-03-12,0.0,1015.8179166666667,188.68791666666667,26.40791666666667,75.73291666666667,225.18083333333334,1.214166666666667,8.717500000000001,nan,nan,nan,nan,0.04583333333333336,nan,nan,22.872083333333332,22.083333333333332,nan
2020-03-13,0.0,1015.3104166666667,187.33291666666665,27.73666666666666,78.53416666666668,211.83333333333334,1.0791666666666668,9.417083333333334,nan,nan,nan,nan,0.09416666666666666,nan,nan,19.75,25.541666666666668,nan
2020-03-14,0.0,1015.7120833333333,174.1525,28.067916666666672,80.72000000000001,207.83333333333334,1.1079166666666667,5.802916666666666,nan,nan,nan,nan,0.06625000000000002,nan,nan,22.817916666666665,19.083333333333332,nan
2020-03-15,0.0,1013.2479166666667,180.45791666666665,29.639583333333334,72.43750000000001,182.48041666666668,0.8512500000000002,12.420833333333333,nan,nan,nan,nan,0.08958333333333335,nan,nan,29.294583333333332,20.458333333333332,nan
2020-03-16,0.0,1011.5370833333333,184.2225,30.43291666666667,66.96374999999999,194.60416666666666,0.8483333333333335,13.263333333333334,nan,nan,nan,nan,0.08541666666666668,nan,nan,41.39291666666667,31.541666666666668,nan
2020-03-17,0.008333333333333333,1013.2308333333334,87.79250000000002,27.93833333333333,75.73291666666667,187.95125,0.9074999999999999,9.975000000000003,nan,nan,nan,nan,0.07625000000000003,nan,nan,45.11416666666667,30.5,nan
2020-03-18,0.0,1013.1808333333333,178.38916666666668,27.279583333333324,82.97291666666668,218.40333333333334,1.2241666666666666,3.3999999999999995,nan,nan,nan,nan,0.10208333333333336,nan,nan,40.06916666666667,27.291666666666668,nan
2020-03-19,0.0,1008.1583333333333,172.97166666666666,29.5275,74.03416666666665,187.25041666666667,0.7133333333333334,19.840416666666666,nan,nan,nan,nan,0.13875,nan,nan,43.29249999999999,38.72727272727273,nan
2020-03-20,0.525,1006.2391666666667,108.13124999999998,29.308750000000003,68.82083333333334,183.79208333333335,0.89875,5.56375,nan,nan,nan,nan,0.10791666666666667,nan,nan,48.29083333333333,24.583333333333332,nan
2020-03-21,0.7666666666666666,1011.1720833333333,42.31958333333333,24.142083333333332,97.66708333333332,147.85333333333332,0.77,4.114583333333334,nan,nan,nan,nan,0.10833333333333338,nan,nan,28.112916666666667,14.625,nan
2020-03-22,0.049999999999999996,1016.0641666666666,75.18750000000001,24.47375,87.25083333333333,197.45166666666668,0.7800000000000001,9.927083333333332,nan,nan,nan,nan,0.04541666666666668,nan,nan,34.03291666666667,16.041666666666668,nan
2020-03-23,0.041666666666666664,1018.7249999999999,176.68791666666667,24.941249999999997,76.77416666666666,222.84666666666666,0.8570833333333336,7.354166666666669,nan,nan,nan,nan,0.029166666666666678,nan,nan,29.27,15.291666666666666,nan
2020-03-24,0.0,1018.015,148.09041666666667,24.271666666666672,77.40916666666665,223.1525,0.8620833333333332,8.16125,nan,nan,nan,nan,0.03125000000000001,nan,nan,23.929999999999996,16.208333333333332,nan
2020-03-25,0.0,1016.3149999999999,182.44083333333333,24.56625,75.68999999999998,215.86083333333332,0.9595833333333332,8.935833333333333,nan,nan,nan,nan,0.030000000000000002,nan,nan,32.559999999999995,17.458333333333332,nan
2020-03-26,0.0,1015.8274999999999,179.69375,24.844166666666666,76.55083333333333,217.31333333333336,1.0458333333333334,8.976666666666667,nan,nan,nan,nan,0.036666666666666674,nan,nan,32.447500000000005,15.958333333333334,nan
2020-03-27,0.0,1015.5204166666664,181.49125,25.847083333333334,76.23,218.33249999999998,1.096666666666667,6.9575000000000005,nan,nan,nan,nan,0.03416666666666668,nan,nan,31.21625,15.0,nan
2020-03-28,0.0,1016.4074999999999,173.41291666666666,26.496666666666666,75.20666666666666,224.0625,1.06375,5.33625,nan,nan,nan,nan,0.03250000000000001,nan,nan,35.488749999999996,18.708333333333332,nan
2020-03-29,0.06666666666666667,1016.4245833333335,171.39999999999998,26.917916666666667,79.91000000000001,223.20125,1.0837499999999998,9.235833333333334,nan,nan,nan,nan,0.035416666666666666,nan,nan,32.973749999999995,20.125,nan
2020-03-30,0.125,1015.0875,86.20833333333333,26.095833333333335,89.08166666666666,216.11833333333334,0.8241666666666666,13.88583333333333,nan,nan,nan,nan,0.07750000000000003,nan,nan,38.18874999999999,27.25,nan
