Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
Codigo region,2,2,2,2,2,2,2,2,2,15,15,15,15,3,3,3,3,3,3,3,3,3,11,11,11,11,11,11,11,11,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Comuna,Antofagasta,Calama,María Elena,Mejillones,Ollagüe,San Pedro de Atacama,Sierra Gorda,Taltal,Tocopilla,Arica,Camarones,General Lagos,Putre,Alto del Carmen,Caldera,Chañaral,Copiapó,Diego de Almagro,Freirina,Huasco,Tierra Amarilla,Vallenar,Aysen,Chile Chico,Cisnes,Cochrane,Coihaique,Guaitecas,Lago Verde,Río Ibáñez,Tortel,Alto Biobío,Antuco,Arauco,Cabrero,Cañete,Chiguayante,Concepción,Contulmo,Coronel,Curanilahue,Florida,Hualpén,Hualqui,Laja,Lebu,Los Alamos,Los Angeles,Lota,Mulchén,Nacimiento,Negrete,Penco,Quilaco,Quilleco,San Pedro de la Paz,San Rosendo,Santa Bárbara,Santa Juana,Talcahuano,Tirúa,Tomé,Tucapel,Yumbel,Andacollo,Canela,Combarbalá,Coquimbo,Illapel,La Higuera,La Serena,Los Vilos,Monte Patria,Ovalle,Paiguano,Punitaqui,Río Hurtado,Salamanca,Vicuña,Angol,Carahue,Cholchol,Collipulli,Cunco,Curacautín,Curarrehue,Ercilla,Freire,Galvarino,Gorbea,Lautaro,Loncoche,Lonquimay,Los Sauces,Lumaco,Melipeuco,Nueva Imperial,Padre Las Casas,Perquenco,Pitrufquén,Pucón,Purén,Renaico,Saavedra,Temuco,Teodoro Schmidt,Toltén,Traiguén,Victoria,Vilcún,Villarrica,Chimbarongo,Chépica,Codegua,Coinco,Coltauco,Doñihue,Graneros,La Estrella,Las Cabras,Litueche,Lolol,Machalí,Malloa,Marchihue,Mostazal,Nancagua,Navidad,Olivar,Palmilla,Paredones,Peralillo,Peumo,Pichidegua,Pichilemu,Placilla,Pumanque,Quinta de Tilcoco,Rancagua,Rengo,Requínoa,San Fernando,San Vicente,Santa Cruz,Ancud,Calbuco,Castro,Chaitén,Chonchi,Cochamó,Curaco de Vélez,Dalcahue,Fresia,Frutillar,Futaleufú,Hualaihué,Llanquihue,Los Muermos,Maullín,Osorno,Palena,Puerto Montt,Puerto Octay,Puerto Varas,Puqueldón,Purranque,Puyehue,Queilén,Quellón,Quemchi,Quinchao,Río Negro,San Juan de la Costa,San Pablo,Corral,Futrono,La Unión,Lago Ranco,Lanco,Los Lagos,Mariquina,Máfil,Paillaco,Panguipulli,Río Bueno,Valdivia,Cabo de Hornos,Laguna Blanca,Natales,Porvenir,Primavera,Punta Arenas,Río Verde,San Gregorio,Timaukel,Torres del Paine,Cauquenes,Chanco,Colbún,Constitución,Curepto,Curicó,Empedrado,Hualañé,Licantén,Linares,Longaví,Maule,Molina,Parral,Pelarco,Pelluhue,Pencahue,Rauco,Retiro,Romeral,Río Claro,Sagrada Familia,San Clemente,San Javier,San Rafael,Talca,Teno,Vichuquén,Villa Alegre,Yerbas Buenas,Alhué,Buin,Calera de Tango,Cerrillos,Cerro Navia,Colina,Conchalí,Curacaví,El Bosque,El Monte,Estación Central,Huechuraba,Independencia,Isla de Maipo,La Cisterna,La Florida,La Granja,La Pintana,La Reina,Lampa,Las Condes,Lo Barnechea,Lo Espejo,Lo Prado,Macul,Maipú,María Pinto,Melipilla,Padre Hurtado,Paine,Pedro Aguirre Cerda,Peñaflor,Peñalolén,Pirque,Providencia,Pudahuel,Puente Alto,Quilicura,Quinta Normal,Recoleta,Renca,San Bernardo,San Joaquín,San José de Maipo,San Miguel,San Pedro,San Ramón,Santiago,Talagante,Tiltil,Vitacura,Ñuñoa,Alto Hospicio,Camiña,Colchane,Huara,Iquique,Pica,Pozo Almonte,Algarrobo,Cabildo,Calera,Calle Larga,Cartagena,Casablanca,Catemu,Concón,El Quisco,El Tabo,Hijuelas,Isla de Pascua,Juan Fernández,La Cruz,La Ligua,Limache,Llaillay,Los Andes,Nogales,Olmué,Panquehue,Papudo,Petorca,Puchuncaví,Putaendo,Quillota,Quilpué,Quintero,Rinconada,San Antonio,San Esteban,San Felipe,Santa María,Santo Domingo,Valparaíso,Villa Alemana,Viña del Mar,Zapallar,Bulnes,Chillán,Chillán Viejo,Cobquecura,Coelemu,Coihueco,El Carmen,Ninhue,Pemuco,Pinto,Portezuelo,Quillón,Quirihue,Ranquil,San Carlos,San Fabián,San Ignacio,San Nicolás,Treguaco,Yungay,Ñiquén
Codigo comuna,2101,2201,2302,2102,2202,2203,2103,2104,2301,15101,15102,15202,15201,3302,3102,3201,3101,3202,3303,3304,3103,3301,11201,11401,11202,11301,11101,11203,11102,11402,11303,8314,8302,8202,8303,8203,8103,8101,8204,8102,8205,8104,8112,8105,8304,8201,8206,8301,8106,8305,8306,8307,8107,8308,8309,8108,8310,8311,8109,8110,8207,8111,8312,8313,4103,4202,4302,4102,4201,4104,4101,4203,4303,4301,4105,4304,4305,4204,4106,9201,9102,9121,9202,9103,9203,9104,9204,9105,9106,9107,9108,9109,9205,9206,9207,9110,9111,9112,9113,9114,9115,9208,9209,9116,9101,9117,9118,9210,9211,9119,9120,6303,6302,6102,6103,6104,6105,6106,6202,6107,6203,6304,6108,6109,6204,6110,6305,6205,6111,6306,6206,6307,6112,6113,6201,6308,6309,6114,6101,6115,6116,6301,6117,6310,10202,10102,10201,10401,10203,10103,10204,10205,10104,10105,10402,10403,10107,10106,10108,10301,10404,10101,10302,10109,10206,10303,10304,10207,10208,10209,10210,10305,10306,10307,14102,14202,14201,14203,14103,14104,14106,14105,14107,14108,14204,14101,12201,12102,12401,12301,12302,12101,12103,12104,12303,12402,7201,7202,7402,7102,7103,7301,7104,7302,7303,7401,7403,7105,7304,7404,7106,7203,7107,7305,7405,7306,7108,7307,7109,7406,7110,7101,7308,7309,7407,7408,13502,13402,13403,13102,13103,13301,13104,13503,13105,13602,13106,13107,13108,13603,13109,13110,13111,13112,13113,13302,13114,13115,13116,13117,13118,13119,13504,13501,13604,13404,13121,13605,13122,13202,13123,13124,13201,13125,13126,13127,13128,13401,13129,13203,13130,13505,13131,13101,13601,13303,13132,13120,1107,1402,1403,1404,1101,1405,1401,5602,5402,5502,5302,5603,5102,5702,5103,5604,5605,5503,5201,5104,5504,5401,5802,5703,5301,5506,5803,5704,5403,5404,5105,5705,5501,5801,5107,5303,5601,5304,5701,5706,5606,5101,5804,5109,5405,16102,16101,16103,16202,16203,16302,16104,16204,16105,16106,16205,16107,16201,16206,16301,16304,16108,16305,16207,16109,16303
Superficie_km2,30683.5,15533.2,12330.1,3576.07,2925.54,23602.2,12883.0,20412.1,4120.83,4799.66,3922.22,2257.22,5885.18,6155.88,3680.47,5758.87,17782.9,18969.2,3222.55,1602.25,11251.1,7226.86,29879.3,5739.01,15418.3,8629.21,7280.46,631.38,5440.42,6019.41,19977.3,2124.77,1957.43,959.62,657.03,1088.57,71.4,220.2,638.95,281.27,1002.76,605.89,53.77,535.85,345.18,564.34,600.38,1749.02,114.69,1922.24,904.52,155.33,108.38,1124.64,1118.68,112.86,94.45,1251.76,777.43,92.55,626.54,494.32,914.28,727.1,514.2,2196.81,2296.04,1431.77,2629.06,4165.74,1901.22,1859.5,4211.35,3546.21,1513.94,1092.42,2204.5,3445.76,7579.04,1197.32,1336.81,427.14,1306.73,1890.34,1658.66,1167.15,498.91,870.08,567.86,690.43,906.29,971.27,3928.81,848.07,1109.98,1107.69,730.73,463.83,331.03,583.25,1248.06,463.96,265.49,398.35,466.89,656.17,851.8,897.07,1262.59,1416.48,1292.66,509.03,477.33,284.17,97.34,222.02,80.47,112.45,431.44,751.28,613.64,596.92,2593.18,220.65,657.65,525.72,151.21,301.4,44.22,235.79,572.51,283.03,155.15,319.47,715.89,144.4,441.31,86.75,260.94,585.04,677.18,2321.18,484.76,393.53,1754.07,587.38,471.38,8256.01,1361.08,3981.1,79.85,1229.21,1275.62,828.25,1236.22,2834.53,433.02,1229.62,822.95,954.57,2656.01,1670.35,1793.82,4028.8,96.58,1451.58,1635.28,330.88,3360.3,438.3,158.73,1281.02,1506.02,629.94,729.42,2090.51,2131.24,1763.14,533.04,1788.82,1319.22,579.15,901.57,3297.47,2172.28,1018.32,15720.3,3567.32,48938.2,7457.05,3946.46,17771.4,9147.57,6706.74,11011.8,6215.16,2126.16,528.01,2926.88,1339.62,1070.81,1334.33,565.5,629.36,273.01,1466.62,1453.37,243.05,1516.82,1638.81,330.93,369.56,956.23,306.73,827.42,1602.87,434.71,554.88,4500.58,1312.57,261.97,232.05,618.52,452.0,188.67,259.03,844.43,217.03,73.22,16.82,11.05,970.86,10.94,694.1,14.25,115.97,14.37,44.98,7.35,189.62,10.01,71.04,10.05,30.47,23.39,449.52,99.06,1023.61,8.25,6.54,12.81,136.8,394.3,1352.65,80.64,677.52,8.73,69.42,53.89,444.71,14.44,198.57,88.39,57.32,11.8,15.61,23.68,153.85,9.94,4982.37,9.63,793.11,6.31,23.18,125.23,654.65,28.59,16.89,571.19,2199.83,4007.84,10472.5,2289.53,8982.12,13765.8,176.3,1455.15,59.97,321.23,243.86,954.63,361.85,76.93,51.64,99.58,268.15,163.83,110.55,77.86,1163.02,294.88,348.83,1233.75,405.49,231.32,121.26,167.12,1515.74,299.68,1451.23,301.24,536.48,146.06,122.82,400.04,1374.51,186.82,165.71,536.92,310.87,96.37,120.56,288.27,426.4,477.58,262.61,569.21,342.32,1771.65,666.04,403.19,563.26,1102.7,289.24,406.52,589.85,247.42,877.81,1541.59,363.25,565.94,313.0,824.72,492.34
Poblacion,425725.0,190336.0,6814.0,14776.0,287.0,10434.0,1746.0,13657.0,28079.0,247552.0,1233.0,810.0,2515.0,5729.0,19426.0,13164.0,171766.0,14358.0,7681.0,11264.0,14312.0,57009.0,25002.0,5121.0,5828.0,3685.0,61210.0,1599.0,920.0,2699.0,572.0,6775.0,4306.0,38679.0,30725.0,37003.0,91180.0,238092.0,6330.0,125829.0,33892.0,11841.0,97273.0,26201.0,23873.0,27100.0,22524.0,218515.0,45750.0,31041.0,27944.0,10429.0,49865.0,4179.0,10032.0,145906.0,3611.0,14592.0,14779.0,158345.0,11019.0,58729.0,15205.0,22132.0,11791.0,9546.0,13884.0,256735.0,32801.0,4450.0,249656.0,23374.0,32527.0,121269.0,4675.0,12165.0,4372.0,29110.0,29741.0,56058.0,25486.0,12341.0,26148.0,18055.0,18178.0,7802.0,8458.0,25446.0,12633.0,15148.0,40746.0,24739.0,11049.0,7517.0,10050.0,6265.0,33777.0,82110.0,7223.0,26096.0,29782.0,12188.0,10833.0,12793.0,302931.0,15786.0,10055.0,19314.0,35467.0,30766.0,59103.0,37696.0,15925.0,14096.0,7831.0,21263.0,22700.0,36504.0,3114.0,26749.0,6765.0,7289.0,59913.0,14163.0,7632.0,27462.0,19141.0,6904.0,14624.0,13299.0,6349.0,11848.0,14952.0,20743.0,17882.0,9164.0,3531.0,13877.0,265211.0,63710.0,30371.0,78642.0,50617.0,41096.0,42458.0,36744.0,47607.0,5020.0,16013.0,4006.0,4066.0,15069.0,12656.0,20223.0,2806.0,9525.0,18621.0,17817.0,14894.0,173410.0,1827.0,269398.0,9192.0,48620.0,4201.0,21080.0,11787.0,5543.0,29309.0,8783.0,8298.0,14275.0,7639.0,10553.0,5447.0,15261.0,39538.0,10292.0,17652.0,20518.0,23250.0,7389.0,20798.0,35991.0,32925.0,176774.0,1983.0,264.0,23782.0,7323.0,694.0,141984.0,211.0,681.0,282.0,1021.0,44143.0,9331.0,22565.0,50348.0,9426.0,163626.0,4206.0,10222.0,6989.0,101073.0,32810.0,60000.0,49800.0,44544.0,9083.0,8092.0,8601.0,11248.0,21071.0,16170.0,14753.0,19469.0,46292.0,49451.0,9959.0,236724.0,30850.0,4381.0,17512.0,19200.0,7405.0,109641.0,28525.0,88956.0,142465.0,180353.0,139195.0,36430.0,172000.0,40014.0,206792.0,112528.0,142065.0,40171.0,100434.0,402433.0,122557.0,189335.0,100252.0,126898.0,330759.0,124076.0,103865.0,104403.0,134635.0,578605.0,14926.0,141612.0,74188.0,82766.0,107803.0,101058.0,266798.0,30433.0,157749.0,253139.0,645909.0,254694.0,136368.0,190075.0,160847.0,334836.0,103485.0,18644.0,133059.0,11953.0,86510.0,503147.0,81838.0,21477.0,96774.0,250192.0,129999.0,1375.0,1583.0,3000.0,223463.0,5958.0,17395.0,15174.0,20663.0,53591.0,16482.0,25357.0,29170.0,15213.0,45889.0,17742.0,14338.0,19099.0,8277.0,1033.0,25321.0,37739.0,49931.0,26533.0,68093.0,23490.0,19266.0,7633.0,6201.0,10558.0,20071.0,17645.0,97572.0,167085.0,36135.0,11263.0,96761.0,20643.0,83494.0,16367.0,11934.0,315732.0,139310.0,361371.0,7994.0,22607.0,198624.0,33827.0,5275.0,16845.0,28375.0,12334.0,5414.0,8639.0,11880.0,4940.0,18777.0,12192.0,6261.0,56252.0,4654.0,16624.0,12172.0,5696.0,18596.0,11567.0
2020-02-26,0.140714847339453,0.14496705294251305,1.6203485633537449,2.282474226804124,0.4705882352941176,0.11478599221789886,1.4163564308874743,0.08475336322869956,0.5666666666666667,0.055377475369215945,28.54878048780488,0.4181818181818182,1.377049180327869,0.3093764873869585,2.17150979153506,1.1627629063097515,0.5956488021630233,0.377124483233808,3.4872241579558656,2.8470588235294123,2.1950251793071875,0.8382725832012679,0.5117632178092588,0.7341935483870967,0.33313069908814585,0.5077881619937694,0.2223844700223329,0.3843137254901961,5.13855421686747,5.450292397660818,4.6,0.5542797494780793,6.084225900681598,2.055917238919112,4.537882957255549,2.319398363193984,2.7001082341187246,4.349365502114994,5.679226069246436,1.7057523064495557,1.6912037037037035,6.038281706604326,7.131125380196012,3.564475347661189,8.355658198614318,1.3946524064171122,2.4705518945634264,1.3125938179701622,4.559508196721312,3.41827885256838,2.058535327488396,3.854134762633997,5.727838082315693,1.95800395256917,4.7794037940379415,4.0912841670964415,3.9161862527716185,9.190217391304348,2.437258153676064,4.711764705882351,2.320397539044013,2.920221740178357,2.4181848852901484,3.0886366901307283,6.228179143510952,8.945637119113574,1.4970777323202804,2.7900763358778624,1.0559387934278188,4.215638659543466,2.378376539429816,1.1501562875691271,0.9674348251623809,1.1462489609310058,3.1889372280919828,3.948231574787592,1.3101673101673104,0.42915944540727896,1.365100087032202,1.2564285714285712,3.745578016424511,4.924291352709006,3.1952825013713664,1.3817149807419422,0.9782608695652174,1.8842105263157896,11.430075187969926,10.017742933773471,2.8046774608069907,8.131310003096935,5.262755421837784,3.3651399491094147,0.3418118466898955,4.9692307692307685,2.4438559322033897,0.9276952872821176,3.3882565492321586,5.4932730820581295,15.356862745098038,6.21316007741222,1.9760723860589813,2.1423097974822114,2.9567515617491584,6.911731207289294,1.6429174841944625,3.794463087248322,1.6171929824561404,2.441615750169721,3.091746568903929,5.3755297791657375,1.890431030973992,4.477316490795657,3.763447432762837,5.129944857348359,12.043619791666664,2.4773974814336457,4.4136356718916465,4.95461594971839,6.7680288461538485,1.985136042996305,3.1885668916236605,8.989147286821705,2.8356250561696767,17.011606140022465,7.682515337423313,5.028919761837256,5.459420521850488,0.6657263751763047,11.676701239564887,4.776684702410231,1.4495816820783796,8.373098285438301,5.306045704367949,9.321059972105997,1.1730299040812489,7.4390557939914155,9.510940272028384,7.861145320197044,2.0100269881606683,4.250849762066622,9.848194776818227,2.902338029591476,3.7635545734354037,2.6222625895650418,1.63855116514691,4.342032511334734,1.544824170381377,1.4318826868495742,3.5853018372703414,2.462365591397849,5.777892561983472,4.966792602903162,4.474070450097847,6.154533844189017,0.20873362445414845,5.9080739299610885,7.8651968503937,3.717704650530324,5.9414758269720105,1.0925078950234128,0.22432432432432434,1.1503134490045996,5.757002801120447,4.395011796427368,6.517408906882593,4.3843375784071466,2.06178834561286,3.022309711286089,0.9006706543411274,2.782328578002761,5.431704885343968,8.056249999999999,2.7715003138731955,5.147269180754226,9.17871485943775,5.6350746268656735,4.12560620756547,7.950282942603072,3.4875531268973896,3.9711496746203903,3.1389863547758283,10.154564315352696,6.466545564638207,0.8051903114186851,3.737796785134936,0.9156640477778101,0.12280701754385966,18.765957446808514,0.22446343402225755,0.9635015682919874,2.424193548387097,0.14528737674335968,0.7168674698795181,3.624195624195624,0.8076923076923077,7.808510638297872,1.3405211141060196,8.613034623217922,4.2084225553176315,0.984213206586318,4.145228215767634,2.0409930715935336,5.264173703256937,4.8902575587905925,6.204878048780488,2.473687752355316,13.590038314176244,6.928268925357331,6.3776543613198315,3.4257871064467764,5.927471435668156,4.181340341655717,3.2245283018867923,5.890322580645162,8.062756147540982,4.70278450363196,16.648844884488447,9.013685700802268,3.3877800906085467,5.708173076923077,14.789709172259506,1.547201302666395,7.936380772855796,1.6524390243902438,18.27343412526998,7.466307277628032,0.17196531791907516,4.687108126693904,5.677366493155968,9.758507688429543,7.055621087015696,2.860269229775469,7.974977620529433,4.313742437337943,4.8449928747247055,6.437238817520508,11.383150856238675,7.022683110599992,7.075943104514532,5.389506243555963,10.000425330812856,6.0250436713303825,9.731705634871373,5.3107383087764255,9.745716190252127,4.150116225011622,7.17601246105919,3.845194575471698,8.67491403797279,6.492621725281153,7.555181380280489,3.0802085150088168,7.37414030261348,1.0610053144375553,5.5211569710757225,3.3217826326418214,8.303538882138518,3.1441977982313665,4.912800712800713,3.1126138559205083,12.209729609929076,5.868042839868717,2.113189472622769,3.8681045407809473,7.124585487609199,7.381718389630105,6.445773395829966,3.807129881925522,10.683026075402758,4.286900958466454,7.118437247248304,2.125,7.69672131147541,7.469921108912297,4.285948785292186,7.651123783965112,9.305223108747043,7.86477335252042,1.449379436304014,1.4235294117647062,0.1557377049180328,4.0,0.7737074837060167,3.033485540334856,1.8401285398674432,4.062002275312855,1.9717053836838048,5.770545740648023,9.531306715063524,9.25519183386132,5.728351591027647,6.706848841231407,7.700095927443969,5.5465856910087386,10.395055325034578,11.077842850170814,0.017699115044247787,0.0,8.835753392049511,4.881883408071749,6.826119472749369,7.608036573628489,6.041003994874501,5.01610127826942,3.835745878568556,17.189303436868222,14.537133550488601,2.9612887112887116,7.562523145290704,4.029482071713147,4.2726079414936,3.555053234176877,6.5280794813505105,24.681759379042692,3.00863080274845,6.808012486992715,5.716932442268247,6.861743154647128,8.68,2.8324738140235115,4.90907207953604,3.214223912063272,28.002642706131077,5.609153077327721,1.8783931894068768,12.637,1.5978792822185972,3.2131426625808652,2.5223359422034917,5.760504201680673,8.824380165289256,5.987515605493133,2.6103030303030303,7.661317100166022,3.107455131155085,8.192643391521196,21.51555929352397,3.7464501160092807,4.028428093645485,6.546859903381642,7.238390092879259,6.9009332376166554,0.5364335408275357,13.445402298850574
