Date,New Cases,Measured Current Infected,Population,New_Cases_pc,Active_Cases_pc,Closure Policy Name,Policy,nat_retail_recreation_mob,nat_grocery__pharmacy_mob,nat_parks_mob,nat_transit_mob,nat_workplaces_mob,nat_residential_mob,loc_retail_recreation_mob,loc_grocery__pharmacy_mob,loc_parks_mob,loc_transit_mob,loc_workplaces_mob,loc_residential_mob
1,1,1,2038371,0.00049058782724,0.00049058782724,No Closures,10,,,,,,,,,,,,
2,0,1,2038371,0,0.00049058782724,No Closures,10,,,,,,,,,,,,
3,0,1,2038371,0,0.00049058782724,No Closures,10,,,,,,,,,,,,
4,0,1,2038371,0,0.00049058782724,No Closures,10,,,,,,,,,,,,
5,0,1,2038371,0,0.00049058782724,No Closures,10,,,,,,,,,,,,
6,0,1,2038371,0,0.00049058782724,No Closures,10,6,4,6,4,3,-1,5,6,6,10,4,-2
7,0,1,2038371,0,0.00049058782724,No Closures,10,7,6,7,6,2,-1,7,7,5,11,2,-2
8,0,1,2038371,0,0.00049058782724,No Closures,10,2,4,3,5,11,-2,1,4,5,11,9,-2
9,0,1,2038371,0,0.00049058782724,No Closures,10,0,-1,3,2,9,-2,-1,2,6,10,7,-2
10,0,1,2038371,0,0.00049058782724,No Closures,10,0,0,2,3,8,-1,0,2,3,9,7,-2
11,0,1,2038371,0,0.00049058782724,No Closures,10,0,-1,2,3,7,-1,0,-1,3,9,6,-2
12,0,1,2038371,0,0.00049058782724,No Closures,10,-2,-2,-1,4,11,-1,-2,1,-4,9,8,-1
13,0,1,2038371,0,0.00049058782724,No Closures,10,0,0,7,4,4,0,-1,1,5,8,5,-1
14,0,1,2038371,0,0.00049058782724,No Closures,10,2,1,8,7,2,-1,3,2,5,9,3,-1
15,0,1,2038371,0,0.00049058782724,No Closures,10,-2,0,6,4,8,-1,-3,1,4,7,6,-1
16,0,1,2038371,0,0.00049058782724,No Closures,10,-2,-2,7,2,6,-1,-3,0,7,9,8,-1
17,0,1,2038371,0,0.00049058782724,No Closures,10,-3,-1,3,1,6,-1,-3,0,9,10,7,-2
18,0,1,2038371,0,0.00049058782724,No Closures,10,1,1,0,2,7,-1,0,1,0,12,7,-1
19,0,1,2038371,0,0.00049058782724,No Closures,10,3,6,3,6,12,-2,3,10,1,11,9,-2
