Region,Codigo region,Publicacion,Semana Epidemiologica,Casos confirmados
Desconocido Valparaiso,05,2020-08-14,SE7,0.0
Desconocido Metropolitana,13,2020-08-14,SE7,0.0
Desconocido O’Higgins,06,2020-08-14,SE7,0.0
Desconocido Maule,07,2020-08-14,SE7,0.0
Desconocido Nuble,16,2020-08-14,SE7,0.0
Desconocido Biobio,08,2020-08-14,SE7,0.0
Desconocido Araucania,09,2020-08-14,SE7,0.0
Desconocido Los Rios,14,2020-08-14,SE7,0.0
Desconocido Los Lagos,10,2020-08-14,SE7,0.0
Desconocido Aysen,11,2020-08-14,SE7,0.0
Desconocido Magallanes,12,2020-08-14,SE7,0.0
Desconocido SEREMI,0,2020-08-14,SE7,0.0
Arica y Parinacota,15,2020-05-18,SE7,0.0
Tarapacá,01,2020-05-18,SE7,0.0
Antofagasta,02,2020-05-18,SE7,0.0
Atacama,03,2020-05-18,SE7,0.0
Coquimbo,04,2020-05-18,SE7,0.0
