country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-11,-59,-27,-51,-43,-48,24
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-12,-58,-25,-48,-41,-49,24
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-13,-58,-25,-48,-43,-49,24
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-14,-57,-23,-48,-41,-49,25
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-15,-56,-14,-48,-43,-46,26
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-16,-58,-16,-54,-37,-26,17
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-17,-64,-26,-60,-44,-20,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-18,-55,-21,-45,-41,-44,22
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-19,-56,-20,-44,-35,-46,23
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-20,-56,-18,-44,-35,-46,23
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-21,-57,-19,-46,-34,-46,24
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-22,-58,-15,-48,-39,-42,25
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-23,-59,-16,-53,-33,-22,16
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-24,-64,-24,-58,-39,-17,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-25,-56,-19,-44,-35,-43,22
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-26,-56,-20,-44,-33,-43,22
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-27,-56,-20,-46,-32,-42,22
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-28,-55,-17,-46,-31,-42,22
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-29,-55,-9,-45,-34,-39,23
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-30,-55,-9,-49,-28,-15,15
MX,Mexico,Querétaro,,,MX-QUE,,2020-05-31,-60,-17,-56,-34,-9,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-01,-52,-14,-42,-31,-37,19
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-02,-53,-15,-41,-29,-39,20
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-03,-53,-16,-41,-29,-39,20
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-04,-54,-16,-42,-29,-39,21
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-05,-54,-11,-44,-34,-37,22
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-06,-56,-12,-49,-28,-15,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-07,-60,-21,-56,-36,-9,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-08,-53,-18,-42,-33,-36,19
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-09,-53,-18,-42,-27,-37,20
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-10,-51,-15,-40,-26,-37,19
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-11,-52,-16,-43,-31,-38,20
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-12,-51,-8,-42,-35,-35,21
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-13,-52,-8,-45,-27,-11,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-14,-56,-17,-50,-35,-4,10
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-15,-47,-9,-36,-30,-33,17
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-16,-46,-9,-34,-25,-35,18
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-17,-42,-9,-31,-28,-34,17
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-18,-42,-11,-33,-28,-35,18
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-19,-42,-5,-35,-30,-32,17
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-20,-41,-3,-36,-23,-7,10
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-21,-46,-13,-42,-31,9,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-22,-43,-15,-33,-29,-35,17
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-23,-44,-15,-35,-28,-35,18
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-24,-41,-12,-31,-26,-34,17
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-25,-43,-15,-38,-28,-35,18
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-26,-43,-7,-36,-33,-32,19
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-27,-40,-5,-33,-24,-8,10
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-28,-43,-14,-38,-30,1,8
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-29,-37,-9,-28,-28,-32,15
MX,Mexico,Querétaro,,,MX-QUE,,2020-06-30,-33,-4,-26,-24,-33,15
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-01,-34,-6,-28,-25,-34,15
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-02,-34,-7,-29,-24,-33,15
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-03,-36,-3,-32,-29,-31,16
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-04,-36,-4,-33,-23,-7,9
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-05,-38,-14,-39,-31,0,7
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-06,-35,-8,-28,-25,-32,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-07,-39,-16,-37,-27,-35,16
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-08,-38,-13,-39,-27,-34,15
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-09,-37,-14,-38,-22,-34,16
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-10,-36,-4,-32,-26,-31,16
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-11,-36,-6,-33,-22,-6,9
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-12,-38,-13,-34,-28,1,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-13,-36,-11,-27,-25,-32,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-14,-32,-8,-26,-20,-34,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-15,-30,-5,-30,-22,-32,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-16,-30,-5,-27,-21,-32,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-17,-33,-4,-33,-26,-30,15
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-18,-34,-7,-36,-22,-7,9
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-19,-36,-14,-39,-27,0,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-20,-33,-9,-29,-25,-32,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-21,-35,-13,-31,-25,-34,15
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-22,-34,-10,-30,-25,-32,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-23,-35,-11,-29,-25,-32,15
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-24,-36,-7,-32,-27,-30,16
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-25,-36,-8,-32,-22,-7,8
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-26,-37,-16,-36,-28,-1,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-27,-38,-17,-40,-29,-33,15
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-28,-36,-15,-37,-26,-34,16
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-29,-31,-10,-33,-22,-33,15
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-30,-28,-8,-30,-23,-33,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-07-31,-29,-3,-32,-26,-30,15
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-01,-31,-5,-37,-20,-8,8
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-02,-30,-10,-34,-21,1,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-03,-29,-8,-28,-24,-31,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-04,-29,-10,-31,-22,-32,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-05,-27,-7,-27,-23,-32,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-06,-28,-11,-27,-23,-32,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-07,-29,-7,-31,-25,-30,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-08,-29,-8,-32,-22,-6,8
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-09,-32,-17,-39,-26,-1,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-10,-28,-11,-28,-24,-31,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-11,-28,-12,-27,-22,-32,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-12,-29,-12,-30,-21,-32,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-13,-29,-12,-29,-22,-31,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-14,-27,-4,-29,-24,-29,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-15,-26,-3,-29,-16,-6,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-16,-27,-10,-31,-19,2,4
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-17,-27,-8,-28,-20,-30,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-18,-28,-10,-29,-16,-30,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-19,-31,-13,-36,-23,-31,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-20,-29,-13,-30,-23,-31,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-21,-29,-7,-31,-22,-28,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-22,-29,-7,-30,-19,-5,7
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-23,-30,-14,-34,-21,3,5
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-24,-31,-13,-32,-24,-30,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-25,-30,-13,-32,-21,-31,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-26,-29,-12,-31,-18,-30,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-27,-31,-15,-36,-22,-31,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-28,-29,-8,-34,-22,-27,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-29,-27,-5,-31,-17,-4,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-30,-27,-10,-31,-19,4,4
MX,Mexico,Querétaro,,,MX-QUE,,2020-08-31,-27,-9,-29,-25,-29,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-01,-25,-7,-27,-13,-31,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-02,-27,-9,-29,-21,-31,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-03,-27,-11,-30,-22,-31,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-04,-29,-8,-36,-26,-28,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-05,-26,-5,-31,-14,-6,7
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-06,-27,-11,-33,-24,2,5
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-07,-30,-11,-29,-25,-30,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-08,-30,-12,-32,-19,-31,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-09,-30,-14,-33,-24,-31,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-10,-29,-13,-32,-22,-31,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-11,-29,-8,-34,-23,-28,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-12,-27,-6,-27,-7,-5,5
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-13,-27,-10,-28,-19,4,4
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-14,-26,-5,-24,-25,-28,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-15,-27,4,-22,-15,-30,8
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-16,-42,-24,-35,-48,-68,23
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-17,-30,-13,-30,-22,-32,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-18,-30,-10,-35,-25,-28,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-19,-28,-8,-32,-19,-6,7
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-20,-28,-12,-31,-17,4,5
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-21,-31,-12,-30,-24,-29,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-22,-31,-13,-35,-16,-30,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-23,-32,-12,-36,-18,-29,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-24,-32,-15,-37,-18,-29,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-25,-32,-9,-40,-21,-26,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-26,-30,-7,-36,-13,-3,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-27,-30,-11,-36,-10,5,4
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-28,-33,-11,-35,-22,-27,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-29,-31,-11,-39,-15,-29,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-09-30,-27,-4,-35,-12,-28,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-01,-28,-6,-35,-11,-28,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-02,-28,-4,-40,0,-25,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-03,-26,-3,-34,10,-4,5
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-04,-25,-7,-32,9,5,3
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-05,-30,-7,-34,-1,-27,11
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-06,-30,-10,-38,9,-28,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-07,-30,-10,-36,-2,-27,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-08,-30,-12,-36,0,-27,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-09,-29,-7,-37,-4,-24,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-10,-28,-6,-34,1,-1,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-11,-28,-11,-34,-2,8,4
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-12,-34,-16,-43,-9,-27,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-13,-30,-10,-36,5,-27,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-14,-28,-8,-35,6,-26,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-15,-26,-6,-35,8,-27,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-16,-27,-2,-39,5,-24,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-17,-25,-3,-33,12,-2,5
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-18,-25,-8,-32,11,7,3
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-19,-30,-9,-36,3,-26,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-20,-30,-9,-36,9,-27,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-21,-28,-9,-35,6,-26,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-22,-28,-10,-35,8,-26,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-23,-28,-4,-37,2,-23,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-24,-27,-4,-34,13,-1,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-25,-26,-7,-32,10,9,4
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-26,-31,-8,-34,0,-24,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-27,-30,-10,-37,8,-26,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-28,-28,-8,-36,6,-25,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-29,-27,-8,-37,7,-26,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-30,-24,-1,-37,3,-23,11
MX,Mexico,Querétaro,,,MX-QUE,,2020-10-31,-23,3,-31,18,0,4
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-01,-25,-6,-31,7,8,2
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-02,-31,-10,-40,-13,-45,16
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-03,-28,-9,-42,6,-27,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-04,-28,-8,-43,1,-26,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-05,-28,-10,-43,1,-26,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-06,-28,-6,-44,-6,-23,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-07,-25,-6,-40,4,1,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-08,-25,-8,-37,6,9,4
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-09,-26,-7,-37,-7,-25,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-10,-25,-7,-40,4,-26,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-11,-25,-7,-40,1,-25,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-12,-24,-8,-39,5,-26,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-13,-21,1,-39,7,-23,11
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-14,-19,1,-34,18,0,3
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-15,-17,-4,-29,8,11,2
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-16,-22,-3,-33,-15,-62,18
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-17,-25,-6,-42,8,-26,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-18,-25,-7,-43,1,-26,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-19,-24,-8,-41,1,-26,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-20,-24,-3,-43,1,-23,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-21,-25,-5,-41,6,2,7
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-22,-23,-8,-39,7,11,4
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-23,-29,-8,-40,-5,-25,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-24,-27,-9,-40,4,-26,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-25,-27,-8,-40,-1,-25,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-26,-27,-9,-39,-1,-26,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-27,-26,-3,-41,-6,-23,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-28,-24,-1,-38,11,3,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-29,-32,-6,-37,10,8,5
MX,Mexico,Querétaro,,,MX-QUE,,2020-11-30,-25,-2,-39,-5,-24,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-01,-24,-2,-38,6,-25,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-02,-24,-2,-38,-1,-24,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-03,-25,-5,-38,-2,-24,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-04,-26,-1,-41,-2,-22,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-05,-23,0,-38,8,3,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-06,-33,-8,-40,8,7,5
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-07,-26,-3,-38,-5,-24,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-08,-26,-6,-39,0,-24,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-09,-24,-4,-37,-3,-24,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-10,-24,-4,-36,-1,-24,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-11,-24,2,-38,-5,-22,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-12,-23,1,-35,1,-4,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-13,-30,-5,-33,7,9,5
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-14,-23,-1,-32,-6,-24,11
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-15,-18,3,-32,5,-25,11
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-16,-16,5,-31,3,-24,11
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-17,-17,4,-31,7,-25,11
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-18,-21,5,-36,1,-22,11
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-19,-19,5,-32,15,4,4
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-20,-27,-1,-30,17,12,4
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-21,-21,6,-26,-1,-28,11
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-22,-17,10,-28,11,-30,11
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-23,-13,21,-26,20,-31,9
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-24,-25,18,-34,-1,-47,10
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-25,-73,-49,-61,-59,-78,27
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-26,-43,-20,-44,-19,-23,12
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-27,-42,-18,-39,5,4,6
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-28,-27,-3,-31,-11,-38,14
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-29,-24,1,-31,-4,-39,15
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-30,-19,10,-31,-1,-39,13
MX,Mexico,Querétaro,,,MX-QUE,,2020-12-31,-27,16,-36,-9,-49,12
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-01,-72,-49,-57,-62,-78,28
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-02,-40,-18,-42,-15,-24,13
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-03,-37,-13,-38,25,5,6
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-04,-23,3,-28,-2,-29,12
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-05,-17,13,-26,10,-29,11
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-06,-28,-2,-39,0,-28,13
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-07,-32,-10,-42,1,-29,15
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-08,-35,-8,-46,-13,-26,17
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-09,-34,-10,-49,-6,-1,10
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-10,-40,-11,-43,-5,4,8
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-11,-33,-10,-40,-4,-26,14
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-12,-35,-12,-43,-1,-29,14
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-13,-36,-13,-46,-8,-30,13
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-14,-38,-16,-49,-14,-33,14
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-15,-37,-11,-50,-19,-30,14
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-16,-36,-12,-49,-11,-8,8
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-17,-43,-15,-48,-13,-3,6
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-18,-36,-13,-44,-15,-31,13
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-19,-37,-15,-47,-9,-33,13
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-20,-37,-16,-49,-14,-32,14
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-21,-37,-16,-47,-11,-32,14
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-22,-39,-12,-50,-19,-29,15
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-23,-37,-14,-49,-11,-6,9
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-24,-44,-17,-47,-15,-1,7
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-25,-38,-14,-43,-13,-30,13
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-26,-37,-15,-45,-8,-32,14
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-27,-37,-15,-47,-12,-31,14
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-28,-37,-16,-49,-12,-31,15
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-29,-34,-6,-48,-12,-28,14
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-30,-32,-7,-46,5,-4,7
MX,Mexico,Querétaro,,,MX-QUE,,2021-01-31,-40,-12,-44,-13,2,5
MX,Mexico,Querétaro,,,MX-QUE,,2021-02-01,-36,-8,-44,-30,-64,20
MX,Mexico,Querétaro,,,MX-QUE,,2021-02-02,-34,-11,-45,-4,-29,11
