Date,New Cases,New Deaths,New Hospitalizations,Est. Net Cases,Est. Net Hospitalizations,Est. Newly Recovered
2020-02-10 00:00:00,1,0,1,1,1,0
2020-02-11 00:00:00,0,0,0,0,0,0
2020-02-12 00:00:00,0,0,0,0,0,0
2020-02-13 00:00:00,0,0,0,0,0,0
2020-02-14 00:00:00,0,0,0,0,0,0
2020-02-15 00:00:00,0,0,0,0,0,0
2020-02-16 00:00:00,0,0,0,0,0,0
2020-02-17 00:00:00,0,0,0,0,0,0
2020-02-18 00:00:00,0,0,0,0,0,0
2020-02-19 00:00:00,0,0,0,0,0,0
2020-02-20 00:00:00,0,0,0,0,0,0
2020-02-21 00:00:00,0,0,0,0,0,0
2020-02-22 00:00:00,0,0,0,0,0,0
2020-02-23 00:00:00,0,0,0,0,0,0
2020-02-24 00:00:00,0,0,0,0,0,0
2020-02-25 00:00:00,0,0,0,0,0,0
2020-02-26 00:00:00,0,0,0,0,0,0
2020-02-27 00:00:00,0,0,0,0,0,0
2020-02-28 00:00:00,0,0,0,0,0,0
2020-02-29 00:00:00,0,0,0,0,0,0
2020-03-01 00:00:00,0,0,0,0,0,0
2020-03-02 00:00:00,0,0,0,0,0,0
2020-03-03 00:00:00,0,0,0,0,0,0
2020-03-04 00:00:00,0,0,0,0,0,0
2020-03-05 00:00:00,0,0,0,0,0,0
2020-03-06 00:00:00,0,0,0,0,0,0
2020-03-07 00:00:00,0,0,0,0,0,0
2020-03-08 00:00:00,0,0,0,0,0,0
2020-03-09 00:00:00,0,0,0,0,0,0
2020-03-10 00:00:00,2,0,0,2,0,0
2020-03-11 00:00:00,1,0,0,1,0,0
2020-03-12 00:00:00,1,0,0,1,0,0
2020-03-13 00:00:00,2,0,0,2,0,0
2020-03-14 00:00:00,1,0,0,1,0,0
2020-03-15 00:00:00,0,0,0,0,0,0
2020-03-16 00:00:00,0,0,0,0,0,0
2020-03-17 00:00:00,2,0,0,2,0,0
2020-03-18 00:00:00,2,0,0,2,0,0
2020-03-19 00:00:00,3,0,0,3,0,0
2020-03-20 00:00:00,0,0,0,0,0,0
2020-03-21 00:00:00,1,0,0,1,0,0
2020-03-22 00:00:00,0,0,0,0,0,0
2020-03-23 00:00:00,3,0,1,3,1,0
2020-03-24 00:00:00,4,0,0,2,0,2
2020-03-25 00:00:00,2,0,0,1,0,1
2020-03-26 00:00:00,1,0,1,0,1,1
2020-03-27 00:00:00,4,0,2,2,2,2
2020-03-28 00:00:00,2,1,0,0,-1,1
2020-03-29 00:00:00,1,0,0,1,0,0
2020-03-30 00:00:00,1,0,0,1,0,0
2020-03-31 00:00:00,4,0,0,2,0,2
2020-04-01 00:00:00,3,0,1,1,1,2
2020-04-02 00:00:00,1,1,0,-3,0,3
2020-04-03 00:00:00,3,0,3,3,3,0
2020-04-04 00:00:00,1,0,0,0,0,1
2020-04-05 00:00:00,0,0,0,0,0,0
2020-04-06 00:00:00,4,0,3,2,3,2
2020-04-07 00:00:00,5,0,2,2,2,3
2020-04-08 00:00:00,3,0,2,1,2,2
2020-04-09 00:00:00,3,0,2,3,2,0
2020-04-10 00:00:00,2,0,1,-1,0,3
2020-04-11 00:00:00,3,1,1,0,0,2
2020-04-12 00:00:00,1,0,0,0,0,1
2020-04-13 00:00:00,8,0,1,7,1,1
2020-04-14 00:00:00,8,1,3,3,2,4
2020-04-15 00:00:00,3,1,0,-1,-2,3
2020-04-16 00:00:00,7,0,4,6,4,1
2020-04-17 00:00:00,5,0,3,3,1,2
2020-04-18 00:00:00,2,0,1,1,1,1
2020-04-19 00:00:00,2,0,2,2,2,0
2020-04-20 00:00:00,5,0,2,1,-1,4
2020-04-21 00:00:00,2,1,1,-4,-2,5
2020-04-22 00:00:00,7,0,3,5,2,2
2020-04-23 00:00:00,9,0,4,6,2,3
2020-04-24 00:00:00,10,0,3,8,2,2
2020-04-25 00:00:00,1,1,1,-3,-1,3
2020-04-26 00:00:00,2,1,2,0,1,1
2020-04-27 00:00:00,3,1,2,-6,0,8
2020-04-28 00:00:00,9,0,1,2,-1,7
2020-04-29 00:00:00,12,1,4,8,4,3
2020-04-30 00:00:00,6,1,1,-1,-3,6
2020-05-01 00:00:00,8,1,4,3,1,4
2020-05-02 00:00:00,12,1,8,10,7,1
2020-05-03 00:00:00,4,1,2,2,0,1
2020-05-04 00:00:00,10,2,2,4,-1,4
2020-05-05 00:00:00,11,1,5,9,4,1
2020-05-06 00:00:00,9,2,4,3,2,4
2020-05-07 00:00:00,14,0,6,6,2,8
2020-05-08 00:00:00,26,0,7,16,4,10
2020-05-09 00:00:00,26,0,4,25,3,1
2020-05-10 00:00:00,19,4,11,15,7,0
2020-05-11 00:00:00,47,2,13,43,10,2
2020-05-12 00:00:00,34,4,8,21,3,9
2020-05-13 00:00:00,29,1,8,18,5,10
2020-05-14 00:00:00,41,2,12,33,9,6
2020-05-15 00:00:00,49,4,15,40,10,5
2020-05-16 00:00:00,28,8,14,11,1,9
2020-05-17 00:00:00,17,8,7,5,-2,4
2020-05-18 00:00:00,47,1,22,38,22,8
2020-05-19 00:00:00,61,3,22,49,16,9
2020-05-20 00:00:00,42,5,13,31,7,6
2020-05-21 00:00:00,37,9,11,18,-1,10
2020-05-22 00:00:00,36,2,9,13,5,21
2020-05-23 00:00:00,22,5,8,-8,0,25
2020-05-24 00:00:00,12,3,4,-6,-6,15
2020-05-25 00:00:00,52,5,17,7,6,40
2020-05-26 00:00:00,38,5,7,2,-3,31
2020-05-27 00:00:00,36,6,11,4,0,26
2020-05-28 00:00:00,31,2,8,-6,-2,35
2020-05-29 00:00:00,37,6,16,-10,4,41
2020-05-30 00:00:00,27,2,16,4,8,21
2020-05-31 00:00:00,21,7,13,-2,1,16
2020-06-01 00:00:00,39,5,9,-5,-10,39
2020-06-02 00:00:00,50,6,28,-8,9,52
2020-06-03 00:00:00,47,5,13,6,1,36
2020-06-04 00:00:00,46,9,15,7,2,30
2020-06-05 00:00:00,36,3,12,1,4,32
2020-06-06 00:00:00,30,7,16,6,7,17
2020-06-07 00:00:00,28,7,18,12,11,9
2020-06-08 00:00:00,53,3,20,3,5,47
2020-06-09 00:00:00,43,7,15,3,5,33
2020-06-10 00:00:00,39,2,14,4,5,33
2020-06-11 00:00:00,33,8,15,-4,0,29
2020-06-12 00:00:00,42,7,15,8,-1,27
2020-06-13 00:00:00,34,9,11,4,-8,21
2020-06-14 00:00:00,22,4,13,6,4,12
2020-06-15 00:00:00,59,7,26,18,15,34
2020-06-16 00:00:00,46,7,12,-1,-13,40
2020-06-17 00:00:00,44,5,14,-1,3,40
2020-06-18 00:00:00,40,6,15,-3,3,37
2020-06-19 00:00:00,29,6,10,-8,-3,31
2020-06-20 00:00:00,32,5,10,4,-3,23
2020-06-21 00:00:00,16,3,9,-8,-5,21
2020-06-22 00:00:00,51,5,23,-1,4,47
2020-06-23 00:00:00,40,5,10,-2,-4,37
2020-06-24 00:00:00,42,3,7,8,-2,31
2020-06-25 00:00:00,39,3,15,6,0,30
2020-06-26 00:00:00,44,5,14,3,-1,36
2020-06-27 00:00:00,24,9,3,-13,-10,28
2020-06-28 00:00:00,21,5,10,2,0,14
