Week,Date_Name,Cidade de Deus,Galeao Airport,City,Santos Dumont Airport,Industrial Area,Pedra de Guaratiba,Copacabana,Ipanema,Centro,Cidade Nova,Barra da Tijuca,Campo Grande
48,"Nov 26, 2019",-0.271,-0.089,-0.03,-0.631,0.141,-0.569,-0.482,-0.663,-0.464,-0.53,-0.335,-0.093
49,"Dec 3, 2019",0.191,-0.059,0.156,0.23,0.142,0.201,0.02,0.121,0.085,0.027,0.043,0.152
50,"Dec 10, 2019",-0.025,-0.118,-0.095,-0.313,0.138,-0.004,-0.254,-0.133,-0.293,-0.322,-0.006,-0.067
51,"Dec 17, 2019",-0.139,-0.224,-0.095,-0.049,-0.072,-0.138,0.249,0.249,0.21,0.145,0.056,-0.152
52,"Dec 24, 2019",0.036,-0.073,0.183,0.009,0.108,0.214,0.057,0.034,-0.004,-0.128,0.011,0.089
53,"Dec 31, 2019",0.044,-0.031,0.047,-0.095,-0.077,0.148,0,0.182,-0.032,0.061,0.09,0.044
54,"Jan 7, 2020",0.012,0.007,-0.182,0.131,0.047,0.078,0.011,-0.001,0.005,0.085,0.059,-0.037
55,"Jan 14, 2020",-0.179,-0.009,0.419,-0.184,0.35,0.105,-0.039,0.057,-0.232,-0.327,-0.101,0.049
56,"Jan 21, 2020",0.105,0.025,0.092,-0.417,0.178,0.05,-0.073,0.051,-0.428,-0.3,-0.165,0.113
57,"Jan 28, 2020",-0.095,-0.057,-0.077,-0.067,-0.139,-0.046,0.021,0.178,0,0.102,0.012,-0.081
58,"Feb 4, 2020",-0.049,-0.233,-0.118,0.441,0.042,-0.038,0.297,0.351,0.249,0.206,0.087,-0.147
59,"Feb 11, 2020",-0.18,0.002,0.096,0.489,0.176,-0.115,0.008,0,0.123,0.318,-0.085,0.012
60,"Feb 18, 2020",-0.079,-0.099,-0.058,0.058,-0.029,-0.123,0.113,0.2,0.088,0.319,0.006,-0.011
61,"Feb 25, 2020",,,0.026,,,,,,,,,0.123
62,"Mar 3, 2020",-0.043,-0.192,-0.117,0.149,-0.033,0.146,-0.023,0,-0.048,0.25,-0.041,-0.044
63,"Mar 10, 2020",-0.106,-0.053,-0.096,-0.012,0.034,0.109,0.129,0.078,0.08,0.035,0.023,-0.02
64,"Mar 17, 2020",-0.037,-0.098,-0.033,0.146,0.075,0.036,0.098,-0.111,-0.049,-0.063,-0.054,0.004
65,"Mar 24, 2020",0.013,0.005,-0.127,-0.36,-0.014,0.141,0.011,0.042,-0.076,0.143,-0.067,-0.026
66,"Mar 31, 2020",-0.049,-0.089,-0.149,-0.352,0.054,-0.074,0.081,0.011,-0.191,-0.162,-0.088,-0.074
67,"Apr 7, 2020",-0.233,-0.081,-0.223,-0.069,0.053,-0.239,-0.058,-0.168,-0.073,-0.107,-0.124,-0.128
68,"Apr 14, 2020",-0.019,-0.024,0.266,-0.099,0.296,-0.033,-0.248,-0.114,-0.296,0.023,-0.166,0.071
69,"Apr 21, 2020",0.142,-0.114,0.031,-0.112,0.103,0.121,-0.142,-0.056,0.007,0.015,-0.072,0.066
70,"Apr 28, 2020",-0.106,-0.187,-0.103,-0.128,-0.134,0.032,-0.028,-0.058,-0.01,-0.038,-0.111,0.007
71,"May 5, 2020",-0.001,-0.157,-0.158,0.085,-0.082,0.1,0.093,-0.009,0.028,0.116,-0.038,-0.023
72,"May 12, 2020",0.155,0.027,0.115,0.002,0.074,0.372,-0.199,-0.13,-0.26,-0.125,-0.04,0.137
73,"May 19, 2020",-0.022,-0.232,-0.078,-0.216,-0.119,0.07,0.091,-0.083,-0.005,0.141,-0.082,-0.101
74,"May 26, 2020",0.1,-0.27,-0.016,0.027,-0.182,0.239,-0.014,-0.008,0.008,-0.001,-0.074,-0.036
75,"Jun 2, 2020",0.066,-0.05,0.114,-0.123,0.137,0.061,-0.04,-0.233,-0.139,-0.092,-0.12,0.104
76,"Jun 9, 2020",-0.016,-0.111,-0.109,-0.282,-0.084,0.008,-0.128,-0.084,-0.226,-0.222,-0.132,-0.012
77,"Jun 16, 2020",0.039,-0.106,0.142,-0.109,0.008,0.049,0.104,-0.139,-0.028,-0.062,-0.191,0.008
78,"Jun 23, 2020",0.065,-0.008,0.059,-0.124,0.017,-0.046,-0.228,-0.15,-0.245,-0.127,-0.184,0.03
79,"Jun 30, 2020",0.117,-0.217,0.108,-0.354,0.046,0.237,-0.117,-0.081,-0.043,0.133,-0.038,0.043
80,"Jul 7, 2020",0.066,-0.222,-0.031,-0.061,-0.044,0.008,0.132,-0.165,0.027,0.113,-0.072,-0.035
81,"Jul 14, 2020",0.058,-0.263,0.014,-0.354,0.057,-0.09,-0.15,-0.296,-0.265,-0.254,-0.237,0.089
82,"Jul 21, 2020",0.13,-0.137,0.059,-0.137,-0.272,0.204,0.052,0.02,-0.024,0.053,-0.037,0.013
83,"Jul 28, 2020",-0.006,-0.256,-0.233,-0.427,-0.286,0.036,0.147,0.018,0.085,0.11,-0.119,-0.077
