"fecha";"region";"prob48.estimado";"prob48.linf";"prob48.lsup"
2020-03-08;1;0.0706731054962991;0.0156746759111315;0.163308430494436
2020-03-15;1;0.0706731054962991;0.0156746759111315;0.163308430494436
2020-03-22;1;0.0230532203153155;0.000129529263014187;0.105000456734325
2020-03-29;1;0.0256112289719338;0.0001392479911017;0.115472676877826
2020-04-05;1;0.0211450504230494;6.64025411655816e-05;0.103252681887587
2020-04-12;1;0.0422943510360269;0.00315157509103766;0.118443787215244
2020-04-19;1;0.0844936437678786;0.023195871527342;0.169626979661072
2020-04-26;1;0.181477561580754;0.111894991584886;0.261791148681583
2020-05-03;1;0.183614806157295;0.13626870802648;0.237420682347729
2020-05-10;1;0.130749113231523;0.0944456650763444;0.17561111107363
2020-05-17;1;0.142581409996868;0.117438172847463;0.169365507310042
2020-05-24;1;0.165940280847506;0.141565937484478;0.191198470031873
2020-05-31;1;0.221412480611387;0.193777651067784;0.24966849990349
2020-06-07;1;0.224982999800636;0.196949966178819;0.255175991465679
2020-06-14;1;0.31282091246297;0.280377654391741;0.345355883964126
2020-06-21;1;0.300929475588519;0.266796456406385;0.336256333163521
2020-06-28;1;0.316287102453597;0.279451805087454;0.354170046721268
2020-07-05;1;0.342088642523565;0.304822582306069;0.380766093452584
2020-07-12;1;0.359884438608054;0.31849140956481;0.40208956504044
2020-07-19;1;0.291766864912034;0.253039425147777;0.330850643060775
2020-07-26;1;0.320539459593965;0.283132191214904;0.360010643744164
2020-08-02;1;0.442030610912257;0.399649475993603;0.484523392426132
2020-08-09;1;0.310973702437248;0.258116660456085;0.361123246441851
2020-08-16;1;0.40245171628169;0.330581522378021;0.465929641941785
2020-08-23;1;0.366854812690146;0.234634622802659;0.502842940769456
2020-08-30;1;0.294766226981824;0.148150422257606;0.497646002257961
2020-03-08;2;0.0571673863085829;0.012337339242196;0.131765264625546
2020-03-15;2;0.0571673863085829;0.012337339242196;0.131765264625546
