"fecha";"r.estimado";"r.liminf";"r.lisup"
"2020-03-08";2.81756730813665;0.691240249186071;3.99
"2020-03-09";2.64424277761686;0.934795613105176;3.99
"2020-03-10";2.702762354347;1.14882881909142;3.99
"2020-03-11";2.57622467850141;1.16385555876649;3.98859379823633
"2020-03-12";2.49152650101645;1.19691372757048;3.78613927446242
"2020-03-13";2.6089707766998;1.33602065187104;3.88192090152856
"2020-03-14";2.69859236662748;1.39317921565695;3.99
"2020-03-15";2.69597048814598;1.37187697657803;3.99
"2020-03-16";2.7925784419941;1.41432422169392;3.99
"2020-03-17";2.59129840220382;1.27851317374569;3.90408363066194
"2020-03-18";2.39548556451617;1.23313005040047;3.55784107863188
"2020-03-19";2.21348408065472;1.22103214707326;3.20593601423617
"2020-03-20";2.07993505530461;1.23562228272893;2.9242478278803
"2020-03-21";1.88288421623628;1.18995879019296;2.5758096422796
"2020-03-22";1.70469163615024;1.15486303467866;2.25452023762181
"2020-03-23";1.57474701980717;1.14045756357764;2.00903647603669
"2020-03-24";1.45937442093521;1.11777835587615;1.80097048599427
"2020-03-25";1.37260850424106;1.1040079998004;1.64120900868172
"2020-03-26";1.29983854598208;1.08525784880587;1.51441924315829
"2020-03-27";1.21964746844856;1.04948305684751;1.38981188004961
"2020-03-28";1.17245928537921;1.03566470293945;1.30925386781898
"2020-03-29";1.12495956577974;1.01288502584417;1.23703410571531
"2020-03-30";1.09231191215061;0.996331099389259;1.18829272491197
"2020-03-31";1.07434184018101;0.985992379852767;1.16269130050926
"2020-04-01";1.1151668058125;1.03072973560694;1.19960387601806
"2020-04-02";1.11274880203107;1.02859603534453;1.1969015687176
"2020-04-03";1.10955878470179;1.02962804693159;1.18948952247199
"2020-04-04";1.10920486706652;1.0310563330324;1.18735340110065
"2020-04-05";1.11021009546533;1.03593233821071;1.18448785271995
"2020-04-06";1.10449662682616;1.029539573648;1.17945368000432
"2020-04-07";1.1034149878005;1.02894911079251;1.17788086480848
"2020-04-08";1.05793429021616;0.984608181884929;1.13126039854739
"2020-04-09";1.06140260603448;0.992964638112999;1.12984057395595
"2020-04-10";1.06984459982884;1.00167832887268;1.138010870785
"2020-04-11";1.04669211213112;0.983690435215647;1.1096937890466
"2020-04-12";1.05032002309685;0.987722051809096;1.1129179943846
"2020-04-13";1.08955149225459;1.02642598382076;1.15267700068843
"2020-04-14";1.11138823591257;1.04530360342238;1.17747286840277
"2020-04-15";1.1636316353989;1.08831492918828;1.23894834160952
"2020-04-16";1.17794286123032;1.09071598194205;1.2651697405186
"2020-04-17";1.18260128446988;1.08546337029057;1.2797391986492
"2020-04-18";1.20241130710075;1.10050545611587;1.30431715808564
"2020-04-19";1.20611860557353;1.09859153204423;1.31364567910283
"2020-04-20";1.26896548988963;1.1532231333801;1.38470784639916
"2020-04-21";1.270391090723;1.1372676575815;1.40351452386449
"2020-04-22";1.25844671356778;1.11970961291049;1.39718381422507
"2020-04-23";1.27377988362564;1.13547049946011;1.41208926779116
"2020-04-24";1.32662837795818;1.18010046875703;1.47315628715934
"2020-04-25";1.36519771802405;1.19904738221063;1.53134805383748
"2020-04-26";1.394495392031;1.20840315732208;1.58058762673993
"2020-04-27";1.45226102092981;1.2433740074465;1.66114803441311
"2020-04-28";1.50989442520089;1.26962112402562;1.75016772637616
"2020-04-29";1.52073995089072;1.25238566330748;1.78909423847395
"2020-04-30";1.55163115963182;1.26438048875162;1.83888183051203
"2020-05-01";1.64773118441657;1.32818442976763;1.9672779390655
"2020-05-02";1.65836505477699;1.30200716018868;2.0147229493653
"2020-05-03";1.65274963085854;1.28107650265017;2.02442275906692
"2020-05-04";1.66061819278806;1.28270410755536;2.03853227802076
"2020-05-05";1.62248121002745;1.25042239323627;1.99454002681864
"2020-05-06";1.57825214717878;1.2270644067874;1.92943988757015
"2020-05-07";1.52412381681079;1.20254305896026;1.84570457466132
"2020-05-08";1.4546820570535;1.17005774485853;1.73930636924847
"2020-05-09";1.40273686034215;1.15620292682557;1.64927079385873
"2020-05-10";1.37526499440571;1.1593514100217;1.59117857878971
"2020-05-11";1.34699950615298;1.15346136481962;1.54053764748635
"2020-05-12";1.31414081496638;1.14019921184269;1.48808241809007
"2020-05-13";1.2681873423149;1.11459468310189;1.42178000152791
"2020-05-14";1.22260649838431;1.09133687923584;1.35387611753277
"2020-05-15";1.213401171486;1.10104197103472;1.32576037193729
"2020-05-16";1.19149213473884;1.09101321509247;1.29197105438522
"2020-05-17";1.15785961674819;1.06944547530977;1.24627375818661
"2020-05-18";1.1449596873944;1.06858510172787;1.22133427306093
"2020-05-19";1.12143866860356;1.05405449832316;1.18882283888396
"2020-05-20";1.14531254133018;1.0848932521836;1.20573183047675
"2020-05-21";1.12928283335681;1.06859733042164;1.18996833629198
"2020-05-22";1.10942029342024;1.05279586423178;1.16604472260871
"2020-05-23";1.09780585415578;1.04723691699356;1.14837479131801
"2020-05-24";1.07524832480721;1.03016779073954;1.12032885887489
"2020-05-25";1.06905038785746;1.02995412756795;1.10814664814697
"2020-05-26";1.05003288878898;1.01538626734068;1.08467951023729
"2020-05-27";1.01395747021271;0.984408645737561;1.04350629468785
"2020-05-28";1.02067557461853;0.994583315443561;1.04676783379351
"2020-05-29";1.00699975787813;0.982807381343412;1.03119213441284
"2020-05-30";0.999612095245683;0.976538093888196;1.02268609660317
"2020-05-31";0.997006557437434;0.974534866597143;1.01947824827772
"2020-06-01";1.02150075787021;0.998999443329007;1.04400207241141
"2020-06-02";1.01489945882285;0.995976955300843;1.03382196234485
