"fecha";"region";"r.estimado";"r.liminf";"r.lisup"
"2020-04-27";7;0.611373535144073;0.313026957526227;0.909720112761918
"2020-04-28";7;0.635917967999878;0.327325905880682;0.944510030119074
"2020-04-29";7;0.665473367917757;0.340228999385241;0.990717736450274
"2020-04-30";7;0.724266219438401;0.388780144958563;1.05975229391824
"2020-05-01";7;0.819781702999937;0.458157497897029;1.18140590810285
"2020-05-02";7;0.956981658336733;0.552961456516031;1.36100186015743
"2020-05-03";7;1.06671186608509;0.660274063163084;1.4731496690071
"2020-05-04";7;1.2025004310383;0.76542018420501;1.63958067787158
"2020-05-05";7;1.3273051055812;0.862057073052927;1.79255313810946
"2020-05-06";7;1.44125770088694;0.955311774175119;1.92720362759877
"2020-05-07";7;1.51995677493767;1.00760736523055;2.03230618464479
"2020-05-08";7;1.54861468367947;1.01159828704356;2.08563108031538
"2020-05-09";7;1.55970769966169;1.0241322238555;2.09528317546789
"2020-05-10";7;1.58397260218874;1.05417266410364;2.11377254027383
"2020-05-11";7;1.64354045148316;1.11634994176857;2.17073096119776
"2020-05-12";7;1.6843527785285;1.13925850803177;2.22944704902523
"2020-05-13";7;1.64091212095517;1.11212988364877;2.16969435826157
"2020-05-14";7;1.5868188650221;1.08298738929112;2.09065034075308
"2020-05-15";7;1.53100554033441;1.07400831490404;1.98800276576478
"2020-05-16";7;1.48371966178585;1.0731907006301;1.8942486229416
"2020-05-17";7;1.48374124877813;1.10680552426064;1.86067697329562
"2020-05-18";7;1.47657968967835;1.11430693020336;1.83885244915334
"2020-05-19";7;1.49227429186408;1.1291459285492;1.85540265517896
"2020-05-20";7;1.52560691686204;1.16458649342108;1.88662734030299
"2020-05-21";7;1.52413444717611;1.16359560841398;1.88467328593824
"2020-05-22";7;1.51857714164243;1.16634289498006;1.8708113883048
"2020-05-23";7;1.50126224246642;1.1600176873625;1.84250679757034
"2020-05-24";7;1.45834791498112;1.13234521596714;1.78435061399511
"2020-05-25";7;1.49988067386814;1.18194034241944;1.81782100531684
"2020-05-26";7;1.4619653723732;1.15198407655088;1.77194666819551
"2020-05-27";7;1.42714554863534;1.13616400408357;1.7181270931871
"2020-05-28";7;1.37153112937028;1.10439590487408;1.63866635386648
"2020-05-29";7;1.33115416788251;1.09030218916774;1.57200614659729
"2020-05-30";7;1.27754210956832;1.06301984780742;1.49206437132922
"2020-05-31";7;1.22773337800656;1.03677443029176;1.41869232572136
"2020-06-01";7;1.21077742085223;1.03486225800177;1.38669258370268
"2020-06-02";7;1.20422078136885;1.03948111233514;1.36896045040257
"2020-06-03";7;1.17722108466929;1.02198261243457;1.332459556904
"2020-06-04";7;1.17437080945605;1.02495247258024;1.32378914633185
"2020-06-05";7;1.20908226497485;1.06068656664893;1.35747796330078
"2020-06-06";7;1.20487129124812;1.06297505239671;1.34676753009953
"2020-06-07";7;1.20846227218372;1.06539783666244;1.35152670770499
"2020-06-08";7;1.20052272114838;1.05860863377794;1.34243680851882
"2020-06-09";7;1.16785177426277;1.02912933836721;1.30657421015833
"2020-06-10";7;1.16470092501683;1.02946710471864;1.29993474531502
"2020-06-11";7;1.12275623897874;0.99529439625443;1.25021808170306
