Fecha,Servicio salud,Codigo region,Region,Camas ocupadas intensivo,Camas totales intensivo,Camas ocupadas intermedio,Camas totales intermedio,Vmi covid19 confirmados,Vmi covid19 sospechosos,Vmi ocupados,Vmi totales
2020-04-12,SS VIÑA DEL MAR QUILLOTA,5,Valparaíso,69,110,57.0,67,9,2,35,108
2020-04-13,SS ACONGAGUA,5,Valparaíso,6,16,7.0,17,1,0,5,10
2020-04-13,SS AISÉN,11,Aysén,2,8,3.0,6,0,0,2,17
2020-04-13,SS ANTOFAGASTA,2,Antofagasta,28,46,25.0,45,3,0,27,53
2020-04-13,SS ARAUCANÍA NORTE,9,Araucanía,6,13,9.0,12,3,1,6,14
2020-04-13,SS ARAUCANÍA SUR,9,Araucanía,75,87,21.0,31,47,0,63,76
2020-04-13,SS ARAUCO,8,Bíobío,0,0,4.0,4,0,0,0,0
2020-04-13,SS ARICA,15,Arica y Parinacota,9,12,3.0,12,5,0,5,15
2020-04-13,SS ATACAMA,3,Atacama,5,14,6.0,18,1,0,5,25
2020-04-13,SS BÍO BÍO,8,Bíobío,16,28,2.0,42,2,1,9,55
2020-04-13,SS CHILOÉ,10,Los Lagos,6,8,0.0,0,0,1,4,8
2020-04-13,SS CONCEPCIÓN,8,Bíobío,41,52,11.0,27,14,1,26,60
2020-04-13,SS COQUIMBO,4,Coquimbo,15,29,19.0,42,0,0,5,44
2020-04-13,SS DEL MAULE,7,Maule,31,51,13.0,48,13,0,24,53
2020-04-13,SS DEL RELONCAVÍ,10,Los Lagos,26,29,43.0,47,6,0,16,31
2020-04-13,SS IQUIQUE,1,Tarapacá,7,14,9.0,12,0,2,6,11
2020-04-13,SS LIBERTADOR B. O'HIGGINS,6,O’Higgins,34,61,46.0,82,3,0,26,62
2020-04-13,SS MAGALLANES,12,Magallanes,29,39,4.0,6,16,1,19,31
2020-04-13,SS METROPOLITANO CENTRAL,13,Metropolitana,110,142,110.0,154,37,8,75,197
2020-04-13,SS METROPOLITANO NORTE,13,Metropolitana,76,154,123.0,183,25,3,60,162
2020-04-13,SS METROPOLITANO OCCIDENTE,13,Metropolitana,44,63,69.0,71,19,2,39,77
2020-04-13,SS METROPOLITANO ORIENTE,13,Metropolitana,111,219,138.0,305,47,2,70,244
2020-04-13,SS METROPOLITANO SUR,13,Metropolitana,48,60,77.0,85,21,5,44,65
2020-04-13,SS METROPOLITANO SUR ORIENTE,13,Metropolitana,67,78,55.0,75,20,7,33,47
2020-04-13,SS ÑUBLE,16,Ñuble,12,27,7.0,11,10,0,11,43
2020-04-13,SS OSORNO,10,Los Lagos,25,28,7.0,7,20,0,25,29
2020-04-13,SS TALCAHUANO,8,Bíobío,21,34,20.0,42,7,2,16,33
2020-04-13,SS VALDIVIA,14,Los Ríos,14,23,8.0,14,5,0,11,17
2020-04-13,SS VALPARAISO SAN ANTONIO,5,Valparaíso,27,34,29.0,31,2,1,18,34
2020-04-13,SS VIÑA DEL MAR QUILLOTA,5,Valparaíso,71,110,55.0,67,8,2,35,110
2020-04-15,SS ACONGAGUA,5,Valparaíso,5,16,4.0,6,0,0,5,8
2020-04-15,SS AISÉN,11,Aysén,3,8,2.0,6,0,0,1,17
2020-04-15,SS ANTOFAGASTA,2,Antofagasta,32,45,31.0,45,3,0,30,53
2020-04-15,SS ARAUCANÍA NORTE,9,Araucanía,6,13,9.0,12,3,0,5,14
2020-04-15,SS ARAUCANÍA SUR,9,Araucanía,54,79,18.0,35,43,1,53,76
2020-04-15,SS ARAUCO,8,Bíobío,0,0,3.0,4,0,0,0,0
2020-04-15,SS ARICA,15,Arica y Parinacota,11,12,2.0,12,5,2,8,15
2020-04-15,SS ATACAMA,3,Atacama,7,14,5.0,18,1,0,7,25
2020-04-15,SS BÍO BÍO,8,Bíobío,16,28,12.0,42,2,0,7,54
2020-04-15,SS CHILOÉ,10,Los Lagos,7,8,0.0,0,1,0,5,8
2020-04-15,SS CONCEPCIÓN,8,Bíobío,33,52,14.0,34,12,0,22,60
2020-04-15,SS COQUIMBO,4,Coquimbo,17,29,22.0,42,0,1,23,42
2020-04-15,SS DEL MAULE,7,Maule,32,51,22.0,48,10,1,20,53
2020-04-15,SS DEL RELONCAVÍ,10,Los Lagos,22,29,48.0,53,5,0,13,31
2020-04-15,SS IQUIQUE,1,Tarapacá,6,14,10.0,12,0,0,3,11
2020-04-15,SS LIBERTADOR B. O'HIGGINS,6,O’Higgins,36,61,49.0,82,4,2,30,77
2020-04-15,SS MAGALLANES,12,Magallanes,24,39,4.0,6,15,0,19,32
2020-04-15,SS METROPOLITANO CENTRAL,13,Metropolitana,114,142,109.0,169,39,8,78,197
2020-04-15,SS METROPOLITANO NORTE,13,Metropolitana,81,154,129.0,183,23,2,62,162
2020-04-15,SS METROPOLITANO OCCIDENTE,13,Metropolitana,48,63,67.0,71,19,1,43,77
2020-04-15,SS METROPOLITANO ORIENTE,13,Metropolitana,117,217,176.0,335,36,2,54,261
2020-04-15,SS METROPOLITANO SUR,13,Metropolitana,44,61,87.0,109,21,3,44,66
