Poblacion,Casos Confirmados,Fecha,Region ID,Region,Provincia ID,Provincia,Comuna ID,Comuna,Tasa
1233.0,0.0,2020/07/10,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/06/01,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,15.0,2020/07/27,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,1216.54501216545
1233.0,8.0,2020/07/13,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,648.8240064882401
1233.0,13.0,2020/07/20,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,1054.33901054339
1233.0,0.0,2020/04/15,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/07/05,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/06/19,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/04/27,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,25.0,2020/08/21,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,2027.5750202757501
1233.0,27.0,2020/08/24,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,2189.78102189781
1233.0,0.0,2020/04/20,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,16.0,2020/07/31,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,1297.6480129764802
1233.0,0.0,2020/04/01,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/06/12,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/04/10,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,25.0,2020/08/17,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,2027.5750202757501
1233.0,23.0,2020/08/07,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,1865.36901865369
1233.0,23.0,2020/08/10,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,1865.36901865369
1233.0,0.0,2020/04/08,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/04/24,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/07/01,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/06/28,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,25.0,2020/08/28,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,2027.5750202757501
1233.0,0.0,2020/05/22,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,13.0,2020/07/17,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,1054.33901054339
1233.0,0.0,2020/05/15,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/05/29,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/05/25,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/04/17,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/06/23,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/06/05,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/05/18,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/05/11,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/06/15,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
1233.0,0.0,2020/05/04,15.0,Arica y Parinacota,151.0,Arica,15102.0,Camarones,0.0
810.0,0.0,2020/04/13,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/03/30,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/05/08,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/06/08,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/04/03,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,1.0,2020/08/03,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,123.45679012345678
810.0,0.0,2020/05/01,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
