Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Viña_del_mar,Rengo,San_Fernando,Talca_La_Florida,Valdivia,Coyhaique_II
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Valparaíso,O’Higgins,O’Higgins,Maule,Los Ríos,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,5,6,6,7,14,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Vina del mar,Rengo,San Fernando,Talca,Valdivia,Coyhaique
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,5109,6115,6301,7101,14101,11101
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356,261803,329665,317503,256889,651593,730152
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788,6343569,6192542,6171746,6075395,5589460,4948488
2015-01-01 00:00:00,1.81749999523163,4.53448009490967,4.02399015426636,6.71000003814697,4.20598983764648,6.76330995559692,1.00674998760223,3.93673992156982,5.77057981491089,12.3400001525879,4.93866014480591,5.46667003631592,,13.6175003051758,6.5,,6.5
2015-01-01 01:00:00,2.66750001907349,5.45299005508423,2.69198989868164,7.46000003814697,2.95099997520447,7.42997980117798,1.01125001907349,2.85450005531311,2.30920004844666,11.5900001525879,4.18866014480591,5.76667022705078,,12.7216997146606,1.39999997615814,,5.59999990463257
2015-01-01 02:00:00,2.33750009536743,4.03349018096924,3.1082398891449,4.96000003814697,2.28166007995605,5.4299898147583,1.01575005054474,1.59808003902435,1,11.0066995620728,5.52199983596802,8.17500019073486,,12.1632995605469,4.5,,4.5
2015-01-01 03:00:00,1.25332999229431,3.44899988174438,4.52347993850708,3.04666996002197,2.58400011062622,1.7333300113678,1.68850004673004,2.34733009338379,1,9.67331027984619,4.52199983596802,9.27499008178711,,11.6483001708984,4.59999990463257,,6.5
2015-01-01 04:00:00,2.33555006980896,3.86649990081787,2.27574992179871,1,5.54465007781982,1.90222001075745,2.91399002075195,4.90799999237061,1,6.22886991500854,6.02199983596802,7.26667022705078,,9.83582019805908,5.19999980926514,,5.89999008178711
2015-01-01 05:00:00,3.19000005722046,3.69950008392334,1.10350000858307,1.21333003044128,3.42510008811951,1,1.12300002574921,1.02300000190735,1,5.0066499710083,3.93865990638733,5.26667022705078,,8.25082015991211,5.39999008178711,,6.30000019073486
2015-01-01 06:00:00,4.4824800491333,5.11898994445801,3.19148993492126,3.62666010856628,4.28965997695923,3.76331996917725,2.9372398853302,2.85450005531311,1.81659996509552,6.17331981658936,3.93865990638733,2.16667008399963,,7.38616991043091,5.59999990463257,,7
2015-01-01 07:00:00,6.95748996734619,8.20847034454346,9.35198974609375,9.45998001098633,9.56064033508301,11.8465995788574,5.68899011611938,9.01496982574463,7.25557994842529,10.9232997894287,9.35531997680664,6.18333005905151,,10.2150001525879,6.80000019073486,,10.1999998092651
2015-01-01 08:00:00,12.7325000762939,12.7174997329712,18.8425006866455,16.5433006286621,14.4969997406006,17.0132999420166,10.600700378418,14.1765003204346,14.103099822998,14.5066995620728,15.6885995864868,7.84999990463257,,12.4907999038696,7.69999980926514,,10.8000001907349
2015-01-01 09:00:00,20.5699996948242,16.7255001068115,29.7481994628906,23.8766002655029,20.0189990997314,23.2632999420166,15.5957002639771,20.6700000762939,19.960599899292,19.3400001525879,21.1886005401611,14.1083002090454,,15.8824996948242,9.59998989105225,,9.59998989105225
2015-01-01 10:00:00,28.4899997711182,21.9860000610352,41.1534004211426,31.8766002655029,27.1305999755859,27.4300003051758,22.6720008850098,27.0802001953125,30.3556003570557,27.0067005157471,27.8553009033203,16.9666996002197,,19.2483005523682,11.6999998092651,,12
2015-01-01 11:00:00,31.2950000762939,26.996000289917,47.8134002685547,34.5433006286621,33.7402992248535,33.9300003051758,29.9979991912842,33.4903984069824,34.2330017089844,28.4232997894287,32.5219993591309,17.0750007629395,,21.5424995422363,13.6999998092651,,11.8999996185303
2015-01-01 12:00:00,35.5023994445801,32.0894012451172,49.9777984619141,41.7933006286621,37.2542991638184,42.2631988525391,36.4914016723633,39.2346992492676,38.3580017089844,28.6732997894287,36.5219993591309,16.2082996368408,,24.7367000579834,15.8000001907349,,12.8000001907349
2015-01-01 13:00:00,39.3799018859863,32.5069999694824,51.559700012207,45.6265983581543,38.0073013305664,42.0965995788574,38.9889984130859,40.5666999816895,39.1006011962891,30.2567005157471,38.1053009033203,17.1833000183105,,27.8507995605469,18.1000003814697,,13.5
2015-01-01 14:00:00,36.4099006652832,31.003999710083,54.2237014770508,40.4599990844727,33.9912986755371,37.0965995788574,32.9117012023926,35.3219985961914,37.6981010437012,30.7567005157471,34.4385986328125,15.25,,30.3817005157471,20.6000003814697,,13.5
2015-01-01 15:00:00,31.5424003601074,27.4134998321533,51.809398651123,37.2099990844727,34.4933013916016,35.4300003051758,28.8325004577637,34.9057006835938,33.8205986022949,29.3400001525879,33.3553009033203,15.3999996185303,,33.4749984741211,22.8999996185303,,14.1000003814697
2015-01-01 16:00:00,30.8824996948242,26.0774993896484,46.1483993530273,37.7933006286621,34.8278999328613,36.0965995788574,29.9979991912842,34.8223991394043,31.5105991363525,31.1732997894287,33.6053009033203,15.0082998275757,,34.9707984924316,24.3999996185303,,13.8999996185303
