Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Rancagua_I,Talca_La_Florida,Padre_Las_Casas_II,Las_Encinas,Coyhaique_II
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,O’Higgins,Maule,Araucanía,Araucanía,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,6,7,9,9,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Rancagua,Talca,Padre las Casas,Temuco,Coyhaique
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,6101,7101,9112,9101,11101
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356,342015,256889,708625,706767,730152
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788,6218523,6075395,5706593,5708420,4948488
2013-01-01 00:00:00,0.876287996768951,1.02177000045776,0.701296985149384,0.529913008213043,1.13007998466492,0.79324597120285,1.72414004802704,0.909089028835297,0.585238993167877,0.663348019123077,0.919827997684479,,,,,
2013-01-01 01:00:00,1.11110997200012,1.62813997268677,0.768828988075256,0.717947006225586,1.01897001266479,1.37721002101898,1.69457995891571,1.32323002815247,1.26661002635956,0.865669012069702,0.931643009185791,,,,,
2013-01-01 02:00:00,1.33160996437073,2.07704997062683,0.718613028526306,0.965810000896454,0.829267978668213,1.08861005306244,1.57634997367859,1.05218994617462,1.4334100484848,0.854061007499695,1.16454994678497,,,,,
2013-01-01 03:00:00,1.55783998966217,1.18368995189667,0.484847992658615,1.19658005237579,1.19240999221802,1.15892994403839,2.35357999801636,1.24579000473022,1.01780998706818,0.74074000120163,0.956399023532867,,,,,
2013-01-01 04:00:00,1.62656998634338,1.17443001270294,0.427127003669739,1.33333003520966,1.4057799577713,1.23768997192383,3.30874991416931,1.60089004039764,1.14512002468109,0.619123995304108,0.821376979351044,,,,,
2013-01-01 05:00:00,1.58074998855591,1.05353999137878,0.320345997810364,1.35041999816895,1.64638996124268,1.34177005290985,2.83373999595642,1.90595996379852,0.756801009178162,0.663348019123077,1.01266002655029,,,,,
2013-01-01 06:00:00,1.60652995109558,0.708115994930267,0.303030014038086,1.50426995754242,1.33008003234863,1.40084004402161,1.34316003322601,1.57850003242493,0.620747029781342,0.638472974300385,0.725736975669861,,,,,
2013-01-01 07:00:00,1.78693997859955,0.509498000144958,0.19047600030899,1.40171003341675,1.05434000492096,1.85652995109558,0.663389027118683,1.22585999965668,0.467685997486115,0.663348019123077,0.691981017589569,,,,,
2013-01-01 08:00:00,1.72679996490479,0.379965007305145,0.268397986888885,0.820510983467102,0.707807004451752,0.869195997714996,0.53235000371933,0.839628994464874,0.425168991088867,0.646764993667603,0.700420022010803,,,,,
2013-01-01 09:00:00,1.0738799571991,0.310880988836288,0.337662011384964,0.564100027084351,0.510948002338409,0.658226013183594,0.524159014225006,0.612927973270416,0.416666001081467,0.555553019046783,0.691981017589569,,,,,
2013-01-01 10:00:00,0.678692996501923,0.293608993291855,0.406924992799759,0.435896009206772,0.454176008701324,0.506328999996185,0.466829985380173,0.495380997657776,0.340135008096695,0.456052005290985,0.379745990037918,,,,,
2013-01-01 11:00:00,0.515464007854462,0.276338011026382,0.484847992658615,0.384613990783691,0.486616998910904,0.430379003286362,0.368550002574921,0.486984997987747,0.18707500398159,0.315090000629425,0.261602014303207,,,,,
2013-01-01 12:00:00,0.498281002044678,0.207253992557526,0.372292995452881,0.316237986087799,0.397403985261917,0.371306985616684,0.303030014038086,0.411417990922928,0.178571000695229,0.298507004976273,0.236285999417305,,,,,
2013-01-01 13:00:00,0.290533989667892,0.198617994785309,0.285714000463486,0.307691991329193,0.397403985261917,0.312234997749329,0.303030014038086,0.310663014650345,0.212585002183914,0.298507004976273,0.20253099501133,,,,,
2013-01-01 14:00:00,,0.146805003285408,0.225107997655869,0.29059699177742,0.364962995052338,0.303797006607056,0.245700001716614,0.302266985177994,0.204081997275352,0.298507004976273,0.20253099501133,,,,,
2013-01-01 15:00:00,,0.103626996278763,0.20779199898243,0.230768993496895,0.324411004781723,0.303797006607056,0.204750001430511,0.302266985177994,0.119047999382019,0.215588003396988,0.20253099501133,,,,,
2013-01-01 16:00:00,,0.11226200312376,0.20779199898243,0.222222000360489,0.324411004781723,0.303797006607056,0.229320004582405,0.302266985177994,0.119047999382019,0.199004992842674,0.20253099501133,,,,,
2013-01-01 17:00:00,,0.129534006118774,0.20779199898243,0.205127999186516,0.316300004720688,0.303797006607056,0.22112999856472,0.302266985177994,0.195577993988991,0.199004992842674,0.20253099501133,,,,,
2013-01-01 18:00:00,,0.138169005513191,0.19047600030899,0.205127999186516,0.324411004781723,0.303797006607056,0.245700001716614,0.302266985177994,0.204081997275352,0.199004992842674,0.20253099501133,,,,,
2013-01-01 19:00:00,,0.207253992557526,0.20779199898243,0.205127999186516,0.332520991563797,0.286918997764587,0.286650002002716,0.302266985177994,0.204081997275352,0.240464001893997,0.20253099501133,,,,,
2013-01-01 20:00:00,0.249139994382858,0.233160004019737,0.20779199898243,0.205127999186516,0.364962995052338,0.286918997764587,0.311219990253448,0.310663014650345,0.238095000386238,0.290214985609055,0.219409003853798,,,,,
2013-01-01 21:00:00,0.412371009588242,0.267702996730804,0.20779199898243,0.205127999186516,0.356851994991302,0.312234997749329,0.409500002861023,0.302266985177994,0.306122004985809,0.215588003396988,0.236285999417305,,,,,
2013-01-01 22:00:00,0.317869007587433,0.207253992557526,0.337662011384964,0.205127999186516,0.316300004720688,0.295358002185822,0.352169990539551,0.302266985177994,0.442176014184952,0.298507004976273,0.20253099501133,,,,,
2013-01-01 23:00:00,0.309278011322021,0.207253992557526,0.277056008577347,0.205127999186516,0.348742008209229,0.261602014303207,0.319409996271133,0.302266985177994,0.340135008096695,0.298507004976273,0.20253099501133,,,,,
2013-01-02 00:00:00,0.309278011322021,0.207253992557526,0.294371992349625,0.205127999186516,0.259528994560242,0.219409003853798,0.262080013751984,0.26028499007225,0.31462499499321,0.248756006360054,0.194092005491257,,,,,
2013-01-02 01:00:00,0.247421994805336,0.238342002034187,0.322077006101608,0.143589004874229,0.184725001454353,0.20253099501133,0.265356004238129,0.20151099562645,0.385486990213394,0.278605997562408,0.111391998827457,,,,,
