Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana
Codigo region,13,13,13,13,13,13,13,13,13,13,13
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788
2012-06-17 15:00:00,30.4829998016357,22.7576007843018,9.43760967254639,20.914400100708,12.9376001358032,21.4997997283936,26.4517993927002,18.6650009155273,4.0111198425293,11.7901000976562,27.9717998504639
2012-06-17 16:00:00,31.4715995788574,23.9958000183105,12.444299697876,18.9783992767334,16.9915008544922,23.3581008911133,29.694299697876,19.3425006866455,15.6343002319336,14.9081001281738,28.5186996459961
2012-06-17 17:00:00,32.3468017578125,19.1378002166748,16.703800201416,24.4265003204346,25.9419002532959,24.2740001678467,21.7073993682861,27.8253002166748,6.09909009933472,17.7663993835449,35.9355010986328
2012-06-17 18:00:00,30.5972003936768,21.4603996276855,21.3808002471924,22.6928005218506,30.480899810791,23.8297996520996,20.3705997467041,28.8987998962402,9.77649974822998,14.1434001922607,33.907600402832
2012-06-17 19:00:00,28.5699996948242,22.023099899292,23.3852996826172,24.2780990600586,30.4365005493164,23.5846004486084,28.5062007904053,28.4834003448486,6.93428993225098,6.92132997512817,31.8019008636475
2012-06-17 20:00:00,30.07080078125,21.0991992950439,20.9631996154785,23.2831001281738,28.3206005096436,24.6499004364014,29.5128002166748,27.8913993835449,9.7837495803833,10.7845001220703,27.9491996765137
2012-06-17 21:00:00,30.3700008392334,19.718900680542,16.7873001098633,24.752799987793,26.7103996276855,24.6420993804932,23.9137001037598,27.1842002868652,2.42426991462708,20.3274002075195,29.2164001464844
2012-06-17 22:00:00,29.0146007537842,18.9207992553711,19.8775005340576,21.3223991394043,27.4888000488281,22.0809001922607,22.8635005950928,25.2905006408691,1.92315995693207,21.8729991912842,23.547399520874
2012-06-17 23:00:00,27.7887992858887,17.9281005859375,13.1125001907349,20.5268001556396,24.4025001525879,22.4759006500244,23.0576000213623,23.7148990631104,1,18.0058994293213,22.2588005065918
2012-06-18 00:00:00,26.5795001983643,13.2884998321533,9.4209098815918,20.8125991821289,20.0443992614746,20.5720996856689,16.3036994934082,20.9528999328613,3.45137000083923,14.6560001373291,15.1478004455566
2012-06-18 01:00:00,24.32080078125,9.90380954742432,8.76945018768311,16.8719997406006,16.7008991241455,20.8794994354248,11.5908002853394,20.4666996002197,1.16851997375488,11.5445003509521,12.032600402832
2012-06-18 02:00:00,21.8995990753174,9.02141952514648,6.79288005828857,15.9321002960205,16.6770000457764,18.9393005371094,10.7809000015259,18.2478008270264,9.59337043762207,16.6760997772217,10.8041000366211
2012-06-18 03:00:00,19.3621006011963,8.18375968933105,8.24275016784668,15.6667003631592,15.0719003677368,17.192699432373,13.5840997695923,15.6318998336792,17.8880996704102,18.1987991333008,10.8226003646851
2012-06-18 04:00:00,18.338399887085,9.30634021759033,7.52003002166748,15.3332996368408,11.9107999801636,15.2720003128052,13.016300201416,14.3846998214722,15.9111003875732,17.2262992858887,12.4264001846313
2012-06-18 05:00:00,18.472900390625,7.68666982650757,9.19225978851318,13.0832996368408,10.3268003463745,13.3204002380371,13.1575002670288,14.8835000991821,12.417799949646,16.4332008361816,11.0924997329712
2012-06-18 06:00:00,29.2854995727539,8.66858959197998,12.9643001556396,12.5,14.0605001449585,12.2987003326416,17.6473999023438,14.3846998214722,18.9095001220703,17.9694004058838,4.68623018264771
2012-06-18 07:00:00,35.9425010681152,13.2035999298096,18.6014995574951,16.75,18.221700668335,19.5624008178711,15.1049003601074,15.7149000167847,21.5042991638184,14.7531003952026,
2012-06-18 08:00:00,36.3317985534668,19.4629993438721,23.0767993927002,43.1665992736816,23.2649993896484,26.237699508667,31.8649005889893,19.1240997314453,21.1275005340576,13.2869997024536,
2012-06-18 09:00:00,28.0802001953125,24.4116992950439,21.1434001922607,43.4165992736816,32.6953010559082,42.814998626709,50.6752014160156,32.5110015869141,13.3968000411987,14.0051002502441,17.7446994781494
2012-06-18 10:00:00,25.4974994659424,22.4162998199463,14.7370004653931,62.0833015441895,28.2996997833252,33.9738006591797,45.4761009216309,31.7625007629395,17.084400177002,12.7328996658325,22.1263008117676
2012-06-18 11:00:00,34.6764984130859,25.1333999633789,17.4953002929688,37.9165992736816,19.7663993835449,27.2786998748779,50.3153991699219,25.7759990692139,27.7373008728027,8.21753025054932,16.6215991973877
