Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Talca_La_Florida,Padre_Las_Casas_II,Coyhaique_II,Valdivia
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Maule,Araucanía,Aysén,Los Ríos
Codigo region,13,13,13,13,13,13,13,13,13,13,13,7,9,11,14
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Talca,Padre las Casas,Coyhaique,Valdivia
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,7101,9112,11101,14101
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356,256889,708625,730152,651593
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788,6075395,5706593,4948488,5589460
2017-01-01 00:00:00,,21.0900001525879,,7.76667022705078,19.8316993713379,,13.4399995803833,8.35249042510986,10.9949998855591,3.01583003997803,,5.2839298248291,10.1063995361328,3.00332999229431,
2017-01-01 01:00:00,,22.7567005157471,,15.2600002288818,25.3432998657227,,15.8900003433228,14.2325000762939,18.6783008575439,1.34333002567291,,4.03492021560669,8.4518404006958,2.69074988365173,
2017-01-01 02:00:00,,21.0067005157471,,15.9121999740601,24.8255996704102,,16.6956005096436,16.6432991027832,17.3432998657227,1.09916996955872,,5.41689014434814,7.93161010742188,1.39499998092651,
2017-01-01 03:00:00,18.3889007568359,20.2289009094238,,18.0454998016357,25.7233009338379,,14.917799949646,14.8699998855591,17.4643993377686,4.12750005722046,,5.29171991348267,5.21787023544312,1,
2017-01-01 04:00:00,18.8250007629395,18.0900001525879,,18.1566009521484,24.4608001708984,,13.9732999801636,14.5950002670288,16.0492000579834,3.33582997322083,,2.93244004249573,4.09236001968384,1,
2017-01-01 05:00:00,19.1000003814697,15.1732997894287,,17.323299407959,23.36669921875,,13.5566997528076,12.9449996948242,11.7674999237061,7.14333009719849,,3.1313099861145,3.56174993515015,1,
