Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,San_Fernando,Talca_La_Florida,Los_Andes,Coyhaique_II
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,O’Higgins,Maule,Valparaíso,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,6,7,5,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,San Fernando,Talca,Los Andes,Coyhaique
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,6301,7101,5301,11101
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356,317503,256889,351534,730152
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788,6171746,6075395,6364623,4948488
2019-01-01 00:00:00,2.66667008399963,1,8.09000015258789,9.01500034332275,1.2666699886322,,1.01917004585266,3.44000005722046,1,9.18332958221436,,14.4333000183105,6.58817005157471,19.8540000915527,12.3877000808716
2019-01-01 01:00:00,1.57249999046326,1,10.0900001525879,3.49000000953674,1,,1,3.00583004951477,1,8.04001045227051,,13.9666996002197,4.47616004943848,16.284200668335,11.9940996170044
2019-01-01 02:00:00,1.48833000659943,1,8.59000015258789,2.29999995231628,1,,1,1.08667004108429,1,4.30916976928711,,12.8249998092651,4.92199993133545,15.1400003433228,11.7320003509521
2019-01-01 03:00:00,1.32000005245209,1,8.84000015258789,2.29999995231628,1.03666996955872,,1,1.0108300447464,1,1.49832999706268,,11.4167003631592,3.59295988082886,15.569899559021,12.2349996566772
2019-01-01 04:00:00,1.32000005245209,1,12.8677997589111,2.29999995231628,1,,1,2.11999988555908,1,1,,10.5333003997803,2.98409008979797,15.2076997756958,12.2215003967285
2019-01-01 05:00:00,1.43221998214722,1,15.3121995925903,2.29999995231628,1,,1,2.11999988555908,1,1.40666997432709,,8.52499008178711,2.9506299495697,14.274299621582,11.8711004257202
2019-01-01 06:00:00,2.41417002677917,1.21916997432709,14.2566995620728,4.51000022888184,1,,1.17250001430511,4.08915996551514,2.55250000953674,2.65000009536743,,8.47500991821289,5.90944004058838,10.2679004669189,12.8177995681763
2019-01-01 07:00:00,9.82083034515381,8.95333957672119,25.0067005157471,9.27000045776367,1.31333005428314,,6.98000001907349,9.6274995803833,12.3533000946045,9.67333984375,,11.1583003997803,9.10023021697998,21.7668991088867,12.8568000793457
2019-01-01 08:00:00,25.3075008392334,21.1417007446289,34.1733016967773,19.2150001525879,10.7733001708984,,20.5634002685547,20.9300003051758,24.3892002105713,17.5949993133545,,15.0749998092651,12.0397996902466,35.1663017272949,13.2665004730225
2019-01-01 09:00:00,35.3233985900879,36.4199981689453,42.9233016967773,31.9650001525879,19.4400005340576,,36.8967018127441,33.2224998474121,40.9700012207031,28.2933006286621,,20.5750007629395,14.7746000289917,45.9686012268066,13.2019996643066
2019-01-01 10:00:00,49.0424995422363,52.2132987976074,59.4233016967773,49.4749984741211,28.7733001708984,,55.3967018127441,43.3699989318848,67.0615997314453,37.3582992553711,,25.6417007446289,17.2654991149902,54.0458984375,
2019-01-01 11:00:00,59.3950004577637,69.4657974243164,74.1733016967773,65.879997253418,41.189998626709,,59.0633010864258,60.6949996948242,73.3740997314453,32.9483985900879,,30.4249992370605,18.0454998016357,64.4024963378906,12.8438997268677
2019-01-01 12:00:00,66.9700012207031,60.7108001708984,80.0899963378906,63.5,41.6067008972168,,50.5633010864258,55.8274993896484,53.5950012207031,31.9682998657227,,32.0499992370605,20.2469005584717,70.549201965332,13.4844999313354
2019-01-01 13:00:00,57.4592018127441,54.8740997314453,80.3399963378906,57.6349983215332,35.439998626709,,48.1467018127441,47.9900016784668,56.625,33.1934013366699,,33.3917007446289,21.7238006591797,71.5706024169922,12.9118995666504
2019-01-01 14:00:00,51.1467018127441,52.127498626709,69.0065994262695,51.939998626709,31.8567008972168,,44.6467018127441,41.3074989318848,55.5307998657227,33.6833000183105,,35.5917015075684,21.8705997467041,70.7985000610352,13.4106998443604
2019-01-01 15:00:00,49.7999992370605,51.9558982849121,63.6733016967773,49.560001373291,27.2733001708984,,46.8133010864258,41.6375007629395,58.3083000183105,33.4384002685547,,35.875,20.8684005737305,76.9160995483398,12.4106998443604
2019-01-01 16:00:00,47.6958999633789,50.239200592041,60.5900001525879,47.6049995422363,30.3567008972168,,44.6467018127441,40.8950004577637,55.7832984924316,30.7432994842529,,35.0583000183105,20.1362991333008,79.8711013793945,11.9983997344971
2019-01-01 17:00:00,44.0766983032227,43.801700592041,54.5066986083984,43.3549995422363,29.6067008972168,,36.2299995422363,37.6775016784668,47.4509010314941,27.6399993896484,,35.2583999633789,19.3253002166748,77.5233001708984,12.4734001159668
2019-01-01 18:00:00,37.3432998657227,35.6474990844727,47.5066986083984,38.6800003051758,26.9400005340576,,31.8966999053955,35.7799987792969,37.435001373291,24.2917003631592,,32.6749992370605,18.9353008270264,67.6962966918945,12.4216995239258
2019-01-01 19:00:00,28.4216995239258,27.9225006103516,40.8400001525879,31.3700008392334,20.5233001708984,,24.4799995422363,28.7674999237061,26.9141998291016,19.7999992370605,,27.7667007446289,17.2714004516602,52.4692993164062,11.7405004501343
