Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Rengo,San_Fernando,Talca_La_Florida,Valdivia,Coyhaique_II
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,O’Higgins,O’Higgins,Maule,Los Ríos,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,6,6,7,14,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Rengo,San Fernando,Talca,Valdivia,Coyhaique
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,6115,6301,7101,14101,11101
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356,329665,317503,256889,651593,730152
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788,6192542,6171746,6075395,5589460,4948488
2017-01-01 00:00:00,3.58999991416931,5.03749990463257,,,,6.13749980926514,5.99666976928711,10.0767002105713,9.75,5.13333988189697,,6.39349985122681,3.86833000183105,1,,12.6258001327515
2017-01-01 01:00:00,4.90999984741211,4.36417007446289,,,,1.4266699552536,2.49667000770569,5.40999984741211,4.83334016799927,5.21667003631592,,4.44832992553711,1.98599994182587,1.19007003307343,,12.2108001708984
2017-01-01 02:00:00,1.55666995048523,2.68083000183105,,,,1,1.49749994277954,4.32667016983032,4.25,4.71667003631592,,2.46657991409302,1,1,,12.3474998474121
2017-01-01 03:00:00,1.31333005428314,2.59665989875793,,,,1,1.33000004291534,4.57667016983032,3.08332991600037,1,,1.79725003242493,1,1,,12.6042003631592
2017-01-01 04:00:00,1.94000005722046,3.60666990280151,,,,1,1.55221998691559,4.38222980499268,3.22221994400024,1,,1.39491999149323,1,2.42210006713867,,12.7383003234863
2017-01-01 05:00:00,1.94000005722046,5.06555986404419,,,,1,3.21888995170593,3.71555995941162,3.33332991600037,1,,1.32242000102997,1,2.64958000183105,,12.9708003997803
2017-01-01 06:00:00,3.83750009536743,5.71084022521973,,,,1,4.07999992370605,4.49334001541138,5.08334016799927,1.13750004768372,,3.10741996765137,1,3.27935004234314,,12.2517004013062
2017-01-01 07:00:00,8.29249954223633,10.9292001724243,,,,6.40916013717651,12.4967002868652,11.4099998474121,16,6.71667003631592,,7.43174982070923,1,5.67794990539551,,12.1175003051758
2017-01-01 08:00:00,15.3874998092651,24.9008007049561,,,,16.8882999420166,26.6632995605469,22.4099998474121,28.75,17.63330078125,,10.4825000762939,3.04292011260986,7.74237012863159,,12.7558002471924
2017-01-01 09:00:00,21.9050006866455,40.3875007629395,,,,28.2858009338379,41.2467002868652,37.1599998474121,42,28.2166004180908,,17.926700592041,4.67000007629395,10.0460996627808,,12.6258001327515
2017-01-01 10:00:00,30.9799995422363,57.6417007446289,,,,39.6833000183105,45.5800018310547,52.0766983032227,47.6666984558105,37.13330078125,,23.6574993133545,6.75,11.7831001281738,,13.8507995605469
2017-01-01 11:00:00,39.8074989318848,51.1608009338379,,,,35.3992004394531,38.8300018310547,54.6599998474121,41.25,41.13330078125,,25.9832992553711,13.3142004013062,13.5984001159668,,14.0291996002197
2017-01-01 12:00:00,30.8150005340576,43.7541999816895,,,,33.6208000183105,41.9967002868652,47.0766983032227,42.5,41.7167015075684,,27.5641994476318,21.823299407959,15.1218996047974,,14.3032999038696
2017-01-01 13:00:00,28.9174995422363,48.551700592041,,,,35.1567001342773,43.5800018310547,49.9099998474121,43.3333015441895,42.38330078125,,29.3491992950439,23.5557994842529,16.2371006011963,,13.8408002853394
2017-01-01 14:00:00,29.8250007629395,51.9183006286621,,,,37.1775016784668,47.1632995605469,47.5766983032227,47.9166984558105,44.5499992370605,,28.8432998657227,27.2600002288818,17.0790004730225,,15.7041997909546
2017-01-01 15:00:00,29.4950008392334,54.6116981506348,,,,37.25830078125,48.4967002868652,45.8266983032227,51.5,35.4667015075684,,32.3974990844727,25.5492000579834,17.8857002258301,,15.6866998672485
2017-01-01 16:00:00,28.0100002288818,53.6859016418457,,,,33.4592018127441,45.6632995605469,44.1599998474121,51,31.2999992370605,,31.5167007446289,21.8132991790771,18.6270999908447,,15.3507995605469
2017-01-01 17:00:00,23.1424999237061,45.185001373291,,,,26.75,33.1632995605469,37.8266983032227,37.1666984558105,28.4666004180908,,29.6707992553711,26.9491996765137,19.3216991424561,,14.9057998657227
2017-01-01 18:00:00,16.7900009155273,31.1291999816895,,,,20.364200592041,25.9132995605469,30.0767002105713,29.0832996368408,24.4666004180908,,29.6574993133545,25.2099990844727,18.7756996154785,,14.4608001708984
2017-01-01 19:00:00,12.1700000762939,22.8808002471924,,,,15.7566995620728,19.5799999237061,23.7432994842529,23.5832996368408,21.4666004180908,,26.3250007629395,21.8458003997803,16.993200302124,,13.1983003616333
2017-01-01 20:00:00,7.88000011444092,15.3900003433228,,,,11.5532999038696,13.3299999237061,17.3267002105713,17.5832996368408,16.7166996002197,,21.823299407959,13.6117000579834,10.7985000610352,,12.1632995605469
2017-01-01 21:00:00,4.66250991821289,9.66666984558105,,,,7.18834018707275,8.74666976928711,10.4933004379272,12.6667003631592,14.9666996002197,,17.5058002471924,11.1141996383667,8.30974006652832,,12.4282999038696
