Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Antofagasta,Copiapó,Andacollo,Cuncumén,Viña_del_Mar,Rancagua_I,Rancagua_II,Rengo,San_Fernando,Curicó,Talca_La_Florida,UC_Maule,U_Talca,M_Ferroviario,Nielol,Las_Encinas,Padre_las_Casas,Valdivia,Osorno,Coyhaique_I,Coyhaique_II
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Antofagasta,Atacama,Coquimbo,Coquimbo,Valparaíso,O’Higgins,O’Higgins,O’Higgins,O’Higgins,Maule,Maule,Maule,Maule,Araucanía,Araucanía,Araucanía,Araucanía,Los Ríos,Los Lagos,Aysén,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,2,3,4,4,5,6,6,6,6,7,7,7,7,9,9,9,9,14,10,11,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Antofagasta,Copiapo,Andacollo,Salamanca,Vina del mar,Rancagua,Rancagua,Rengo,San Fernando,Curico,Talca,Talca,Talca,Temuco,Temuco,Temuco,Padre las Casas,Valdivia,Osorno,Coyhaique,Coyhaique
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,2101,3101,4103,4204,5109,6101,6101,6115,6301,7301,7101,7101,7101,9101,9101,9101,9112,14101,10301,11101,11101
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356,358874,369133,299236,345907,261803,342015,339842,329665,317503,296068,256889,262216,260878,711144,710378,706767,708625,651593,659217,729281,730152
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788,7387875,6971887,6654136,6470680,6343569,6218523,6220527,6192542,6171746,6127456,6075395,6075477,6078683,5710911,5710745,5708420,5706593,5589460,5505665,4948421,4948488
2017-01-01 00:00:00,28,59,,20,35,24,32,29,43,17,52,123.800003051758,88.8574981689453,56.1683006286621,32.7900009155273,43.1100006103516,29.6399993896484,53.7599983215332,43,6.42166996002197,25.1399993896484,48.7799987792969,6.8730001449585,16.2900009155273,19.3099994659424,,66.8000030517578,56.4500007629395,29.6700000762939,11.039999961853,21.0200004577637,28.9599990844727
2017-01-01 01:00:00,28,67,,32,36,40,40,34,56,16,65,58.6800003051758,21.1599998474121,58.8083000183105,36.9500007629395,50.4799995422363,19.2399997711182,27.4874992370605,,6.98441982269287,13.8125,27.75,15.6599998474121,12.2299995422363,19.0200004577637,,54.5400009155273,68,16.2900009155273,22.9400005340576,27.7999992370605,26.25
2017-01-01 02:00:00,32,36,,30,39,55,27,35,72,24,59,16.6599998474121,27.875,49.5816993713379,23.3099994659424,58.7400016784668,26.8799991607666,22.1100006103516,,5.2480001449585,17.4367008209229,41.0499992370605,6.89099979400635,10.8800001144409,26.2099990844727,,33.4300003051758,36.4599990844727,21.1399993896484,8.32999992370605,11.539999961853,13.8100004196167
2017-01-01 03:00:00,40,36,,34,54,46,42,46,58,29,72,33.9300003051758,20.823299407959,37.1632995605469,28.8799991607666,25.5699996948242,23.7999992370605,24.5482997894287,,4.86432981491089,14.8708000183105,33.7099990844727,6.7979998588562,7.55700016021729,17.0200004577637,,29.3400001525879,28.9500007629395,14.5100002288818,9.71000957489014,21.0300006866455,15.3800001144409
2017-01-01 04:00:00,48,60,,38,59,102,46,59,65,33,52,39.8800010681152,20.7091999053955,30.096700668335,28.1900005340576,28.8199996948242,20.2800006866455,24.6191997528076,,7.36142015457153,,28.0699996948242,7.3769998550415,5.56599998474121,14.7399997711182,,20.4899997711182,34.689998626709,8.10999965667725,12.460000038147,5.77699995040894,8.49100017547607
2017-01-01 05:00:00,55,74,,52,54,57,63,66,59,43,65,46.5200004577637,21.9342002868652,28.114200592041,26.2099990844727,26.5900001525879,19.5699996948242,22.9150009155273,23.4300003051758,4.95349979400635,14.6499004364014,41.8300018310547,8.89000034332275,10.8800001144409,19.4300003051758,,20.3799991607666,32.6500015258789,4.07299995422363,13.8400001525879,22.3799991607666,5.86800003051758
2017-01-01 06:00:00,56,79,,72,70,69,81,74,60,68,87,43.689998626709,25.2017002105713,31.11669921875,35.4700012207031,21.5,23.3299999237061,14.6950998306274,27.5200004577637,4.63832998275757,16.0932998657227,53.0200004577637,10.0500001907349,10.8800001144409,18.6900005340576,,21.1700000762939,27.8500003814697,19.4500007629395,11.039999961853,15.6000003814697,4.51000022888184
2017-01-01 07:00:00,59,60,,53,55,57,63,60,38,45,54,26.7800006866455,37.0283012390137,36.6817016601562,33.0400009155273,29.8799991607666,23.1499996185303,16.1375007629395,16.6599998474121,3.40916991233826,17.5049991607666,34.0900001525879,10.789999961853,8.18000984191895,19.6399993896484,,20.4899997711182,22.4200000762939,19.5200004577637,17.5,23.7399997711182,9.86999988555908
2017-01-01 08:00:00,91,64,,48,48,47,55,54,55,43,39,35.4799995422363,39.0849990844727,32.4425010681152,26.9899997711182,30.9799995422363,31.1299991607666,28.0408000946045,17.5699996948242,12.773699760437,16.7642002105713,40.8300018310547,11.0299997329712,9.52000045776367,19.2299995422363,,26.6200008392334,18.3899993896484,21.0300006866455,20.9799995422363,10.1800003051758,8.44600009918213
