Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Arica,Alto_Hospicio,Antofagasta,Copiapó,Huasco,Coquimbo,La_Serena,Concón,Valparaíso,Viña_del_Mar,Rancagua_I,Rancagua_II,Rengo,San_Fernando,Curicó,Talca_La_Florida,UC_Maule,U_Talca,Linares,Nielol,Las_Encinas,Padre_las_Casas,Valdivia,Osorno,Mirasol,Alerce,Coyhaique_I,Coyhaique_II,Punta_Arenas,La_Unión,Vialidad
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Atacama,Coquimbo,Coquimbo,Valparaíso,Valparaíso,Valparaíso,O’Higgins,O’Higgins,O’Higgins,O’Higgins,Maule,Maule,Maule,Maule,Maule,Araucanía,Araucanía,Araucanía,Los Ríos,Los Lagos,Los Lagos,Los Lagos,Aysén,Aysén,Magallanes,Los Ríos,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,15,1,2,3,3,4,4,5,5,5,6,6,6,6,7,7,7,7,7,9,9,9,14,10,10,10,11,11,12,14,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Arica,Alto Hospicio,Antofagasta,Copiapo,Huasco,Coquimbo,Coquimbo,Concon,Valparaiso,Vina del mar,Rancagua,Rancagua,Rengo,San Fernando,Curico,Talca,Talca,Talca,Talca,Temuco,Temuco,Padre las Casas,Valdivia,Osorno,Puerto Montt,Puerto Montt,Coyhaique,Coyhaique,Punta Arenas,La Union,Aysen
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,15101,1107,2101,3101,3304,4102,4102,5103,5101,5109,6101,6101,6115,6301,7301,7101,7101,7101,7101,9101,9101,9112,14101,10301,10101,10101,11101,11101,12101,14201,11201
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356,363747,385118,358874,369133,282682,274609,282211,264737,255891,261803,342015,339842,329665,317503,296068,256889,262216,260878,265805,710378,706767,708625,651593,659217,669585,675585,729281,730152,371526,663446,680977
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788,7955831,7755989,7387875,6971887,6848727,6682171,6687896,6354228,6340183,6343569,6218523,6220527,6192542,6171746,6127456,6075395,6075477,6078683,6031030,5710745,5708420,5706593,5589460,5505665,5406017,5414803,4948421,4948488,4108390,5538659,4969547
2017-01-01 00:00:00,22,34,,12,19,11,20,19,23,4,29,,,81.1999969482422,47.2708015441895,6.9210000038147,,22.2099990844727,,7.45207977294922,12.8999996185303,6.17600011825562,8.68000984191895,42.0400009155273,,6.75299978256226,9.52999973297119,2.7039999961853,1,1.61600005626678,8.11999988555908,33.4599990844727,32.6500015258789,13.5200004577637,8.32999992370605,25.75830078125,,10.0699996948242,21.7299995422363,14.4333000183105,,
2017-01-01 01:00:00,14,41,,18,21,15,24,18,30,5,45,20.3092002868652,,35.4599990844727,15.5550003051758,5.56699991226196,7.86999988555908,11.7799997329712,,68.0999984741211,6.15000009536743,5.46700000762939,6.44799995422363,,9.73950004577637,5.40199995040894,6.48600006103516,2.71099996566772,1,3.2739999294281,7.87900018692017,29.9599990844727,34.8699989318848,6.78800010681152,12.5299997329712,22.6774997711182,,10.0699996948242,22.3799991607666,15.7592000961304,,
2017-01-01 02:00:00,20,18,,14,20,36,25,21,39,4,38,14.0424995422363,,7.93400001525879,7.0528302192688,4.89099979400635,5.88299989700317,6.40999984741211,,72.6407012939453,17.6000003814697,5.69899988174438,8.71000957489014,24.9200000762939,,7.42799997329712,1.47300004959106,1,1,3.53099989891052,9.27000045776367,21.0900001525879,12.6400003433228,1.35199999809265,6.95699977874756,13.2041997909546,,10.0699996948242,12.8100004196167,11.3142004013062,,
2017-01-01 03:00:00,22,15,,19,27,30,26,29,32,11,52,10.0745000839233,,13.3400001525879,9.08407974243164,4.21400022506714,22.8400001525879,14.1800003051758,,37.0867004394531,9.93000984191895,7.88199996948242,10.0100002288818,22.2800006866455,,6.75299978256226,1.45000004768372,1,1.97500002384186,3.89000010490417,5.55999994277954,13.6199998855591,13.6800003051758,1.35199999809265,5.58099985122681,11.9033002853394,,8.72000026702881,8.14999008178711,18.6499996185303,,
2017-01-01 04:00:00,24,22,,16,27,28,28,28,34,15,43,4.95242023468018,,18.6200008392334,6.71449995040894,6.9210000038147,14,23.2900009155273,,17.9232997894287,26.4799995422363,9.10999965667725,6.59499979019165,21.6900005340576,8.12691974639893,6.08599996566772,4.71400022506714,2.71099996566772,1,5.88199996948242,4.05200004577637,10.210000038147,21.5400009155273,1.35199999809265,4.20499992370605,6.14117002487183,,4.31099987030029,7.49100017547607,17.1700000762939,,
2017-01-01 05:00:00,24,35,,24,30,31,30,35,24,15,39,5.23433017730713,,20.7999992370605,3.91967010498047,10.3000001907349,11.789999961853,19.25,,14.0683002471924,23.0799999237061,7.83400011062622,11.3999996185303,13.7799997329712,2.48657989501953,8.10000991821289,5.65999984741211,2.72000002861023,1.35099995136261,4.35599994659424,5.56199979782104,6.12900018692017,21.7900009155273,1.39100003242493,4.86899995803833,6.50232982635498,,1.93900001049042,4.73000001907349,5.73000001907349,,
2017-01-01 06:00:00,27,36,,24,45,32,41,47,30,17,55,6.80716991424561,,9.30000019073486,10.6806001663208,5.23000001907349,11.0500001907349,28.4500007629395,,6.00892019271851,12.6700000762939,4.72300004959106,7.43300008773804,10.3999996185303,,6.7480001449585,2.88299989700317,5.42199993133545,1.35599994659424,7.96400022506714,8.25,6.12900018692017,15.3199996948242,3.39400005340576,4.75400018692017,8.12209033966064,,12.7799997329712,3.39499998092651,1.22817003726959,,
2017-01-01 07:00:00,28,29,,30,39,22,29,41,24,13,37,5.08267021179199,,8.46000957489014,18.5783004760742,2.18400001525879,11.0600004196167,15.8400001525879,,2.42617011070251,5.71099996566772,4.73000001907349,7.34200000762939,9.00998973846436,,12.1800003051758,5.57200002670288,5.42199993133545,2.70300006866455,6.32399988174438,9.30000019073486,6.12900018692017,14.4700002670288,6.55600023269653,2.82699990272522,2.07550001144409,,6.00500011444092,8.86999988555908,1,,
2017-01-01 08:00:00,33,39,,25,24,24,30,30,31,5,20,7.32733011245728,,11.9300003051758,28.6842002868652,,9.4399995803833,8.09000015258789,,4.22508001327515,3.39400005340576,8.34000015258789,8.71000957489014,8.34000015258789,1.89433002471924,11.4799995422363,4.8600001335144,6.10900020599365,4.52299976348877,3.89000010490417,5.97399997711182,4.76700019836426,15.6999998092651,8.11999988555908,1,1.68917000293732,,1.93900001049042,7.44600009918213,1,,
2017-01-01 09:00:00,31,28,,26,24,24,32,27,31,8,21,5.68200016021729,,9.32999992370605,23.8882999420166,,11.710000038147,10.8299999237061,,12.4734001159668,29.8899993896484,9.43000984191895,8.9399995803833,5.62099981307983,27.6786994934082,11.4799995422363,5.52699995040894,5.42199993133545,2.70300006866455,4.79899978637695,1,2.04299998283386,10.1999998092651,29.2199993133545,1,2.95482993125916,,1.93900001049042,15.6199998855591,1,,
2017-01-01 10:00:00,33,29,,30,27,21,23,26,23,11,24,1.75232994556427,,7.23099994659424,13.1731996536255,,9.59000015258789,6.40500020980835,,16.7616996765137,18.3299999237061,4.2979998588562,7.55499982833862,6.69099998474121,28.3174991607666,7.42700004577637,5.11999988555908,4.06599998474121,2.93700003623962,3.98799991607666,1,1,9.10999965667725,6.10300016403198,1.45099997520447,6.23274993896484,,8.71000957489014,21.7299995422363,1,,
2017-01-01 11:00:00,30,17,,22,23,11,12,28,8,8,24,4.90208005905151,,8.52999973297119,8.88068008422852,,6.89900016784668,4.30299997329712,,13.0699996948242,8.39000034332275,5.35799980163574,6.98899984359741,5.57000017166138,15.4799995422363,7.42500019073486,5.58199977874756,4.4980001449585,5.40500020980835,3.89000010490417,1.00899994373322,1,6.12799978256226,6.10699987411499,1,4.7832498550415,,19.2199993133545,24.4400005340576,4.51891994476318,,
2017-01-01 12:00:00,18,8,,12,12,17,13,12,9,7,13,5.67682981491089,,3.86899995803833,3.89592003822327,4.8899998664856,8.84000015258789,4.75400018692017,,5.76507997512817,7.31400012969971,8.22000026702881,8.90999984741211,5.58900022506714,7.02832984924316,6.07499980926514,4.10200023651123,4.06599998474121,4.05399990081787,3.61199998855591,1,1.33899998664856,3.39800000190735,5.00400018692017,3.90400004386902,9.99431991577148,,39.8800010681152,44.810001373291,6.80067014694214,,
2017-01-01 13:00:00,16,10,,11,10,8,8,10,8,5,9,5.64825010299683,6.30999994277954,1,6.43342018127441,8.27000045776367,8.5700101852417,4.02600002288818,,10.4982004165649,3.6470000743866,3.98399996757507,7.49900007247925,5.94700002670288,,5.40000009536743,4.19199991226196,3.39299988746643,1,3.27999997138977,1.03100001811981,1,4.66599988937378,2.71399998664856,1,6.26375007629395,,24.9699993133545,44.1500015258789,8.88833999633789,,
2017-01-01 14:00:00,13,12,,7,14,8,9,12,8,5,9,7.15299987792969,4.94999980926514,1,12.1812000274658,6.92000007629395,9.10000991821289,3.83699989318848,,17.135799407959,5.17399978637695,4.02199983596802,3.58299994468689,17.8700008392334,,3.375,4.02299976348877,5.42199993133545,1,5.65399980545044,1.01999998092651,2.04299998283386,4.76700019836426,1.35699999332428,1,6.96307992935181,,23.9599990844727,19.6000003814697,10.6907997131348,,
2017-01-01 15:00:00,13,8,,8,11,6,7,11,7,5,13,2.31800007820129,5.63000011444092,1,9.8120002746582,5.56699991226196,11.9099998474121,10.1899995803833,,18.2042007446289,3.26399993896484,5.16699981689453,1.95200002193451,14.0299997329712,12.4687004089355,10.1300001144409,6.8899998664856,5.42199993133545,1,5.18699979782104,1.82099997997284,1.33899998664856,4.07600021362305,1.35699999332428,1,7.98683023452759,,19.8899993896484,35.2999992370605,9.16917037963867,,
2017-01-01 16:00:00,12,9,,6,9,9,7,7,7,2,6,5.2408299446106,4.94999980926514,1,11.1241998672485,8.94999980926514,15.7700004577637,6.1269998550415,,13.8999996185303,12.4099998474121,3.52699995040894,1.35300004482269,11.0500001907349,18.5067005157471,6.7810001373291,7.00299978256226,4.06199979782104,1,3.2960000038147,1,1,6.99700021743774,1.36300003528595,1,7.14542007446289,,12.7799997329712,27.1599998474121,7.36633014678955,,
