Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Talca_La_Florida,Padre_Las_Casas_II,Coyhaique_II,Valdivia
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Maule,Araucanía,Aysén,Los Ríos
Codigo region,13,13,13,13,13,13,13,13,13,13,13,7,9,11,14
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Talca,Padre las Casas,Coyhaique,Valdivia
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,7101,9112,11101,14101
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356,256889,708625,730152,651593
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788,6075395,5706593,4948488,5589460
2015-01-01 00:00:00,9.3989896774292,6.78740978240967,12.6433000564575,1,7.22247982025146,3.05583000183105,11.2962999343872,9.33664989471436,4.09450006484985,1,10.2867002487183,3.5,2.21583008766174,6.89999008178711,
2015-01-01 01:00:00,8.56931018829346,4.38306999206543,12.3058004379272,1,8.45998001098633,2.663330078125,10.6981000900269,10.8133001327515,6.23949003219604,1,10.5356998443604,8.29998970031738,1,6.69999980926514,
2015-01-01 02:00:00,7.48165988922119,7.1075701713562,11.1344003677368,1.19122004508972,7.83999013900757,3.68776988983154,8.20475959777832,12.2688999176025,8.54948043823242,1,8.64048957824707,4.5,1,4.30000019073486,
2015-01-01 03:00:00,9.4002103805542,8.71938991546631,10.6422004699707,1.19122004508972,8.33998012542725,9.56441974639893,7.7589898109436,10.0733003616333,7.47699022293091,1,7.57173013687134,3.29999995231628,1,1.5,
2015-01-01 04:00:00,7.19906997680664,6.11298990249634,14.0032997131348,2.88683009147644,5.02749013900757,7.93165016174316,7.09032011032104,5.99998998641968,7.64199018478394,2.46250009536743,6.08749008178711,1.79999995231628,1.46399998664856,2.20000004768372,
