Data,Total Cases,Recovered Population,Accumulative Deaths,Measured Current Infected,True Current Infected,Susceptible Population,True Infection Rate,Measured Infection Rate,Closure Policy,,GDP
22-May,20796,5057,1326,14413,19272.88,267679204,3186.97,367,No Closures,,3687700
23-May,21745,5249,1351,15145,28891.72,267678255,9618.84,732,No Closures,,3687700
24-May,22271,5402,1372,15497,19809.85,267677729,-9081.86,352,No Closures,,3687700
25-May,22750,5642,1391,15717,19340.91,267677250,-468.95,220,No Closures,,3687700
26-May,23165,5877,1418,15870,19449.68,267676835,108.77,153,No Closures,,3687700
27-May,23851,6057,1473,16321,20583.48,267676149,1133.81,451,No Closures,,3687700
28-May,24538,6240,1496,16802,26762.24,267675462,6178.75,481,No Closures,,3687700
29-May,25216,6492,1520,17204,19903.55,267674784,-6858.69,402,No Closures,,3687700
30-May,25773,7015,1573,17185,21862.61,267674227,1959.06,-19,No Closures,,3687700
31-May,26473,7308,1613,17552,22099.94,267673527,237.34,367,No Closures,,3687700
1-Jun,26940,7637,1641,17662,22721.06,267673060,621.11,110,No Closures,,3687700
2-Jun,27549,7935,1663,17951,26226.78,267672451,3505.73,289,No Closures,,3687700
3-Jun,28233,8406,1698,18129,23034.97,267671767,-3191.81,178,No Closures,,3687700
4-Jun,28818,8892,1721,18205,29319.72,267671182,6284.75,76,No Closures,,3687700
5-Jun,29521,9443,1770,18308,22238.15,267670479,-7081.57,103,No Closures,,3687700
6-Jun,30514,9907,1801,18806,21205.05,267669486,-1033.1,498,No Closures,,3687700
7-Jun,31186,10498,1851,18837,21540.24,267668814,335.19,31,No Closures,,3687700
8-Jun,32033,10904,1883,19246,27167.69,267667967,5627.45,409,No Closures,,3687700
9-Jun,33076,11414,1923,19739,24941.02,267666924,-2226.67,493,No Closures,,3687700
10-Jun,34316,12129,1959,20228,28643.93,267665684,3702.91,489,No Closures,,3687700
11-Jun,35295,12636,2000,20659,23149.08,267664705,-5494.85,431,No Closures,,3687700
12-Jun,36406,13213,2048,21145,24315.78,267663594,1166.7,486,No Closures,,3687700
13-Jun,37420,13776,2091,21553,28539.09,267662580,4223.32,408,No Closures,,3687700
14-Jun,38277,14531,2134,21612,31206.13,267661723,2667.04,59,No Closures,,3687700
15-Jun,39294,15123,2198,21973,32534.98,267660706,1328.85,361,No Closures,,3687700
16-Jun,40400,15703,2231,22466,25944.19,267659600,-6590.79,493,No Closures,,3687700
17-Jun,41431,16243,2276,22912,26445.29,267658569,501.1,446,No Closures,,3687700
