Data,total_confir,total_recup,total_obito,Hospitalizados,Current Infected,Unhospitalized Infected,Hospitalization Likelihood,Susceptible Population,True UnHos Infected,True Current Infected,True Infection Rate,Measured Infection Rate,Hospitalization Rate,Closure Policy,Ventilators,GDP
2-Mar,2,0,0,0,2,2,,6718882.44,20.56000248,20.56000248,0,0,0,No Closures,0,3687700
3-Mar,2,0,0,0,2,2,,6718879.411,23.58859263,23.58859263,3.028590151,0,0,No Closures,0,3687700
4-Mar,2,0,0,0,2,2,,6718873.494,29.50601063,29.50601063,5.917418001,0,0,No Closures,0,3687700
5-Mar,2,0,0,0,2,2,,6718829.353,73.64703408,73.64703408,44.14102345,0,0,No Closures,0,3687700
6-Mar,4,0,0,0,4,4,,6718831.674,71.3261011,71.3261011,-2.320932982,2,0,No Closures,0,3687700
7-Mar,4,0,0,0,4,4,,6718808.955,94.04548064,94.04548064,22.71937954,0,0,No Closures,0,3687700
8-Mar,6,0,0,0,6,6,,6718747.96,155.0401293,155.0401293,60.99464863,2,0,No Closures,0,3687700
9-Mar,19,0,0,0,19,19,,6718786.935,116.0654831,116.0654831,-38.97464614,13,0,No Closures,0,3687700
10-Mar,27,0,0,0,27,27,,6718635.207,267.7932698,267.7932698,151.7277866,8,0,No Closures,0,3687700
12-Mar,34,3,4,0,27,27,,6718684.345,211.6547592,211.6547592,-56.13851054,0,0,No Closures,0,3687700
13-Mar,69,5,4,0,60,60,,6718586.779,307.2212084,307.2212084,95.56644913,33,0,No Closures,0,3687700
14-Mar,96,8,5,0,83,83,,6718562.147,327.8533218,327.8533218,20.63211346,23,0,No Closures,0,3687700
15-Mar,117,8,5,0,104,104,,6718668.134,221.8656041,221.8656041,-105.9877177,21,0,No Closures,0,3687700
16-Mar,134,8,5,0,121,121,,6718392.057,497.9426791,497.9426791,276.077075,17,0,No Closures,0,3687700
17-Mar,172,9,7,0,156,156,0,6718205.488,681.5123256,681.5123256,183.5696465,35,0,No Closures,0,3687700
18-Mar,227,11,19,0,197,197,0,6718221.32,651.6795275,651.6795275,-29.83279816,41,0,No Closures,0,3687700
19-Mar,309,15,25,0,269,269,0,6718322.179,540.8211199,540.8211199,-110.8584076,72,0,No Closures,0,3687700
20-Mar,369,16,32,24,321,297,12,6717739.626,1091.373717,1115.373717,550.5525976,52,24,No Closures,0,3687700
21-Mar,450,20,38,28,392,364,7,6718064.594,752.4058129,780.4058129,-338.9679046,71,4,No Closures,0,3687700
