Data,total_confir,total_recup,total_obito,Hospitalizados,Current Infected,Unhospitalized Infected,Hospitalization Likelihood,Susceptible Population,True UnHos Infected,True Current Infected,True Infection Rate,Measured Infection Rate,Hospitalization Rate,Closure Policy,Ventilators,GDP
22-Mar,514,29,48,31,437,406,7.75,6718078.357,716.6434365,747.6434365,-35.76237637,45,3,No Closures,0,3687700
23-Mar,579,30,49,26,500,474,4.333333333,6717756.955,1041.045046,1067.045046,324.4016092,63,-5,No Closures,0,3687700
24-Mar,685,30,55,30,600,570,1.578947368,6717833.473,954.5271074,984.5271074,-86.51793831,100,4,No Closures,0,3687700
25-Mar,790,31,58,31,701,670,1.148148148,6717176.195,1606.805327,1637.805327,652.2782191,101,1,No Closures,0,3687700
26-Mar,893,35,78,38,780,742,1.407407407,6717198.722,1553.277935,1591.277935,-53.52739126,79,7,No Closures,0,3687700
27-Mar,1046,46,87,48,913,865,0.8,6717485.007,1236.992672,1284.992672,-316.2852633,133,10,No Closures,0,3687700
28-Mar,1155,59,102,52,994,942,0.626506024,6716853.152,1836.848491,1888.848491,599.8558193,81,4,No Closures,0,3687700
29-Mar,1285,64,114,64,1107,1043,0.615384615,6716601.047,2059.953311,2123.953311,223.1048201,113,12,No Closures,0,3687700
30-Mar,1414,75,122,74,1217,1143,0.611570248,6716422.657,2209.34337,2283.34337,149.3900588,110,10,No Closures,0,3687700
31-Mar,1528,81,136,72,1311,1239,0.461538462,6716332.726,2281.273723,2353.273723,71.93035275,94,-2,No Closures,0,3687700
1-Apr,1677,103,157,61,1417,1356,0.30964467,6716034.013,2547.986557,2608.986557,266.7128344,106,-11,No Closures,0,3687700
2-Apr,1790,112,170,74,1508,1434,0.275092937,6716234.55,2312.449888,2386.449888,-235.5366697,91,13,No Closures,0,3687700
3-Apr,1986,134,181,86,1671,1585,0.267912773,6715531.538,2970.462264,3056.462264,658.0123767,163,12,No Closures,0,3687700
4-Apr,2092,150,191,91,1751,1660,0.232142857,6714024.713,4446.286958,4537.286958,1475.824694,80,5,No Closures,0,3687700
5-Apr,2273,164,198,78,1911,1833,0.178489703,6714891.787,3571.213186,3649.213186,-875.0737718,160,-13,No Closures,0,3687700
6-Apr,2491,192,209,112,2090,1978,0.224,6715816.168,2573.831923,2685.831923,-997.3812626,179,34,No Closures,0,3687700
7-Apr,2738,204,221,155,2313,2158,0.258333333,6715302.323,3020.676971,3175.676971,446.8450473,223,43,No Closures,0,3687700
8-Apr,2956,222,240,192,2494,2302,0.273894437,6712571.658,5677.342457,5869.342457,2656.665486,181,37,No Closures,0,3687700
9-Apr,3293,252,280,170,2761,2591,0.217948718,6713674.923,4526.077332,4696.077332,-1151.265125,267,-22,No Closures,0,3687700
10-Apr,3512,282,306,195,2924,2729,0.213581599,6714492.897,3627.103402,3822.103402,-898.9739297,163,25,No Closures,0,3687700
11-Apr,3842,286,327,227,3229,3002,0.228370221,6711585.974,6477.025678,6704.025678,2849.922276,305,32,No Closures,0,3687700
12-Apr,4241,359,373,238,3509,3271,0.214995483,6712906.582,5026.417704,5264.417704,-1450.607974,280,11,No Closures,0,3687700
13-Apr,4557,380,399,306,3778,3472,0.251437962,6711375.064,6442.936313,6748.936313,1416.518609,269,68,No Closures,0,3687700
14-Apr,4839,426,459,271,3954,3683,0.206712433,6713373.476,4373.523935,4644.523935,-2069.412377,176,-35,No Closures,0,3687700
15-Apr,5136,446,469,309,4221,3912,0.218066337,6713096.062,4582.938087,4891.938087,209.4141516,267,38,No Closures,0,3687700
16-Apr,5516,548,496,311,4472,4161,0.206233422,6710786.602,6761.398348,7072.398348,2178.460261,251,2,No Closures,0,3687700
17-Apr,5923,607,520,338,4796,4458,0.202274087,6714689.075,2748.924742,3086.924742,-4012.473605,324,27,No Closures,0,3687700
18-Apr,6248,631,535,345,5082,4737,0.197030268,6712132.038,5259.962435,5604.962435,2511.037693,286,7,No Closures,0,3687700
19-Apr,6575,686,582,395,5307,4912,0.206698064,6713083.093,4156.907026,4551.907026,-1103.05541,225,50,No Closures,0,3687700
20-Apr,6760,747,590,378,5423,5045,0.180861244,6710637.875,6550.124754,6928.124754,2393.217728,116,-17,No Closures,0,3687700
21-Apr,7135,842,616,392,5677,5285,0.16947687,6710594.999,6458.000739,6850.000739,-92.1240145,254,14,No Closures,0,3687700
22-Apr,7418,913,636,397,5869,5472,0.159182037,6710406.354,6550.645667,6947.645667,92.64492764,192,5,No Closures,0,3687700
23-Apr,7775,960,647,390,6168,5778,0.141253169,6709279.696,7626.303903,8016.303903,1075.658237,299,-7,No Closures,0,3687700
24-Apr,8211,1002,689,408,6520,6112,0.139534884,6708013.535,8790.464537,9198.464537,1164.160634,352,18,No Closures,0,3687700
25-Apr,8607,1042,720,431,6845,6414,0.133477857,6708055.596,8654.404344,9085.404344,-136.0601934,325,23,No Closures,0,3687700
26-Apr,8882,1107,743,443,7032,6589,0.126246794,6707987.624,8622.37589,9065.37589,-32.02845387,187,12,No Closures,0,3687700
27-Apr,9096,1151,765,473,7180,6707,0.125198518,6709735.169,6778.83137,7251.83137,-1843.54452,148,30,No Closures,0,3687700
28-Apr,9511,1254,773,486,7484,6998,0.122913505,6705941.881,10448.11882,10934.11882,3669.287454,304,13,No Closures,0,3687700
29-Apr,9771,1391,784,496,7596,7100,0.1175077,6709776.734,6455.266429,6951.266429,-3992.852394,112,10,No Closures,0,3687700
30-Apr,10118,1522,792,527,7804,7277,0.117844365,6704689.742,11372.25763,11899.25763,4916.991202,208,31,No Closures,0,3687700
1-May,10551,1591,800,601,8160,7559,0.125312761,6704642.907,11268.09313,11869.09313,-104.1645023,356,74,No Closures,0,3687700
2-May,10843,1665,831,567,8347,7780,0.111570248,6706184.98,9655.019743,10222.01974,-1613.073386,187,-34,No Closures,0,3687700
3-May,11192,1876,845,572,8471,7899,0.107782174,6707523.612,8086.388125,8658.388125,-1568.631618,124,5,No Closures,0,3687700
4-May,11587,1954,864,615,8769,8154,0.113405864,6702124.912,13345.0876,13960.0876,5258.699479,298,43,No Closures,0,3687700
5-May,12071,2197,872,621,9002,8381,0.109388762,6704952.339,10260.66115,10881.66115,-3084.426452,233,6,No Closures,0,3687700
6-May,12438,2317,895,623,9226,8603,0.106150963,6707886.226,7181.77357,7804.77357,-3078.887582,224,2,No Closures,0,3687700
7-May,12776,2381,930,596,9465,8869,0.096627756,6702277.44,12718.55992,13314.55992,5536.786352,239,-27,No Closures,0,3687700
8-May,13112,2494,943,600,9675,9075,0.09202454,6704339.132,10526.86823,11126.86823,-2191.691691,210,4,No Closures,0,3687700
9-May,13645,2607,959,565,10079,9514,0.082542001,6704490.498,10281.50213,10846.50213,-245.3660992,404,-35,No Closures,0,3687700
10-May,14032,2698,973,614,10361,9747,0.087315131,6701551.404,13066.59585,13680.59585,2785.09372,282,49,No Closures,0,3687700
11-May,14265,2881,991,624,10393,9769,0.086908078,6706844.571,7562.429087,8186.429087,-5504.166765,32,10,No Closures,0,3687700
12-May,14749,3063,1007,635,10679,10044,0.084847675,6702224.203,11973.79745,12608.79745,4411.368366,286,11,No Closures,0,3687700
13-May,15438,3287,1028,602,11123,10521,0.079252238,6701229.461,12756.53913,13358.53913,782.7416819,444,-33,No Closures,0,3687700
14-May,16006,3518,1043,602,11445,10843,0.077139928,6703403.301,10336.69944,10938.69944,-2419.839699,322,0,No Closures,0,3687700
15-May,16496,3803,1076,671,11617,10946,0.082230392,6697433.74,15919.26011,16590.26011,5582.56067,172,69,No Closures,0,3687700
16-May,17025,3911,1089,697,12025,11328,0.083503055,6704812.07,8393.93012,9090.93012,-7525.329986,408,26,No Closures,0,3687700
17-May,17514,4129,1148,706,12237,11531,0.083343171,6698544.57,14375.42998,15081.42998,5981.499857,212,9,No Closures,0,3687700
18-May,18010,4324,1191,734,12495,11761,0.083703957,6692826.822,19827.17838,20561.17838,5451.748401,258,28,No Closures,0,3687700
19-May,18496,4467,1221,773,12808,12035,0.085869807,6697235.922,15206.07825,15979.07825,-4621.100124,313,39,No Closures,0,3687700
20-May,19189,4575,1242,792,13372,12580,0.085844353,6693942.643,18351.35712,19143.35712,3145.27887,564,19,No Closures,0,3687700
21-May,20162,4838,1278,792,14046,13254,0.083676704,6694938.532,17056.46758,17848.46758,-1294.889539,674,0,No Closures,0,3687700
22-May,20796,5057,1326,783,14413,13630,0.080930233,6701741.31,9995.689806,10778.68981,-7060.777778,367,-9,No Closures,0,3687700
23-May,21745,5249,1351,783,15145,14362,0.077686278,6696861.102,14658.89818,15441.89818,4663.208379,732,0,No Closures,0,3687700
24-May,22271,5402,1372,825,15497,14672,0.079625519,6700605.537,10698.4628,11523.4628,-3960.435388,352,42,No Closures,0,3687700
25-May,22750,5642,1391,825,15717,14892,0.079380352,6691651.898,19393.1025,20218.1025,8694.639701,220,0,No Closures,0,3687700
26-May,23165,5877,1418,745,15870,15125,0.069763086,6691529.13,19333.87009,20078.87009,-59.23240797,153,-80,No Closures,0,3687700
27-May,23851,6057,1473,743,16321,15578,0.066798526,6690766.954,19863.04591,20606.04591,529.1758193,451,-2,No Closures,0,3687700
28-May,24538,6240,1496,712,16802,16090,0.062210572,6689990.963,20464.03736,21176.03736,600.9914513,481,-31,No Closures,0,3687700
29-May,25216,6492,1520,651,17204,16553,0.056038564,6688713.495,21526.50461,22177.50461,1062.467252,402,-61,No Closures,0,3687700
30-May,25773,7015,1573,681,17185,16504,0.056632017,6685655.61,23978.39007,24659.39007,2451.885462,-19,30,No Closures,0,3687700
31-May,26473,7308,1613,682,17552,16870,0.055732614,6687887.19,21412.81026,22094.81026,-2565.579816,367,1,No Closures,0,3687700
1-Jun,26940,7637,1641,684,17662,16978,0.054741897,6691501.946,17439.05396,18123.05396,-3973.756298,110,2,No Closures,0,3687700
2-Jun,27549,7935,1663,684,17951,17267,0.053404122,6685662.973,22958.02698,23642.02698,5518.973021,289,0,No Closures,0,3687700
3-Jun,28233,8406,1698,654,18129,17475,0.048908166,6691764.107,16380.89266,17034.89266,-6577.134323,178,-30,No Closures,0,3687700
4-Jun,28818,8892,1721,637,18205,17568,0.04535099,6687960.708,19692.29205,20329.29205,3311.399388,76,-17,No Closures,0,3687700
5-Jun,29521,9443,1770,631,18308,17677,0.043779921,6683359.393,23699.60692,24330.60692,4007.314878,103,-6,No Closures,0,3687700
6-Jun,30514,9907,1801,659,18806,18147,0.04351271,6684316.193,22219.80744,22878.80744,-1479.799486,498,28,No Closures,0,3687700
7-Jun,31186,10498,1851,674,18837,18163,0.043492289,6690112.221,15767.77886,16441.77886,-6452.028581,31,15,No Closures,0,3687700
8-Jun,32033,10904,1883,635,19246,18611,0.040402112,6692124.506,13356.49435,13991.49435,-2411.284512,409,-39,No Closures,0,3687700
9-Jun,33076,11414,1923,606,19739,19133,0.038185255,6685665.613,19294.38715,19900.38715,5937.892808,493,-29,No Closures,0,3687700
10-Jun,34316,12129,1959,603,20228,19625,0.036946266,6683405.827,20806.17278,21409.17278,1511.78563,489,-3,No Closures,0,3687700
11-Jun,35295,12636,2000,580,20659,20079,0.0345197,6668271.599,35415.40132,35995.40132,14609.22854,431,-23,No Closures,0,3687700
12-Jun,36406,13213,2048,599,21145,20546,0.034817484,6680824.635,22218.36475,22817.36475,-13197.03657,486,19,No Closures,0,3687700
13-Jun,37420,13776,2091,592,21553,20961,0.034448647,6680392.694,22051.30629,22643.30629,-167.0584639,408,-7,No Closures,0,3687700
14-Jun,38277,14531,2134,584,21612,21028,0.033272562,6676984.66,24669.34002,25253.34002,2618.033731,59,-8,No Closures,0,3687700
15-Jun,39294,15123,2198,563,21973,21410,0.031876345,6682936.076,18082.92442,18645.92442,-6586.415601,361,-21,No Closures,0,3687700
16-Jun,40400,15703,2231,591,22466,21875,0.032922957,6663595.895,36782.10504,37373.10504,18699.18062,493,28,No Closures,0,3687700
17-Jun,41431,16243,2276,571,22912,22341,0.031496497,6663345.234,36467.7658,37038.7658,-314.339232,446,-20,No Closures,0,3687700
18-Jun,42762,16798,2339,552,23625,23073,0.03032134,6670377.485,28836.51503,29388.51503,-7631.250774,713,-19,No Closures,0,3687700
19-Jun,43803,17349,2373,553,24081,23528,0.030205375,6670546.634,28081.36563,28634.36563,-755.1493957,456,1,No Closures,0,3687700
20-Jun,45029,17883,2429,553,24717,24164,0.029405509,6680804.155,17233.84463,17786.84463,-10847.521,636,0,No Closures,0,3687700
21-Jun,45891,18404,2465,549,25022,24473,0.029144768,6680395.863,17089.13717,17638.13717,-144.7074608,305,-4,No Closures,0,3687700
22-Jun,46845,18735,2500,543,25610,25067,0.028213655,6665845.704,31279.296,31822.296,14190.15882,588,-6,No Closures,0,3687700
23-Jun,47896,19241,2535,526,26120,25594,0.026647753,6676919.233,19681.76742,20207.76742,-11597.52857,510,-17,No Closures,0,3687700
24-Jun,49009,19658,2573,513,26778,26265,0.025360886,6661167.581,34991.4186,35504.4186,15309.65118,658,-13,No Closures,0,3687700
25-Jun,50187,20449,2620,523,27118,26595,0.025315843,6671544.246,23766.75369,24289.75369,-11224.66491,340,10,No Closures,0,3687700
26-Jun,51427,21333,2683,524,27411,26887,0.024781272,6660319.614,34043.38635,34567.38635,10276.63266,293,1,No Closures,0,3687700
27-Jun,52812,21909,2720,516,28183,27667,0.023940983,6661462.732,32295.26775,32811.26775,-1748.118603,772,-8,No Closures,0,3687700
28-Jun,54010,22936,2754,525,28320,27795,0.02429206,6660503.723,32184.27657,32709.27657,-110.9911765,137,9,No Closures,0,3687700
29-Jun,55092,23800,2805,515,28487,27972,0.023437856,6653168.618,38614.3819,39129.3819,6430.105324,167,-10,No Closures,0,3687700
30-Jun,56385,24806,2876,515,28703,28188,0.022923529,6664568.707,26137.29314,26652.29314,-12477.08875,216,0,No Closures,0,3687700
1-Jul,57770,25595,2934,485,29241,28756,0.021167947,6652579.388,37309.61177,37794.61177,11172.31862,538,-30,No Closures,0,3687700
2-Jul,59394,26667,2987,515,29740,29225,0.021798942,6666375.145,22358.85516,22873.85516,-14950.75661,499,30,No Closures,0,3687700
3-Jul,60695,27568,3036,500,30091,29591,0.020763257,6651897.313,35901.68704,36401.68704,13542.83188,351,-15,No Closures,0,3687700
4-Jul,62142,28219,3089,508,30834,30326,0.020552656,6645644.247,41442.75278,41950.75278,5541.065739,743,8,No Closures,0,3687700
5-Jul,63749,29105,3171,504,31473,30969,0.020142275,6657530.302,28592.69783,29096.69783,-12850.05495,639,-4,No Closures,0,3687700
6-Jul,64958,29919,3241,504,31798,31294,0.019679813,6637918.79,47320.21012,47824.21012,18727.5123,325,0,No Closures,0,3687700
7-Jul,66226,30785,3309,481,32132,31651,0.018415008,6638107.287,46220.71278,46701.71278,-1099.497343,334,-23,No Closures,0,3687700
8-Jul,68079,31585,3359,494,33135,32641,0.01844798,6636120.902,47344.09845,47838.09845,1123.385674,1003,13,No Closures,0,3687700
9-Jul,70736,32651,3417,484,34668,34184,0.017847924,6638681.761,43669.23895,44153.23895,-3674.859499,1533,-10,No Closures,0,3687700
10-Jul,72347,33529,3469,475,35349,34874,0.01732881,6648394.707,33035.29334,33510.29334,-10633.94562,681,-9,No Closures,0,3687700
11-Jul,74018,34719,3535,456,35764,35308,0.016179967,6638178.121,42014.87868,42470.87868,8979.585347,415,-19,No Closures,0,3687700
12-Jul,75699,35638,3606,457,36455,35998,0.016137006,6655105.406,24096.59368,24553.59368,-17918.285,691,1,No Closures,0,3687700
13-Jul,76981,36689,3656,458,36636,36178,0.016077509,6645273.737,32826.2628,33284.2628,8729.669117,181,1,No Closures,0,3687700
14-Jul,78572,37636,3710,459,37226,36767,0.01599136,6633456.626,43641.37383,44100.37383,10815.11103,590,1,No Closures,0,3687700
15-Jul,80094,39050,3797,460,37247,36787,0.015731336,6625504.215,50091.78503,50551.78503,6450.411198,21,1,No Closures,0,3687700
16-Jul,81668,40345,3873,461,37450,36989,0.015501009,6634276.449,39947.55082,40408.55082,-10144.23421,203,1,No Closures,0,3687700
17-Jul,83130,41834,3957,462,37339,36877,0.015353428,6609644.47,63005.53005,63467.53005,23057.97923,-111,1,No Closures,0,3687700
18-Jul,84882,43268,4016,463,37598,37135,0.015015892,6631991.741,39164.25948,39627.25948,-23841.27057,259,1,No Closures,0,3687700
19-Jul,86521,45401,4143,464,36977,36513,0.014742795,6629146.547,39748.45273,40212.45273,584.1932565,-621,1,No Closures,0,3687700
20-Jul,88214,46977,4239,465,36998,36533,0.014623561,6616442.88,50779.11971,51244.11971,11030.66698,21,1,No Closures,0,3687700
21-Jul,89869,48466,4320,466,37083,36617,0.014502676,6629045.578,36605.4224,37071.4224,-14173.69731,85,1,No Closures,0,3687700
22-Jul,91751,50255,4459,467,37037,36570,0.014093858,6625936.168,37785.83213,38252.83213,1180.409735,-46,1,No Closures,0,3687700
23-Jul,93657,52164,4576,468,36917,36449,0.013499481,6636561.653,25133.34652,25601.34652,-12652.48562,-120,1,No Closures,0,3687700
24-Jul,95418,53945,4665,469,36808,36339,0.013267702,6616777.976,43046.02381,43515.02381,17912.6773,-109,1,No Closures,0,3687700
25-Jul,97286,55354,4714,470,37218,36748,0.013141707,6610702.598,47662.402,48132.402,4616.378187,410,1,No Closures,0,3687700
26-Jul,98778,56655,4781,471,37342,36871,0.012920038,6636169.604,20826.39567,21297.39567,-26836.00633,124,1,No Closures,0,3687700
27-Jul,100303,58173,4838,472,37292,36820,0.012883503,6622178.319,33241.68105,33713.68105,12415.28537,-50,1,No Closures,0,3687700
28-Jul,102051,60539,4901,473,36611,36138,0.012706173,6605650.779,47339.22111,47812.22111,14097.54006,-681,1,No Closures,0,3687700
29-Jul,104432,62138,4975,474,37319,36845,0.012725857,6611340.532,39975.46826,40449.46826,-7363.752848,708,1,No Closures,0,3687700
30-Jul,106336,64292,5058,475,36986,36511,0.012683578,6628850.995,20227.00522,20702.00522,-19748.46304,-333,1,No Closures,0,3687700
31-Jul,108376,65907,5131,476,37338,36862,0.012748065,6624240.868,23148.13199,23624.13199,2921.126771,352,1,No Closures,0,3687700
1-Aug,109936,67919,5193,477,36824,36347,0.012686845,6606064.585,39249.41487,39726.41487,16101.28288,-514,1,No Closures,0,3687700
