date,New case,Kasus Impor,Kasus Lokal,Total cases,Active case,% of active cases,"Recovered
(new)",total_recup,Recovery rate (all cases),Recovery Rate (closed cases),"Death
(new)",total_obito,Death Rate (all cases),Death Rate (closed cases),PDP,ODP,Suspect,Number of samples examined (from April 1),Number of people examined,Negative,"Positive
(=C)",In process,Specimens,The person being tested,Number of tests / million population,Test / Positive,Number of people tested / positive,Daily Test / Positive Amount,Positive / Number of Tests,Daily positive rate,Case Growth Rate,,Closure Policy,Susceptible Population,True UnHos Infected,Hospitalizados,Unhospitalized Infected,Current Infected,True Infection Rate,Measured Infection Rate,Hospitalization Rate,Ventilators,GDP
25-May,479.00,,,22750.00,15717.00,69.09%,240,"5,642",24.80%,80.22%,19,"1,391",6.11%,19.78%,12342.00,49361.00,"61,703",256946.00,183192.00,160442.00,22750.00,0,8391.00,3328.00,678,11.29,8.05,6.95,12.42%,14.39%,2.15%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
26-May,415.00,,,23165.00,15870.00,68.51%,235,"5,877",25.37%,80.56%,27,"1,418",6.12%,19.44%,12022.00,65748.00,"77,770",264098.00,188302.00,165137.00,23165.00,0,7152.00,5110.00,697,11.4,8.13,12.31,12.30%,8.12%,1.82%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
27-May,686.00,,,23851.00,16321.00,68.43%,180,"6,057",25.40%,80.44%,55,"1,473",6.18%,19.56%,12667.00,49942.00,"62,609",278411.00,195518.00,171667.00,23851.00,0,14313.00,7216.00,724,11.67,8.2,10.52,12.20%,9.51%,2.96%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
28-May,687.00,,,24538.00,16802.00,68.47%,183,"6,240",25.43%,80.66%,23,"1,496",6.10%,19.34%,13250.00,48749.00,"61,999",289906.00,201311.00,176773.00,24538.00,0,11495.00,5793.00,746,11.81,8.2,8.43,12.19%,11.86%,2.88%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
29-May,678.00,,,25216.00,17204.00,68.23%,252,"6,492",25.75%,81.03%,24,"1,520",6.03%,18.97%,12499.00,49212.00,"61,711",300545.00,205165.00,179949.00,25216.00,0,10639.00,3854.00,760,11.92,8.14,5.68,12.29%,17.59%,2.76%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
30-May,557.00,,,25773.00,17185.00,66.68%,523,"7,015",27.22%,81.68%,53,"1,573",6.10%,18.32%,12832.00,47714.00,"60,546",311906.00,216769.00,190996.00,25773.00,0,11361.00,11604.00,803,12.1,8.41,20.83,11.89%,4.80%,2.21%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
31-May,700.00,,,26473.00,17552.00,66.30%,293,"7,308",27.61%,81.92%,40,"1,613",6.09%,18.08%,12913.00,49936.00,"62,849",323376.00,223624.00,197151.00,26473.00,0,11470.00,6855.00,828,12.22,8.45,9.79,11.84%,10.21%,2.72%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
1-Jun,467.00,,,26940.00,17662.00,65.56%,329,"7,637",28.35%,82.31%,28,"1,641",6.09%,17.69%,13120.00,48358.00,"61,478",333415.00,232113.00,205173.00,26940.00,0,10039.00,8489.00,860,12.38,8.62,18.18,11.61%,5.50%,1.76%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
2-Jun,609.00,,,27549.00,17951.00,65.16%,298,"7,935",28.80%,82.67%,22,"1,663",6.04%,17.33%,13213.00,48023.00,"61,236",342464.00,237947.00,210398.00,27549.00,0,9049.00,5834.00,881,12.43,8.64,9.58,11.58%,10.44%,2.26%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
3-Jun,684.00,,,28233.00,18129.00,64.21%,471,"8,406",29.77%,83.19%,35,"1,698",6.01%,16.81%,13285.00,48153.00,"61,438",354434.00,246433.00,218200.00,28233.00,0,11970.00,8486.00,913,12.55,8.73,12.41,11.46%,8.06%,2.48%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
4-Jun,585.00,,,28818.00,18205.00,63.17%,486,"8,892",30.86%,83.78%,23,"1,721",5.97%,16.22%,13416.00,47373.00,"60,789",367640.00,251736.00,222918.00,28818.00,0,13206.00,5303.00,932,12.76,8.74,9.06,11.45%,11.03%,2.07%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
5-Jun,703.00,,,29521.00,18308.00,62.02%,551,"9,443",31.99%,84.21%,49,"1,770",6.00%,15.79%,13592.00,49320.00,"62,912",380973.00,256810.00,227289.00,29521.00,0,13333.00,5074.00,951,12.91,8.7,7.22,11.50%,13.85%,2.44%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
6-Jun,993.00,,,30514.00,18806.00,61.63%,464,"9,907",32.47%,84.62%,31,"1,801",5.90%,15.38%,13347.00,46571.00,"59,918",394068.00,264740.00,234226.00,30514.00,0,13095.00,7930.00,981,12.91,8.68,7.99,11.53%,12.52%,3.36%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
7-Jun,672.00,,,31186.00,18837.00,60.40%,591,"10,498",33.66%,85.01%,50,"1,851",5.94%,14.99%,14197.00,40370.00,"54,567",405992.00,269146.00,237960.00,31186.00,0,11924.00,4406.00,997,13.02,8.63,6.56,11.59%,15.25%,2.20%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
8-Jun,847.00,,,32033.00,19246.00,60.08%,406,"10,904",34.04%,85.27%,32,"1,883",5.88%,14.73%,14010.00,38791.00,"52,801",412980.00,274430.00,242397.00,32033.00,0,6988.00,5284.00,"1,016",12.89,8.57,6.24,11.67%,16.03%,2.72%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
9-Jun,1043.00,,,33076.00,19739.00,59.68%,510,"11,414",34.51%,85.58%,40,"1,923",5.81%,14.42%,14108.00,38394.00,"52,502",429161.00,281653.00,248577.00,33076.00,0,16181.00,7223.00,"1,043",12.97,8.52,6.93,11.74%,14.44%,3.26%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
10-Jun,1240.00,,,34316.00,20228.00,58.95%,715,"12,129",35.35%,86.09%,36,"1,959",5.71%,13.91%,14242.00,43945.00,"58,187",446918.00,287478.00,253162.00,34316.00,0,17757.00,5825.00,"1,065",13.02,8.38,4.7,11.94%,21.29%,3.75%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
11-Jun,979.00,,,35295.00,20659.00,58.53%,507,"12,636",35.80%,86.34%,41,"2,000",5.67%,13.66%,14052.00,43414.00,"57,466",463620.00,294671.00,259376.00,35295.00,0,16702.00,7193.00,"1,091",13.14,8.35,7.35,11.98%,13.61%,2.85%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
12-Jun,1111.00,,,36406.00,21145.00,58.08%,577,"13,213",36.29%,86.58%,48,"2,048",5.63%,13.42%,13923.00,37538.00,"51,461",478953.00,302147.00,265741.00,36406.00,0,15333.00,7476.00,"1,119",13.16,8.3,6.73,12.05%,14.86%,3.15%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
13-Jun,1014.00,,,37420.00,21553.00,57.60%,563,"13,776",36.81%,86.82%,43,"2,091",5.59%,13.18%,13578.00,42450.00,"56,028",495527.00,313275.00,275855.00,37420.00,0,16574.00,11128.00,"1,160",13.24,8.37,10.97,11.94%,9.11%,2.79%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
14-Jun,857.00,,,38277.00,21612.00,56.46%,755,"14,531",37.96%,87.19%,43,"2,134",5.58%,12.81%,13574.00,41639.00,"55,213",514287.00,322933.00,284656.00,38277.00,0,18760.00,9658.00,"1,196",13.44,8.44,11.27,11.85%,8.87%,2.29%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
15-Jun,1017.00,,,39294.00,21973.00,55.92%,592,"15,123",38.49%,87.31%,64,"2,198",5.59%,12.69%,13649.00,36744.00,"50,393",523063.00,329190.00,289896.00,39294.00,0,8776.00,6257.00,"1,219",13.31,8.38,6.15,11.94%,16.25%,2.66%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
16-Jun,1106.00,,,40400.00,22466.00,55.61%,580,"15,703",38.87%,87.56%,33,"2,231",5.52%,12.44%,13510.00,29124.00,"42,634",540115.00,339309.00,298909.00,40400.00,0,17052.00,10119.00,"1,257",13.37,8.4,9.15,11.91%,10.93%,2.81%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
17-Jun,1031.00,,,41431.00,22912.00,55.30%,540,"16,243",39.20%,87.71%,45,"2,276",5.49%,12.29%,13279.00,42714.00,"55,993",559872.00,348278.00,306847.00,41431.00,0,19757.00,8969.00,"1,290",13.51,8.41,8.7,11.90%,11.50%,2.55%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
18-Jun,1331.00,,,42762.00,23625.00,55.25%,555,"16,798",39.28%,87.78%,63,"2,339",5.47%,12.22%,17923.00,36698.00,"54,621",580522.00,358659.00,315897.00,42762.00,0,20650.00,10381.00,"1,328",13.58,8.39,7.8,11.92%,12.82%,3.21%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
19-Jun,1041.00,,,43803.00,24081.00,54.98%,551,"17,349",39.61%,87.97%,34,"2,373",5.42%,12.03%,13211.00,36464.00,"49,675",601239.00,366581.00,322778.00,43803.00,0,20717.00,7922.00,"1,358",13.73,8.37,7.61,11.95%,13.14%,2.43%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
20-Jun,1226.00,,,45029.00,24717.00,54.89%,534,"17,883",39.71%,88.04%,56,"2,429",5.39%,11.96%,13150.00,37336.00,"50,486",621156.00,374458.00,329429.00,45029.00,0,19917.00,7877.00,"1,387",13.79,8.32,6.42,12.03%,15.56%,2.80%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
21-Jun,862.00,,,45891.00,25022.00,54.52%,521,"18,404",40.10%,88.19%,36,"2,465",5.37%,11.81%,13225.00,56436.00,"69,661",639385.00,383105.00,337214.00,45891.00,0,18229.00,8647.00,"1,419",13.93,8.35,10.03,11.98%,9.97%,1.91%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
22-Jun,954.00,,,46845.00,25610.00,54.67%,331,"18,735",39.99%,88.23%,35,"2,500",5.34%,11.77%,12999.00,43500.00,"56,499",650311.00,393117.00,346272.00,46845.00,0,10926.00,10012.00,"1,456",13.88,8.39,10.49,11.92%,9.53%,2.08%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
23-Jun,1051.00,,,47896.00,26120.00,54.53%,506,"19,241",40.17%,88.36%,35,"2,535",5.29%,11.64%,13348.00,35983.00,"49,331",668219.00,401681.00,353785.00,47896.00,0,17908.00,8564.00,"1,488",13.95,8.39,8.15,11.92%,12.27%,2.24%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
24-Jun,1113.00,,,49009.00,26778.00,54.64%,417,"19,658",40.11%,88.43%,38,"2,573",5.25%,11.57%,13069.00,36648.00,"49,717",689452.00,413919.00,364910.00,49009.00,0,21233.00,12238.00,"1,533",14.07,8.45,11,11.84%,9.09%,2.32%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
