date,New case,Kasus Impor,Kasus Lokal,Total cases,Active case,% of active cases,"Recovered
(new)",total_recup,Recovery rate (all cases),Recovery Rate (closed cases),"Death
(new)",total_obito,Death Rate (all cases),Death Rate (closed cases),PDP,ODP,Suspect,Number of samples examined (from April 1),Number of people examined,Negative,"Positive
(=C)",In process,Specimens,The person being tested,Number of tests / million population,Test / Positive,Number of people tested / positive,Daily Test / Positive Amount,Positive / Number of Tests,Daily positive rate,Case Growth Rate,,Closure Policy,Susceptible Population,True UnHos Infected,Hospitalizados,Unhospitalized Infected,Current Infected,True Infection Rate,Measured Infection Rate,Hospitalization Rate,Ventilators,GDP
2-Mar,2.00,0,2,2.00,2.00,100.00%,0,0,0.00%,0,0,0,0.00%,,,,,339.00,339.00,335.00,2.00,2,,,,169.5,169.5,0,0.59%,,,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
3-Mar,0.00,0,0,2.00,2.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,341.00,341.00,337.00,2.00,2,,2.00,,170.5,170.5,#DIV/0!,0.59%,0.00%,0.00%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
4-Mar,0.00,0,0,2.00,2.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,372.00,372.00,356.00,2.00,14,,31.00,,186,186,#DIV/0!,0.54%,0.00%,0.00%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
5-Mar,0.00,0,0,2.00,2.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,388.00,388.00,371.00,2.00,15,,16.00,,194,194,#DIV/0!,0.52%,0.00%,0.00%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
6-Mar,2.00,0,2,4.00,4.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,450.00,450.00,422.00,4.00,24,,62.00,,112.5,112.5,31,0.89%,3.77%,100.00%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
7-Mar,0.00,0,0,4.00,4.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,454.00,454.00,422.00,4.00,28,,4.00,,113.5,113.5,#DIV/0!,0.88%,0.00%,0.00%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
8-Mar,2.00,1,1,6.00,6.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,483.00,483.00,445.00,6.00,32,,29.00,,80.5,80.5,14.5,1.24%,8.00%,50.00%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
9-Mar,13.00,7,6,19.00,19.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,543.00,543.00,487.00,19.00,37,,60.00,,28.58,28.58,4.62,3.50%,23.64%,216.67%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
10-Mar,8.00,5,3,27.00,27.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,694.00,694.00,648.00,27.00,19,,151.00,,25.7,25.7,18.88,3.89%,4.73%,42.11%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
12-Mar,0.00,0,0,34.00,27.00,79.41%,1,3,8.82%,42.86%,2,4,11.76%,57.14%,,,,862.00,862.00,811.00,34.00,17,,#REF!,,25.35,25.35,#REF!,3.94%,#REF!,#REF!,39.22%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
13-Mar,35.00,,,69.00,60.00,86.96%,2,5,7.25%,55.56%,0,4,5.80%,44.44%,,,,1005.00,1005.00,917.00,69.00,19,,143.00,4,14.57,14.57,4.09,6.87%,24.82%,102.94%,25.73%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
14-Mar,27.00,,,96.00,83.00,86.46%,3,8,8.33%,61.54%,1,5,5.21%,38.46%,,,,1205.00,1205.00,1109.00,96.00,0,,200.00,4,12.55,12.55,7.41,7.97%,12.33%,39.13%,22.47%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
15-Mar,21.00,,,117.00,104.00,88.89%,0,8,6.84%,61.54%,0,5,4.27%,38.46%,,,,1293.00,1293.00,1167.00,117.00,9,,88.00,5,11.05,11.05,4.19,9.05%,26.58%,21.88%,16.93%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
16-Mar,17.00,,,134.00,121.00,90.30%,0,8,5.97%,61.54%,0,5,3.73%,38.46%,,,,1230.00,1230.00,1083.00,134.00,13,,,5,9.18,9.18,0,10.89%,,14.53%,12.60%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
17-Mar,38.00,,,172.00,156.00,90.70%,1,9,5.23%,56.25%,2,7,4.07%,43.75%,,,,1372.00,1372.00,1178.00,172.00,22,,120.00,5,7.98,7.98,3.16,12.54%,28.57%,28.36%,13.27%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
18-Mar,55.00,,,227.00,197.00,86.78%,2,11,4.85%,36.67%,12,19,8.37%,63.33%,,,,1592.00,1592.00,1342.00,227.00,23,,197.00,6,7.01,7.01,3.58,14.26%,25.11%,31.98%,27.11%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
19-Mar,82.00,,,309.00,269.00,87.06%,4,15,4.85%,37.50%,6,25,8.09%,62.50%,,,,1898.00,1898.00,1570.00,309.00,19,,287.00,7,6.14,6.14,3.5,16.28%,26.45%,36.12%,26.68%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
20-Mar,60.00,,,369.00,321.00,86.99%,1,16,4.34%,33.33%,7,32,8.67%,66.67%,,,,2028.00,2028.00,1643.00,369.00,18,,112.00,8,5.5,5.5,1.87,18.20%,45.80%,19.42%,26.28%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
21-Mar,81.00,,,450.00,392.00,87.11%,4,20,4.44%,34.48%,6,38,8.44%,65.52%,,,,2365.00,2365.00,1895.00,450.00,20,,317.00,9,5.26,5.26,3.91,19.03%,24.18%,21.95%,24.35%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
22-Mar,64.00,,,514.00,437.00,85.02%,9,29,5.64%,37.66%,10,48,9.34%,62.34%,,,,2438.00,2438.00,1904.00,514.00,20,,53.00,9,4.74,4.74,0.83,21.08%,87.67%,14.22%,24.60%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
23-Mar,65.00,,,579.00,500.00,86.36%,1,30,5.18%,37.97%,1,49,8.46%,62.03%,,,,2756.00,2756.00,2177.00,579.00,0,,318.00,10,4.76,4.76,4.89,21.01%,19.23%,12.65%,20.57%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
24-Mar,106.00,,,685.00,600.00,87.59%,0,30,4.38%,35.29%,6,55,8.03%,64.71%,,,,3332.00,3332.00,2625.00,685.00,22,,554.00,12,4.86,4.86,5.23,20.56%,19.13%,18.31%,19.04%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
25-Mar,105.00,,,790.00,701.00,88.73%,1,31,3.92%,34.83%,3,58,7.34%,65.17%,,,,3822.00,3822.00,3032.00,790.00,0,,490.00,14,4.84,4.84,4.67,20.67%,20.51%,15.33%,17.87%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
26-Mar,103.00,,,893.00,780.00,87.35%,4,35,3.92%,30.97%,20,78,8.73%,69.03%,,,,4336.00,4336.00,3443.00,893.00,0,,514.00,16,4.86,4.86,4.99,20.60%,20.04%,13.04%,20.21%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
27-Mar,153.00,,,1046.00,913.00,87.28%,11,46,4.40%,34.59%,9,87,8.32%,65.41%,,,,5775.00,5775.00,4729.00,1046.00,0,,1439.00,21,5.52,5.52,9.41,18.11%,10.63%,17.13%,19.09%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
28-Mar,109.00,,,1155.00,994.00,86.06%,13,59,5.11%,36.65%,15,102,8.83%,63.35%,,,,6266.00,6266.00,5111.00,1155.00,0,,491.00,23,5.43,5.43,4.5,18.43%,22.20%,10.42%,19.19%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
29-Mar,130.00,,,1285.00,1107.00,86.15%,5,64,4.98%,35.96%,12,114,8.87%,64.04%,,,,6534.00,6534.00,5249.00,1285.00,0,,268.00,24,5.08,5.08,2.06,19.67%,48.51%,11.26%,18.54%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
30-Mar,129.00,,,1414.00,1217.00,86.07%,11,75,5.30%,38.07%,8,122,8.63%,61.93%,,,,6663.00,6663.00,5249.00,1414.00,0,,129.00,25,4.71,4.71,1,21.22%,100.00%,10.04%,17.27%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
31-Mar,114.00,,,1528.00,1311.00,85.80%,6,81,5.30%,37.33%,14,136,8.90%,62.67%,,,,6777.00,6777.00,5249.00,1528.00,0,,114.00,25,4.44,4.44,1,22.55%,100.00%,8.06%,16.93%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
1-Apr,149.00,,,1677.00,1417.00,84.50%,22,103,6.14%,39.62%,21,157,9.36%,60.38%,,,,7193.00,7193.00,5516.00,1677.00,0,,416.00,27,4.29,4.29,2.79,23.31%,35.82%,9.75%,17.32%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
2-Apr,113.00,,,1790.00,1508.00,84.25%,9,112,6.26%,39.72%,13,170,9.50%,60.28%,,,,7425.00,7425.00,5635.00,1790.00,0,,232.00,28,4.15,4.15,2.05,24.11%,48.71%,6.74%,16.79%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
3-Apr,196.00,,,1986.00,1671.00,84.14%,22,134,6.75%,42.54%,11,181,9.11%,57.46%,,,,7986.00,7986.00,5715.00,1986.00,285,,561.00,30,4.02,4.02,2.86,24.87%,71.01%,10.95%,16.05%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
4-Apr,106.00,,,2092.00,1751.00,83.70%,16,150,7.17%,43.99%,10,191,9.13%,56.01%,,,,9712.00,9712.00,7620.00,2092.00,0,,1726.00,36,4.64,4.64,16.28,21.54%,5.27%,5.34%,15.34%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
5-Apr,181.00,,,2273.00,1911.00,84.07%,14,164,7.22%,45.30%,7,198,8.71%,54.70%,,,,11242.00,11242.00,8969.00,2273.00,0,,1530.00,42,4.95,4.95,8.45,20.22%,11.83%,8.65%,14.44%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
6-Apr,218.00,,,2491.00,2090.00,83.90%,28,192,7.71%,47.88%,11,209,8.39%,52.12%,,,,13186.00,13186.00,10695.00,2491.00,0,,1944.00,49,5.29,5.29,8.92,18.89%,11.21%,9.59%,13.86%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
7-Apr,247.00,,,2738.00,2313.00,84.48%,12,204,7.45%,48.00%,12,221,8.07%,52.00%,,,,14353.00,14353.00,11615.00,2738.00,0,,1167.00,53,5.24,5.24,4.72,19.08%,21.17%,9.92%,13.36%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
8-Apr,218.00,,,2956.00,2494.00,84.37%,18,222,7.51%,48.05%,19,240,8.12%,51.95%,,,,16511.00,16511.00,13555.00,2956.00,0,,2158.00,61,5.59,5.59,9.9,17.90%,10.10%,7.96%,13.27%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
9-Apr,337.00,,,3293.00,2761.00,83.84%,30,252,7.65%,47.37%,40,280,8.50%,52.63%,,,,17679.00,17679.00,14386.00,3293.00,0,,1168.00,65,5.37,5.37,3.47,18.63%,28.85%,11.40%,14.14%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
10-Apr,219.00,,,3512.00,2924.00,83.26%,30,282,8.03%,47.96%,26,306,8.71%,52.04%,,,,19452.00,19452.00,15940.00,3512.00,0,,1773.00,72,5.54,5.54,8.1,18.05%,12.35%,6.65%,14.19%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
11-Apr,330.00,,,3842.00,3229.00,84.04%,4,286,7.44%,46.66%,21,327,8.51%,53.34%,,,,19964.00,19964.00,16122.00,3842.00,0,,512.00,74,5.2,5.2,1.55,19.24%,64.45%,9.40%,13.92%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
12-Apr,399.00,,,4241.00,3509.00,82.74%,73,359,8.46%,49.04%,46,373,8.80%,50.96%,,,,27075.00,27075.00,22834.00,4241.00,0,,7111.00,100,6.38,6.38,17.82,15.66%,5.61%,10.39%,14.57%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
13-Apr,316.00,,,4557.00,3778.00,82.91%,21,380,8.34%,48.78%,26,399,8.76%,51.22%,,,,27953.00,27953.00,23396.00,4557.00,0,,878.00,104,6.13,6.13,2.78,16.30%,35.99%,7.45%,14.33%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
14-Apr,282.00,,,4839.00,3954.00,81.71%,46,426,8.80%,48.14%,60,459,9.49%,51.86%,10482.00,139137.00,,31628.00,31628.00,26789.00,4839.00,0,,3675.00,117,6.54,6.54,13.03,15.30%,7.67%,6.19%,15.20%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
15-Apr,297.00,,,5136.00,4221.00,82.18%,20,446,8.68%,48.74%,10,469,9.13%,51.26%,11165.00,165549.00,,36431.00,33001.00,27865.00,5136.00,0,,1373.00,122,7.09,6.43,4.62,15.56%,21.63%,6.14%,14.35%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
16-Apr,380.00,,,5516.00,4472.00,81.07%,102,548,9.93%,52.49%,27,496,8.99%,47.51%,11873.00,169446.00,,39706.00,34975.00,29459.00,5516.00,0,3275.00,1974.00,130,7.2,6.34,5.19,15.77%,19.25%,7.40%,14.04%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
17-Apr,407.00,,,5923.00,4796.00,80.97%,59,607,10.25%,53.86%,24,520,8.78%,46.14%,12610.00,173732.00,,42108.00,37134.00,31211.00,5923.00,0,2402.00,2159.00,138,7.11,6.27,5.3,15.95%,18.85%,7.38%,13.63%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
18-Apr,325.00,,,6248.00,5082.00,81.34%,24,631,10.10%,54.12%,15,535,8.56%,45.88%,12979.00,176344.00,,45378.00,39422.00,33174.00,6248.00,0,3270.00,2288.00,146,7.26,6.31,7.04,15.85%,14.20%,5.49%,13.01%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
19-Apr,327.00,,,6575.00,5307.00,80.71%,55,686,10.43%,54.10%,47,582,8.85%,45.90%,15646.00,178883.00,,47478.00,42219.00,35644.00,6575.00,0,2100.00,2797.00,156,7.22,6.42,8.55,15.57%,11.69%,5.23%,13.17%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
20-Apr,185.00,,,6760.00,5423.00,80.22%,61,747,11.05%,55.87%,8,590,8.73%,44.13%,16343.00,181770.00,,49767.00,43749.00,36989.00,6760.00,0,2289.00,1530.00,162,7.36,6.47,8.27,15.45%,12.09%,2.81%,12.49%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
21-Apr,375.00,,,7135.00,5677.00,79.57%,95,842,11.80%,57.75%,26,616,8.63%,42.25%,16763.00,186330.00,,50370.00,46173.00,39038.00,7135.00,0,603.00,2424.00,171,7.06,6.47,6.46,15.45%,15.47%,5.55%,12.23%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
22-Apr,283.00,,,7418.00,5869.00,79.12%,71,913,12.31%,58.94%,20,636,8.57%,41.06%,17754.00,193571.00,,55732.00,47361.00,39943.00,7418.00,0,5362.00,1188.00,175,7.51,6.38,4.2,15.66%,23.82%,3.97%,11.87%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
23-Apr,357.00,,,7775.00,6168.00,79.33%,47,960,12.35%,59.74%,11,647,8.32%,40.26%,18283.00,195948.00,,59935.00,48647.00,40872.00,7775.00,0,4203.00,1286.00,180,7.71,6.26,3.6,15.98%,27.76%,4.81%,11.40%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
24-Apr,436.00,,,8211.00,6520.00,79.41%,42,"1,002",12.20%,59.25%,42,689,8.39%,40.75%,18301.00,197951.00,,64054.00,50563.00,42352.00,8211.00,0,4119.00,1916.00,187,7.8,6.16,4.39,16.24%,22.76%,5.61%,11.46%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
25-Apr,396.00,,,8607.00,6845.00,79.53%,40,"1,042",12.11%,59.14%,31,720,8.37%,40.86%,19084.00,206911.00,,67828.00,52541.00,43934.00,8607.00,0,3774.00,1978.00,195,7.88,6.1,4.99,16.38%,20.02%,4.82%,11.33%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
26-Apr,275.00,,,8882.00,7032.00,79.17%,65,"1,107",12.46%,59.84%,23,743,8.37%,40.16%,19648.00,209040.00,,72099.00,56974.00,48092.00,8882.00,0,4271.00,4433.00,211,8.12,6.41,16.12,15.59%,6.20%,3.20%,11.12%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
27-Apr,214.00,,,9096.00,7180.00,78.94%,44,"1,151",12.65%,60.07%,22,765,8.41%,39.93%,19987.00,210199.00,,75157.00,59409.00,50313.00,9096.00,0,3058.00,2435.00,220,8.26,6.53,11.38,15.31%,8.79%,2.41%,10.92%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
28-Apr,415.00,,,9511.00,7484.00,78.69%,103,"1,254",13.18%,61.86%,8,773,8.13%,38.14%,20428.00,213644.00,,79618.00,62544.00,53033.00,9511.00,0,4461.00,3135.00,232,8.37,6.58,7.55,15.21%,13.24%,4.56%,10.53%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
29-Apr,260.00,,,9771.00,7596.00,77.74%,137,"1,391",14.24%,63.95%,11,784,8.02%,36.05%,21653.00,221750.00,,86985.00,67784.00,58013.00,9771.00,0,7367.00,5240.00,251,8.9,6.94,20.15,14.41%,4.96%,2.73%,10.22%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
30-Apr,347.00,,,10118.00,7804.00,77.13%,131,"1,522",15.04%,65.77%,8,792,7.83%,34.23%,21827.00,230411.00,,94599.00,72351.00,62233.00,10118.00,0,7614.00,4567.00,268,9.35,7.15,13.16,13.98%,7.60%,3.55%,9.90%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
1-May,433.00,,,10551.00,8160.00,77.34%,69,"1,591",15.08%,66.54%,8,800,7.58%,33.46%,22123.00,233120.00,,102305.00,76538.00,65987.00,10551.00,0,7706.00,4187.00,283,9.7,7.25,9.67,13.79%,10.34%,4.28%,9.60%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
2-May,292.00,,,10843.00,8347.00,76.98%,74,"1,665",15.36%,66.71%,31,831,7.66%,33.29%,22545.00,235035.00,,107943.00,79868.00,69025.00,10843.00,0,5638.00,3330.00,296,9.96,7.37,11.4,13.58%,8.77%,2.77%,9.59%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
3-May,349.00,,,11192.00,8471.00,75.69%,211,"1,876",16.76%,68.95%,14,845,7.55%,31.05%,23130.00,236369.00,,112965.00,83012.00,71820.00,11192.00,0,5022.00,3144.00,307,10.09,7.42,9.01,13.48%,11.10%,3.22%,9.40%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
4-May,395.00,,,11587.00,8769.00,75.68%,78,"1,954",16.86%,69.34%,19,864,7.46%,30.66%,24020.00,238178.00,,116861.00,86061.00,74474.00,11587.00,0,3896.00,3049.00,319,10.09,7.43,7.72,13.46%,12.96%,3.53%,9.25%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
5-May,484.00,,,12071.00,9002.00,74.58%,243,"2,197",18.20%,71.59%,8,872,7.22%,28.41%,26408.00,239226.00,,121547.00,88924.00,76853.00,12071.00,0,4686.00,2863.00,329,10.07,7.37,5.92,13.57%,16.91%,4.18%,9.00%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
6-May,367.00,,,12438.00,9226.00,74.18%,120,"2,317",18.63%,72.14%,23,895,7.20%,27.86%,26932.00,240726.00,,128383.00,92976.00,80538.00,12438.00,0,6836.00,4052.00,344,10.32,7.48,11.04,13.38%,9.06%,3.04%,8.91%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
7-May,338.00,,,12776.00,9465.00,74.08%,64,"2,381",18.64%,71.91%,35,930,7.28%,28.09%,28508.00,243455.00,,134151.00,96717.00,83941.00,12776.00,0,5768.00,3741.00,358,10.5,7.57,11.07,13.21%,9.04%,2.72%,8.94%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
8-May,336.00,,,13112.00,9675.00,73.79%,113,"2,494",19.02%,72.56%,13,943,7.19%,27.44%,29087.00,244480.00,,143452.00,103361.00,90249.00,13112.00,0,9301.00,6644.00,383,10.94,7.88,19.77,12.69%,5.06%,2.63%,8.77%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
9-May,533.00,,,13645.00,10079.00,73.87%,113,"2,607",19.11%,73.11%,16,959,7.03%,26.89%,29690.00,246847.00,,150887.00,108699.00,95054.00,13645.00,0,7435.00,5338.00,403,11.06,7.97,10.02,12.55%,9.99%,4.06%,8.63%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
