SEREMI notificacion,Codigo region,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25
Arica y Parinacota,15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Tarapaca,01,0,0,0,0,0,0,0,1,0,1,1,4,99,25,32,26,34,28,7
Antofagasta,02,0,0,0,0,0,0,0,0,0,0,7,5,22,9,17,11,27,28,17
Atacama,03,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,3,0
Coquimbo,04,0,0,0,0,0,0,0,1,0,1,1,3,2,4,9,10,11,48,22
Valparaiso,05,0,0,0,0,0,2,7,7,2,3,1,5,31,26,37,88,86,99,39
Metropolitana,13,0,0,0,0,8,19,21,58,249,420,644,854,1954,2947,3095,2360,2162,2156,866
Del Libertador General Bernardo O’Higgins,06,0,0,0,0,0,0,0,0,1,0,0,0,2,4,13,0,21,32,49
Maule,07,0,0,0,0,0,1,0,0,1,0,2,0,10,1,2,13,10,13,6
Nuble,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
Biobio,08,0,0,0,0,0,2,0,0,0,2,1,0,6,6,8,11,11,69,52
La Araucania,09,0,0,0,0,0,1,1,1,0,0,1,0,3,0,3,1,0,2,1
Los Rios,14,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
Los Lagos,10,0,0,0,0,9,13,4,4,1,2,3,1,0,2,3,3,3,2,2
Aysen,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,0,0,0,0,0,0,0,1,42,15,5,1,3,0,1,0,0,1,0
Desconocido SEREMI,,0,0,0,0,0,2,13,5,4,5,12,17,8,3,1,27,26,4,11
