SEREMI notificacion,Codigo region,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26
Arica y Parinacota,15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Tarapaca,01,0,0,0,0,0,0,0,1,0,0,1,4,81,29,32,25,23,28,20,16
Antofagasta,02,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,5,11,45,18
Atacama,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Coquimbo,04,0,0,0,0,0,1,0,1,0,1,1,1,1,3,10,8,9,30,25,29
Valparaiso,05,0,0,0,0,0,1,3,2,1,1,0,0,11,8,6,42,34,44,78,60
Metropolitana,13,0,0,0,0,7,7,15,56,175,362,620,792,1662,2712,2943,2167,1544,1859,1961,1227
Del Libertador General Bernardo O’Higgins,06,0,0,0,0,0,0,0,0,2,0,0,0,1,2,12,0,8,5,62,49
Maule,07,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,6,7,12,18
Nuble,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Biobio,08,0,0,0,0,0,1,0,0,0,0,0,0,2,4,6,6,8,16,50,67
La Araucania,09,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,1,2,0
Los Rios,14,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
Los Lagos,10,0,0,0,0,9,10,3,1,0,0,2,0,0,1,2,3,1,1,7,4
Aysen,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,0,0,0,0,0,1,0,1,42,14,4,2,1,0,0,0,0,1,1,1
Desconocido SEREMI,,0,0,0,0,0,2,16,4,5,5,8,13,6,0,2,19,24,4,22,2
