SEREMI notificacion,Codigo region,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27
Arica y Parinacota,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tarapaca,01,0,0,0,0,0,0,0,0,1,0,1,4,95,29,32,25,34,28,20,25,1
Antofagasta,02,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,5,11,44,30,1
Atacama,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,16
Coquimbo,04,0,0,0,0,0,1,0,1,0,1,1,1,1,3,10,8,9,29,19,66,3
Valparaiso,05,0,0,0,0,0,1,3,2,1,1,0,0,11,8,5,42,35,44,77,102,10
Metropolitana,13,0,0,0,0,8,10,10,45,212,391,614,793,1744,2761,2937,2198,1910,1844,1891,1625,96
Del Libertador General Bernardo O’Higgins,06,0,0,0,0,0,0,0,0,1,0,1,0,1,2,12,0,8,5,64,63,11
Maule,07,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,7,7,12,10,0
Nuble,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,0,0,0,0,0,1,0,0,0,0,0,0,2,4,6,7,10,15,50,85,2
La Araucania,09,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,2,0,0
Los Rios,14,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
Los Lagos,10,0,0,0,0,9,10,3,1,0,0,2,0,0,1,2,3,1,1,7,6,0
Aysen,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,0,0,0,0,0,0,0,1,42,15,5,1,1,0,0,0,0,1,1,1,0
Desconocido SEREMI,,0,0,0,0,0,3,16,4,5,5,5,11,3,2,2,13,23,2,16,1,0
