SEREMI notificacion,Codigo region,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26
Arica y Parinacota,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tarapaca,01,0,0,0,0,0,0,0,1,0,0,0,4,95,30,32,25,34,29,20,1
Antofagasta,02,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,5,12,89,3
Atacama,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Coquimbo,04,0,0,0,0,0,1,0,1,0,1,1,1,1,3,10,10,10,37,47,0
Valparaiso,05,0,0,0,0,0,1,3,2,1,1,0,0,11,8,6,44,38,55,119,2
Metropolitana,13,0,0,0,0,6,9,11,43,209,386,616,806,1817,2859,2962,2299,2119,2093,2391,20
Del Libertador General Bernardo O’Higgins,06,0,0,0,0,0,0,0,0,1,0,0,1,1,2,12,0,22,26,84,1
Maule,07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,7,12,0
Nuble,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobio,08,0,0,0,0,0,1,0,0,0,0,0,0,1,3,6,9,12,57,108,3
La Araucania,09,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,2,0
Los Rios,14,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
Los Lagos,10,0,0,0,0,9,10,3,1,0,0,3,0,0,1,2,3,1,1,10,0
Aysen,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,0,0,0,0,0,1,0,1,42,16,5,1,1,0,0,0,0,1,1,0
Desconocido SEREMI,,0,0,0,0,0,4,16,4,5,5,5,20,20,10,6,19,25,2,15,0
