Serie,Publicacion,Fecha,Numero defunciones
confirmados,2020-06-18,2020-03-15,0
sospechosos,2020-06-18,2020-03-15,0
confirmados,2020-06-28,2020-03-15,0
sospechosos,2020-06-28,2020-03-15,0
confirmados,2020-07-03,2020-03-15,0
sospechosos,2020-07-03,2020-03-15,0
confirmados,2020-07-09,2020-03-15,0
sospechosos,2020-07-09,2020-03-15,1
confirmados,2020-07-17,2020-03-15,0
confirmados,2020-07-18,2020-03-15,0
sospechosos,2020-07-18,2020-03-15,1
confirmados,2020-07-19,2020-03-15,0
confirmados,2020-07-20,2020-03-15,0
confirmados,2020-07-21,2020-03-15,0
confirmados,2020-07-22,2020-03-15,0
confirmados,2020-07-23,2020-03-15,0
sospechosos,2020-07-24,2020-03-15,1
confirmados,2020-07-24,2020-03-15,0
confirmados,2020-07-25,2020-03-15,0
confirmados,2020-07-26,2020-03-15,0
confirmados,2020-07-27,2020-03-15,0
confirmados,2020-07-28,2020-03-15,0
confirmados,2020-07-29,2020-03-15,0
confirmados,2020-07-30,2020-03-15,0
confirmados,2020-07-31,2020-03-15,0
sospechosos,2020-08-01,2020-03-15,1
confirmados,2020-08-01,2020-03-15,0
confirmados,2020-08-02,2020-03-15,0
confirmados,2020-08-03,2020-03-15,0
confirmados,2020-08-04,2020-03-15,0
confirmados,2020-08-05,2020-03-15,0
confirmados,2020-08-06,2020-03-15,0
confirmados,2020-08-07,2020-03-15,0
sospechosos,2020-08-07,2020-03-15,1
confirmados,2020-08-08,2020-03-15,0
sospechosos,2020-08-08,2020-03-15,1
confirmados,2020-08-09,2020-03-15,0
confirmados,2020-08-10,2020-03-15,0
confirmados,2020-08-11,2020-03-15,0
confirmados,2020-08-12,2020-03-15,0
confirmados,2020-08-13,2020-03-15,0
sospechosos,2020-08-14,2020-03-15,1
confirmados,2020-08-14,2020-03-15,0
confirmados,2020-08-15,2020-03-15,0
confirmados,2020-08-16,2020-03-15,0
confirmados,2020-08-17,2020-03-15,0
confirmados,2020-08-18,2020-03-15,0
confirmados,2020-08-19,2020-03-15,0
confirmados,2020-08-20,2020-03-15,0
confirmados,2020-08-21,2020-03-15,0
sospechosos,2020-08-21,2020-03-15,0
confirmados,2020-08-22,2020-03-15,0
confirmados,2020-08-23,2020-03-15,0
confirmados,2020-08-24,2020-03-15,0
confirmados,2020-08-25,2020-03-15,0
confirmados,2020-08-26,2020-03-15,0
confirmados,2020-08-27,2020-03-15,0
confirmados,2020-08-28,2020-03-15,0
confirmados,2020-08-29,2020-03-15,0
confirmados,2020-06-18,2020-03-16,0
sospechosos,2020-06-18,2020-03-16,1
confirmados,2020-06-28,2020-03-16,0
sospechosos,2020-06-28,2020-03-16,1
confirmados,2020-07-03,2020-03-16,0
sospechosos,2020-07-03,2020-03-16,1
confirmados,2020-07-09,2020-03-16,0
sospechosos,2020-07-09,2020-03-16,1
confirmados,2020-07-17,2020-03-16,0
confirmados,2020-07-18,2020-03-16,0
sospechosos,2020-07-18,2020-03-16,1
confirmados,2020-07-19,2020-03-16,0
confirmados,2020-07-20,2020-03-16,0
confirmados,2020-07-21,2020-03-16,0
confirmados,2020-07-22,2020-03-16,0
confirmados,2020-07-23,2020-03-16,0
sospechosos,2020-07-24,2020-03-16,1
confirmados,2020-07-24,2020-03-16,0
confirmados,2020-07-25,2020-03-16,0
confirmados,2020-07-26,2020-03-16,0
confirmados,2020-07-27,2020-03-16,0
confirmados,2020-07-28,2020-03-16,0
confirmados,2020-07-29,2020-03-16,0
confirmados,2020-07-30,2020-03-16,0
confirmados,2020-07-31,2020-03-16,0
sospechosos,2020-08-01,2020-03-16,1
confirmados,2020-08-01,2020-03-16,0
confirmados,2020-08-02,2020-03-16,0
confirmados,2020-08-03,2020-03-16,0
