Region,Codigo region,fecha,r.estimado,r.liminf,r.lisup
Arica y Parinacota,15,2020-03-08,3.49540731884018,0.0,3.99
Arica y Parinacota,15,2020-03-09,2.9773920619923198,0.0,3.99
Arica y Parinacota,15,2020-03-10,2.7407735049220894,0.0,3.99
Arica y Parinacota,15,2020-03-11,2.40611582239987,0.0,3.99
Arica y Parinacota,15,2020-03-12,2.2838658038315,0.0,3.99
Arica y Parinacota,15,2020-03-13,2.15367393677159,0.0,3.99
Arica y Parinacota,15,2020-03-14,2.04008427201721,0.0,3.99
Arica y Parinacota,15,2020-03-15,1.95919780595972,0.0,3.99
Arica y Parinacota,15,2020-03-16,1.93456705643484,0.0,3.99
Arica y Parinacota,15,2020-03-17,1.85585362500168,0.0,3.99
Arica y Parinacota,15,2020-03-18,1.88550933093703,0.0,3.99
Arica y Parinacota,15,2020-03-19,1.8430685385968302,0.0,3.99
Arica y Parinacota,15,2020-03-20,1.84213390152441,0.0,3.99
Arica y Parinacota,15,2020-03-21,1.92237490931083,0.0,3.99
Arica y Parinacota,15,2020-03-22,1.9593309487443102,0.0,3.99
Arica y Parinacota,15,2020-03-23,1.95629236281891,0.0,3.99
Arica y Parinacota,15,2020-03-24,2.00638657497235,0.0,3.99
Arica y Parinacota,15,2020-03-25,1.9958240272537,0.0766617925201822,3.91498626198722
Arica y Parinacota,15,2020-03-26,2.1085449891796,0.294883471159967,3.9222065071992303
Arica y Parinacota,15,2020-03-27,2.08304620294741,0.409818832780848,3.7562735731139796
Arica y Parinacota,15,2020-03-28,2.0964736982777397,0.500381675616058,3.69256572093942
Arica y Parinacota,15,2020-03-29,2.0635637015206,0.6367136240585439,3.4904137789826697
Arica y Parinacota,15,2020-03-30,2.11628880567792,0.776739598416014,3.45583801293982
Arica y Parinacota,15,2020-03-31,2.03136494257875,0.7918247686982042,3.2709051164593
Arica y Parinacota,15,2020-04-01,2.02925304938986,0.8857869458648578,3.1727191529148704
Arica y Parinacota,15,2020-04-02,1.9601329110184398,0.906789083442107,3.01347673859477
Arica y Parinacota,15,2020-04-03,1.87885281474536,0.919938296985629,2.8377673325050896
Arica y Parinacota,15,2020-04-04,1.8484726291776201,0.938332761430365,2.7586124969248904
Arica y Parinacota,15,2020-04-05,1.7480340568911397,0.948967044559073,2.54710106922321
Arica y Parinacota,15,2020-04-06,1.60239247978751,0.9119775023975719,2.2928074571774397
Arica y Parinacota,15,2020-04-07,1.50420610456481,0.894942048052277,2.11347016107734
Arica y Parinacota,15,2020-04-08,1.4054476863386598,0.8663989496064108,1.94449642307091
Arica y Parinacota,15,2020-04-09,1.2690106359576798,0.802588056737845,1.73543321517753
Arica y Parinacota,15,2020-04-10,1.16309168399402,0.755765542346652,1.5704178256413799
Arica y Parinacota,15,2020-04-11,1.0406392680967,0.6709210632310251,1.4103574729623702
Arica y Parinacota,15,2020-04-12,0.964397059485339,0.607867736788217,1.32092638218246
Arica y Parinacota,15,2020-04-13,0.9185375547127409,0.5741866488389711,1.26288846058651
Arica y Parinacota,15,2020-04-14,0.869879872847604,0.526071219211687,1.21368852648352
Arica y Parinacota,15,2020-04-15,0.835098674217838,0.47922132583499605,1.19097602260068
Arica y Parinacota,15,2020-04-16,0.8633485811441509,0.49568638055659897,1.2310107817317
Arica y Parinacota,15,2020-04-17,0.9274085636692901,0.5426815155651429,1.31213561177344
Arica y Parinacota,15,2020-04-18,0.9839049260784979,0.614279081227122,1.3535307709298798
Arica y Parinacota,15,2020-04-19,1.06174726981656,0.666548544036114,1.4569459955970099
Arica y Parinacota,15,2020-04-20,1.14778273405775,0.724870878191471,1.57069458992403
Arica y Parinacota,15,2020-04-21,1.18584335824977,0.773749380947389,1.59793733555215
Arica y Parinacota,15,2020-04-22,1.1991899829486599,0.7960231404069771,1.60235682549034
Arica y Parinacota,15,2020-04-23,1.15578960000519,0.7708523229090292,1.54072687710135
Arica y Parinacota,15,2020-04-24,1.08856405517284,0.7268866726618779,1.45024143768379
