region_residencia,comuna_residencia,Fecha defunciones,confirmados,sospechosos,totales
De Arica y Parinacota,Arica,2020-06-05,1.0,2.0,3.0
De Arica y Parinacota,Arica,2020-06-06,1.0,,1.0
De Arica y Parinacota,Arica,2020-06-10,1.0,,1.0
De Arica y Parinacota,Arica,2020-06-11,1.0,1.0,2.0
De Arica y Parinacota,Arica,2020-06-13,,1.0,1.0
De Arica y Parinacota,Arica,2020-06-15,1.0,,1.0
De Arica y Parinacota,Arica,2020-06-18,,2.0,2.0
De Arica y Parinacota,Arica,2020-06-19,3.0,,3.0
De Arica y Parinacota,Arica,2020-06-20,,2.0,2.0
De Arica y Parinacota,Arica,2020-06-21,,1.0,1.0
De Arica y Parinacota,Arica,2020-06-22,2.0,,2.0
De Arica y Parinacota,Arica,2020-06-23,2.0,,2.0
De Arica y Parinacota,Arica,2020-06-24,2.0,,2.0
De Arica y Parinacota,Arica,2020-06-28,1.0,,1.0
De Arica y Parinacota,Arica,2020-06-29,,1.0,1.0
De Arica y Parinacota,Arica,2020-07-03,2.0,,2.0
De Arica y Parinacota,Arica,2020-07-06,,2.0,2.0
De Arica y Parinacota,Arica,2020-07-07,3.0,,3.0
De Arica y Parinacota,Arica,2020-07-09,1.0,,1.0
De Arica y Parinacota,Arica,2020-07-11,1.0,1.0,2.0
De Arica y Parinacota,Arica,2020-07-12,3.0,,3.0
De Arica y Parinacota,Arica,2020-07-14,2.0,,2.0
De Arica y Parinacota,Arica,2020-07-15,2.0,,2.0
De Arica y Parinacota,Arica,2020-07-16,2.0,,2.0
De Arica y Parinacota,Arica,2020-07-17,,1.0,1.0
De Arica y Parinacota,Arica,2020-07-18,1.0,1.0,2.0
De Arica y Parinacota,Arica,2020-07-19,1.0,,1.0
De Arica y Parinacota,Arica,2020-07-20,3.0,2.0,5.0
De Arica y Parinacota,Arica,2020-07-21,2.0,,2.0
De Arica y Parinacota,Arica,2020-07-22,1.0,1.0,2.0
De Arica y Parinacota,Arica,2020-07-23,3.0,1.0,4.0
De Arica y Parinacota,Arica,2020-07-24,1.0,1.0,2.0
De Arica y Parinacota,Arica,2020-07-25,5.0,,5.0
De Arica y Parinacota,Arica,2020-07-27,1.0,,1.0
De Arica y Parinacota,Arica,2020-07-28,1.0,1.0,2.0
De Arica y Parinacota,Arica,2020-07-29,7.0,,7.0
De Arica y Parinacota,Arica,2020-07-30,2.0,,2.0
De Arica y Parinacota,Arica,2020-07-31,1.0,1.0,2.0
De Arica y Parinacota,Arica,2020-08-01,4.0,2.0,6.0
De Arica y Parinacota,Arica,2020-08-02,1.0,1.0,2.0
De Arica y Parinacota,Arica,2020-08-03,1.0,,1.0
De Arica y Parinacota,Arica,2020-08-04,2.0,,2.0
De Arica y Parinacota,Arica,2020-08-06,2.0,2.0,4.0
De Arica y Parinacota,Arica,2020-08-07,,1.0,1.0
De Arica y Parinacota,Arica,2020-08-08,,1.0,1.0
De Arica y Parinacota,Arica,2020-08-09,1.0,1.0,2.0
