region_residencia,comuna_residencia,Fecha defunciones,confirmados,sospechosos,totales
De Coquimbo,Los Vilos,2020-05-27,,1.0,1.0
De Coquimbo,Los Vilos,2020-06-09,1.0,,1.0
De Coquimbo,Los Vilos,2020-06-11,1.0,,1.0
De Coquimbo,Los Vilos,2020-06-21,,1.0,1.0
De Coquimbo,Los Vilos,2020-07-09,,1.0,1.0
De Coquimbo,Los Vilos,2020-07-14,1.0,,1.0
De Coquimbo,Los Vilos,2020-08-04,2.0,,2.0
De Coquimbo,Los Vilos,2020-08-10,,1.0,1.0
De Coquimbo,Los Vilos,2020-08-14,1.0,,1.0
De Coquimbo,Los Vilos,2020-08-15,1.0,,1.0
De Coquimbo,Monte Patria,2020-06-04,1.0,,1.0
De Coquimbo,Monte Patria,2020-06-13,,2.0,2.0
De Coquimbo,Monte Patria,2020-07-12,1.0,,1.0
De Coquimbo,Monte Patria,2020-07-15,1.0,,1.0
De Coquimbo,Ovalle,2020-05-01,,1.0,1.0
De Coquimbo,Ovalle,2020-05-29,1.0,,1.0
De Coquimbo,Ovalle,2020-05-31,1.0,,1.0
De Coquimbo,Ovalle,2020-06-01,,1.0,1.0
De Coquimbo,Ovalle,2020-06-10,1.0,,1.0
De Coquimbo,Ovalle,2020-06-13,1.0,,1.0
De Coquimbo,Ovalle,2020-06-14,2.0,,2.0
De Coquimbo,Ovalle,2020-06-15,1.0,,1.0
De Coquimbo,Ovalle,2020-06-16,,1.0,1.0
De Coquimbo,Ovalle,2020-06-20,1.0,,1.0
De Coquimbo,Ovalle,2020-06-22,1.0,,1.0
De Coquimbo,Ovalle,2020-06-26,1.0,,1.0
De Coquimbo,Ovalle,2020-07-02,1.0,,1.0
De Coquimbo,Ovalle,2020-07-04,1.0,1.0,2.0
De Coquimbo,Ovalle,2020-07-06,1.0,,1.0
De Coquimbo,Ovalle,2020-07-07,,1.0,1.0
De Coquimbo,Ovalle,2020-07-08,1.0,1.0,2.0
De Coquimbo,Ovalle,2020-07-09,2.0,,2.0
De Coquimbo,Ovalle,2020-07-11,2.0,,2.0
De Coquimbo,Ovalle,2020-07-19,2.0,,2.0
De Coquimbo,Ovalle,2020-07-20,,1.0,1.0
De Coquimbo,Ovalle,2020-07-21,1.0,,1.0
De Coquimbo,Ovalle,2020-07-26,1.0,,1.0
De Coquimbo,Ovalle,2020-07-31,1.0,,1.0
De Coquimbo,Ovalle,2020-08-01,1.0,,1.0
De Coquimbo,Ovalle,2020-08-10,,1.0,1.0
De Coquimbo,Ovalle,2020-08-16,,1.0,1.0
De Coquimbo,Ovalle,2020-08-17,1.0,,1.0
De Coquimbo,Ovalle,2020-08-18,1.0,,1.0
De Coquimbo,Paiguano,2020-06-16,,1.0,1.0
De Coquimbo,Paiguano,2020-07-03,,1.0,1.0
De Coquimbo,Punitaqui,2020-04-28,,1.0,1.0
De Coquimbo,Punitaqui,2020-05-15,1.0,,1.0
De Coquimbo,Punitaqui,2020-07-14,1.0,,1.0
De Coquimbo,Río Hurtado,2020-06-02,,1.0,1.0
De Coquimbo,Salamanca,2020-05-24,,1.0,1.0
De Coquimbo,Salamanca,2020-05-29,,1.0,1.0
De Coquimbo,Salamanca,2020-06-17,1.0,,1.0
De Coquimbo,Salamanca,2020-06-22,,2.0,2.0
De Coquimbo,Salamanca,2020-07-01,,1.0,1.0
De Coquimbo,Salamanca,2020-07-25,,1.0,1.0
De Coquimbo,Salamanca,2020-08-03,,1.0,1.0
De Coquimbo,Salamanca,2020-08-08,1.0,,1.0
De Coquimbo,Vicuña,2020-06-16,,1.0,1.0
De Coquimbo,Vicuña,2020-06-21,,1.0,1.0
De Coquimbo,Vicuña,2020-06-28,,1.0,1.0
De Coquimbo,Vicuña,2020-07-24,1.0,,1.0
De Coquimbo,Vicuña,2020-08-10,,1.0,1.0
De La Araucanía,Angol,2020-03-31,1.0,,1.0
De La Araucanía,Angol,2020-04-04,1.0,,1.0
De La Araucanía,Angol,2020-04-16,1.0,,1.0
De La Araucanía,Angol,2020-04-28,1.0,,1.0
De La Araucanía,Angol,2020-05-03,,1.0,1.0
De La Araucanía,Angol,2020-05-04,,1.0,1.0
De La Araucanía,Angol,2020-05-12,1.0,,1.0
De La Araucanía,Angol,2020-05-14,1.0,,1.0
De La Araucanía,Angol,2020-06-06,2.0,,2.0
De La Araucanía,Angol,2020-06-10,1.0,,1.0
De La Araucanía,Angol,2020-06-23,,1.0,1.0
De La Araucanía,Angol,2020-06-28,1.0,,1.0
De La Araucanía,Angol,2020-07-01,1.0,,1.0
De La Araucanía,Angol,2020-07-03,,1.0,1.0
De La Araucanía,Angol,2020-07-14,1.0,,1.0
De La Araucanía,Angol,2020-07-23,1.0,,1.0
De La Araucanía,Angol,2020-08-05,,1.0,1.0
De La Araucanía,Angol,2020-08-09,,2.0,2.0
De La Araucanía,Carahue,2020-04-03,,1.0,1.0
De La Araucanía,Carahue,2020-04-12,,1.0,1.0
De La Araucanía,Carahue,2020-04-24,,1.0,1.0
De La Araucanía,Carahue,2020-04-26,1.0,,1.0
De La Araucanía,Carahue,2020-05-14,,1.0,1.0
De La Araucanía,Carahue,2020-05-26,,1.0,1.0
De La Araucanía,Carahue,2020-06-03,,1.0,1.0
De La Araucanía,Carahue,2020-07-15,,1.0,1.0
De La Araucanía,Carahue,2020-07-26,,1.0,1.0
De La Araucanía,Carahue,2020-08-01,,1.0,1.0
De La Araucanía,Carahue,2020-08-11,,1.0,1.0
De La Araucanía,Cholchol,2020-07-31,,1.0,1.0
De La Araucanía,Collipulli,2020-04-19,1.0,,1.0
De La Araucanía,Collipulli,2020-04-25,1.0,,1.0
De La Araucanía,Collipulli,2020-05-20,1.0,,1.0
De La Araucanía,Collipulli,2020-08-18,,1.0,1.0
De La Araucanía,Cunco,2020-04-02,1.0,,1.0
De La Araucanía,Cunco,2020-04-22,,1.0,1.0
De La Araucanía,Cunco,2020-05-26,,1.0,1.0
De La Araucanía,Cunco,2020-05-27,,1.0,1.0
De La Araucanía,Cunco,2020-05-31,,1.0,1.0
De La Araucanía,Cunco,2020-06-02,1.0,,1.0
De La Araucanía,Cunco,2020-06-06,,1.0,1.0
De La Araucanía,Cunco,2020-06-10,,1.0,1.0
De La Araucanía,Curacautín,2020-04-26,1.0,,1.0
De La Araucanía,Curacautín,2020-05-03,,1.0,1.0
De La Araucanía,Curacautín,2020-06-14,1.0,,1.0
De La Araucanía,Curacautín,2020-07-30,,1.0,1.0
De La Araucanía,Ercilla,2020-06-23,,1.0,1.0
De La Araucanía,Ercilla,2020-07-18,1.0,,1.0
De La Araucanía,Ercilla,2020-08-15,1.0,,1.0
De La Araucanía,Freire,2020-05-28,1.0,,1.0
De La Araucanía,Galvarino,2020-05-10,,1.0,1.0
De La Araucanía,Galvarino,2020-06-04,,1.0,1.0
De La Araucanía,Galvarino,2020-06-13,,1.0,1.0
De La Araucanía,Galvarino,2020-06-16,1.0,1.0,2.0
De La Araucanía,Galvarino,2020-08-13,,1.0,1.0
De La Araucanía,Gorbea,2020-03-29,,1.0,1.0
De La Araucanía,Gorbea,2020-04-29,1.0,,1.0
De La Araucanía,Gorbea,2020-05-25,,1.0,1.0
De La Araucanía,Gorbea,2020-07-06,,1.0,1.0
De La Araucanía,Lautaro,2020-04-11,1.0,,1.0
De La Araucanía,Lautaro,2020-04-12,1.0,,1.0
De La Araucanía,Lautaro,2020-04-13,1.0,,1.0
De La Araucanía,Lautaro,2020-04-14,,1.0,1.0
De La Araucanía,Lautaro,2020-06-13,,1.0,1.0
De La Araucanía,Lautaro,2020-07-17,1.0,,1.0
De La Araucanía,Lautaro,2020-08-08,,1.0,1.0
De La Araucanía,Lautaro,2020-08-12,,1.0,1.0
De La Araucanía,Loncoche,2020-06-14,1.0,,1.0
De La Araucanía,Loncoche,2020-07-12,,1.0,1.0
De La Araucanía,Loncoche,2020-07-14,,1.0,1.0
De La Araucanía,Loncoche,2020-08-04,,1.0,1.0
De La Araucanía,Loncoche,2020-08-10,,1.0,1.0
De La Araucanía,Loncoche,2020-08-11,,1.0,1.0
De La Araucanía,Lonquimay,2020-05-13,1.0,,1.0
De La Araucanía,Lonquimay,2020-06-10,1.0,,1.0
De La Araucanía,Nueva Imperial,2020-04-05,1.0,,1.0
De La Araucanía,Nueva Imperial,2020-04-06,,1.0,1.0
De La Araucanía,Nueva Imperial,2020-04-08,,1.0,1.0
De La Araucanía,Nueva Imperial,2020-05-07,,1.0,1.0
De La Araucanía,Nueva Imperial,2020-05-24,,1.0,1.0
De La Araucanía,Nueva Imperial,2020-06-21,1.0,,1.0
De La Araucanía,Nueva Imperial,2020-06-24,,1.0,1.0
De La Araucanía,Nueva Imperial,2020-07-18,1.0,,1.0
De La Araucanía,Nueva Imperial,2020-08-12,1.0,,1.0
De La Araucanía,Nueva Imperial,2020-08-13,,1.0,1.0
De La Araucanía,Nueva Imperial,2020-08-15,,1.0,1.0
De La Araucanía,Padre Las Casas,2020-04-03,1.0,,1.0
De La Araucanía,Padre Las Casas,2020-04-07,1.0,,1.0
De La Araucanía,Padre Las Casas,2020-04-30,1.0,,1.0
De La Araucanía,Padre Las Casas,2020-05-08,,1.0,1.0
De La Araucanía,Padre Las Casas,2020-05-14,1.0,,1.0
De La Araucanía,Padre Las Casas,2020-06-03,,1.0,1.0
De La Araucanía,Padre Las Casas,2020-06-08,,1.0,1.0
De La Araucanía,Padre Las Casas,2020-07-10,,1.0,1.0
De La Araucanía,Padre Las Casas,2020-08-04,1.0,,1.0
De La Araucanía,Padre Las Casas,2020-08-18,,1.0,1.0
De La Araucanía,Perquenco,2020-06-25,,1.0,1.0
De La Araucanía,Pitrufquén,2020-06-08,,1.0,1.0
De La Araucanía,Pitrufquén,2020-07-18,,1.0,1.0
De La Araucanía,Pucón,2020-06-19,,1.0,1.0
De La Araucanía,Pucón,2020-07-11,,1.0,1.0
De La Araucanía,Pucón,2020-08-13,,1.0,1.0
De La Araucanía,Purén,2020-04-14,,1.0,1.0
De La Araucanía,Purén,2020-05-12,,1.0,1.0
De La Araucanía,Purén,2020-05-27,1.0,,1.0
De La Araucanía,Purén,2020-07-01,,1.0,1.0
De La Araucanía,Purén,2020-07-17,,1.0,1.0
De La Araucanía,Renaico,2020-05-16,1.0,,1.0
De La Araucanía,Renaico,2020-05-27,,1.0,1.0
De La Araucanía,Renaico,2020-07-09,1.0,,1.0
De La Araucanía,Renaico,2020-08-09,,1.0,1.0
De La Araucanía,Saavedra,2020-04-20,,1.0,1.0
De La Araucanía,Temuco,2020-03-27,1.0,,1.0
De La Araucanía,Temuco,2020-03-28,1.0,,1.0
De La Araucanía,Temuco,2020-03-30,1.0,,1.0
De La Araucanía,Temuco,2020-03-31,2.0,,2.0
De La Araucanía,Temuco,2020-04-01,,1.0,1.0
De La Araucanía,Temuco,2020-04-02,1.0,,1.0
De La Araucanía,Temuco,2020-04-04,3.0,,3.0
De La Araucanía,Temuco,2020-04-06,,1.0,1.0
De La Araucanía,Temuco,2020-04-08,1.0,,1.0
