Region,Casos nuevos,Casos totales,Fallecidos
Arica y Parinacota,0,2,0
Tarapacá,0,4,0
Antofagasta,6,19,0
Atacama,0,1,0
Coquimbo,1,12,0
Valparaíso,7,32,0
Metropolitana,142,682,2
O’Higgins,2,11,0
Maule,1,30,0
Ñuble,6,111,0
Biobío,22,95,1
Araucanía,15,74,0
Los Ríos,5,11,0
Los Lagos,8,44,0
Aysén,0,1,0
Magallanes,5,13,0
Total,220,1142,3
