Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Casos activos confirmados,Fallecidos totales,Casos confirmados recuperados,Casos probables acumulados ,Casos activos probables 
Arica y Parinacota,1685.0,36.0,31.0,5.0,0.0,365,20.0,1299,56.0,16.0
Tarapacá,5974.0,81.0,61.0,15.0,5.0,819,91.0,5068,146.0,66.0
Antofagasta,8625.0,317.0,253.0,38.0,26.0,1774,147.0,6616,407.0,185.0
Atacama,1006.0,50.0,32.0,17.0,1.0,313,2.0,689,57.0,42.0
Coquimbo,2961.0,104.0,67.0,17.0,20.0,692,23.0,2263,378.0,152.0
Valparaíso,11541.0,234.0,193.0,16.0,25.0,2089,229.0,9085,3086.0,1230.0
Metropolitana,216896.0,2508.0,1913.0,226.0,369.0,21476,4777.0,190688,23284.0,5990.0
O'Higgins,5844.0,238.0,201.0,25.0,12.0,2106,69.0,3716,1014.0,637.0
Maule,5463.0,141.0,103.0,24.0,14.0,1387,48.0,4005,395.0,218.0
Ñuble,2384.0,21.0,20.0,1.0,0.0,368,32.0,1970,421.0,220.0
Biobío,6595.0,197.0,152.0,27.0,18.0,2043,50.0,4523,826.0,408.0
Araucania,3212.0,40.0,30.0,10.0,0.0,278,41.0,2880,113.0,54.0
Los Ríos,689.0,11.0,8.0,3.0,0.0,95,10.0,585,50.0,19.0
Los Lagos,1642.0,33.0,22.0,8.0,3.0,301,21.0,1311,115.0,81.0
Aysén,42.0,1.0,1.0,0.0,0.0,14,0.0,28,2.0,2.0
Magallanes,1440.0,5.0,5.0,0.0,0.0,132,15.0,1290,12.0,0.0
Se desconoce región de origen,,,,,,18,,138,,
Total,275999.0,4017.0,3092.0,432.0,493.0,34270,5575.0,236154,30362.0,9320.0
