Region, Casos nuevos, Casos totales, Casos recuperados, Casos fallecidos
Arica y Paricota,  1,   4,,0
Tarapacá,  1,   6,,0
Antofagasta,  2,  27,,0
Atacama,  1,   2,,0
Coquimbo,  3,  18,,0
Valparaíso,  9,  80,,0
Metropolita, 83,1167,,3
O’Higgins,  1,  21,,0
Maule,  5,  42,,0
Ñuble, 25, 197,,0
Biobío, 34, 185,,2
Araucanía, 28, 205,,2
Los Ríos, 13,  40,,0
Los Lagos, 11, 104,,0
Aysén,  0,   2,,0
Magallanes, 13,  39,,0
Total,230,2139,75,7
