Region, Casos nuevos, Casos totales, Casos recuperados
Arica y Parinacota, 0, 0,0
Tarapacá, 0, 0,0
Antofagasta, 2, 2,0
Atacama, 1, 1,0
Coquimbo, 0, 0,0
Valparaíso, 0, 0,0
Metropolitana,11,40,0
O’Higgins, 0, 0,0
Maule, 1, 9,0
Ñuble, 2, 4,0
Biobío, 0, 3,0
Araucanía, 0, 0,0
Los Ríos, 0, 0,0
Los Lagos, 0, 1,0
Aysén, 1, 1,0
Magallanes, 0, 0,0
Total,18,61,0
