Region, Casos nuevos, Casos totales, Casos recuperados
Arica y Parinacota, 0, 0,0
Tarapacá, 0, 0,0
Antofagasta, 0, 0,0
Atacama, 0, 0,0
Coquimbo, 0, 0,0
Valparaíso, 0, 0,0
Metropolitana, 9,23,0
O’Higgins, 0, 0,0
Maule, 0, 7,0
Ñuble, 1, 1,0
Biobío, 0, 1,0
Araucanía, 0, 0,0
Los Ríos, 0, 0,0
Los Lagos, 0, 1,0
Aysén, 0, 0,0
Magallanes, 0, 0,0
Total,10,33,0
