Region, Casos nuevos, Casos totales, Casos recuperados
Arica y Parinacota, 0,  0,0
Tarapacá, 0,  0,0
Antofagasta, 0,  2,0
Atacama, 0,  1,0
Coquimbo, 0,  0,0
Valparaíso, 0,  1,0
Metropolitana,29,152,0
O’Higgins, 0,  0,0
Maule, 0,  9,0
Ñuble,14, 26,0
Biobío, 0,  4,0
Araucanía, 0,  1,0
Los Ríos, 0,  1,0
Los Lagos, 0,  1,0
Aysén, 0,  1,0
Magallanes, 2,  2,0
Total,45,201,0
