Region, Casos nuevos, Casos totales, Casos recuperados, Casos fallecidos
Arica y Paricota,  0,   6,, 0
Tarapacá,  2,  10,, 0
Antofagasta,  0,  35,, 0
Atacama,  0,   2,, 0
Coquimbo,  1,  28,, 0
Valparaíso,  7, 115,, 1
Metropolita,125,1420,, 4
O’Higgins,  2,  23,, 0
Maule,  8,  62,, 1
Ñuble, 16, 245,, 0
Biobío, 15, 216,, 2
Araucanía, 55, 302,, 4
Los Ríos, 11,  58,, 0
Los Lagos, 23, 151,, 0
Aysén,  0,   2,, 0
Magallanes, 24,  63,, 0
Total,289,2738,156,12
