Region, Casos nuevos, Casos totales, Casos recuperados
Arica y Parinacota, 0,  0,0
Tarapacá, 0,  0,0
Antofagasta, 0,  2,0
Atacama, 0,  1,0
Coquimbo, 0,  0,0
Valparaíso, 1,  1,0
Metropolitana,69,123,0
O’Higgins, 0,  0,0
Maule, 0,  9,0
Ñuble, 8, 12,0
Biobío, 1,  4,0
Araucanía, 1,  1,0
Los Ríos, 1,  1,0
Los Lagos, 0,  1,0
Aysén, 0,  1,0
Magallanes, 0,  0,0
Total,81,156,0
