Region, Casos nuevos, Casos totales, Casos recuperados, Casos fallecidos
Arica y Paricota,  0,   3,,0
Tarapacá,  0,   5,,0
Antofagasta,  4,  25,,0
Atacama,  0,   1,,0
Coquimbo,  1,  15,,0
Valparaíso, 22,  71,,0
Metropolita,146,1084,,3
O’Higgins,  4,  20,,0
Maule,  5,  37,,0
Ñuble, 28, 172,,0
Biobío, 16, 151,,2
Araucanía, 34, 177,,1
Los Ríos,  5,  27,,0
Los Lagos, 30,  93,,0
Aysén,  0,   2,,0
Magallanes,  4,  26,,0
Total,299,1909,61,6
