Region,Casos nuevos,Casos totales,Fallecidos
Arica y Parinacota,0,2,0
Tarapacá,1,1,0
Antofagasta,0,11,0
Atacama,0,1,0
Coquimbo,1,6,0
Valparaíso,3,19,0
Metropolitana,50,459,1
O’Higgins,0,8,0
Maule,3,28,0
Ñuble,17,81,0
Biobío,11,46,0
Araucanía,13,40,0
Los Ríos,3,4,0
Los Lagos,10,33,0
Aysén,0,1,0
Magallanes,2,6,0
Total,114,746,1
