Region, Casos nuevos, Casos totales, Casos recuperados, Casos fallecidos
Arica y Paricota,  1,   3,,0
Tarapacá,  1,   5,,0
Antofagasta,  1,  20,,0
Atacama,  0,   1,,0
Coquimbo,  1,  13,,0
Valparaíso, 12,  44,,0
Metropolita, 64, 746,,3
O’Higgins,  3,  14,,0
Maule,  1,  31,,0
Ñuble,  3, 114,,0
Biobío, 14, 109,,1
Araucanía, 37, 111,,0
Los Ríos,  3,  14,,0
Los Lagos, 16,  60,,0
Aysén,  1,   2,,0
Magallanes,  6,  19,,0
Total,164,1306,33,4
