Region, Casos nuevos, Casos totales, Casos recuperados
Arica y Parinacota,  1,  1,0
Tarapacá,  0,  0,0
Antofagasta,  0,  2,0
Atacama,  0,  1,0
Coquimbo,  2,  2,0
Valparaíso,  3,  4,0
Metropolitana, 73,247,0
O’Higgins,  2,  2,0
Maule,  3, 14,0
Ñuble,  2, 28,0
Biobío,  7, 14,0
Araucanía,  3,  7,0
Los Ríos,  0,  1,0
Los Lagos,  8, 16,0
Aysén,  0,  1,0
Magallanes,  0,  2,0
Total,104,342,0
