Region, Casos nuevos, Casos totales, Casos recuperados, Casos fallecidos
Arica y Paricota,  5,  12,, 0
Tarapacá,  1,  13,, 0
Antofagasta,  7,  54,, 0
Atacama,  2,   5,, 0
Coquimbo,  1,  35,, 0
Valparaíso, 20, 176,, 1
Metropolita,106,1742,, 8
O’Higgins,  1,  33,, 0
Maule,  7,  89,, 1
Ñuble, 29, 370,, 1
Biobío, 27, 302,, 2
Araucanía, 43, 432,, 7
Los Ríos, 10,  78,, 1
Los Lagos, 31, 234,, 0
Aysén,  1,   6,, 0
Magallanes, 42, 156,, 1
Total,333,3737,427,22
