Region, Casos nuevos, Casos totales, Casos recuperados, Casos fallecidos
Arica y Paricota,  0,  12,, 0
Tarapacá,  4,  17,, 0
Antofagasta,  1,  55,, 0
Atacama,  0,   5,, 0
Coquimbo,  9,  44,, 0
Valparaíso,  9, 185,, 1
Metropolita,215,1957,, 9
O’Higgins,  5,  38,, 0
Maule,  8,  97,, 1
Ñuble, 31, 401,, 2
Biobío, 45, 347,, 2
Araucanía, 45, 477,, 9
Los Ríos, 11,  89,, 1
Los Lagos, 25, 259,, 0
Aysén,  0,   6,, 0
Magallanes, 16, 172,, 2
Total,424,4161,528,27
