Region, Casos nuevos, Casos totales, Casos recuperados, Casos fallecidos
Arica y Paricota,  0,   3,,0
Tarapacá,  0,   5,,0
Antofagasta,  1,  21,,0
Atacama,  0,   1,,0
Coquimbo,  1,  14,,0
Valparaíso,  5,  49,,0
Metropolita,192, 938,,3
O’Higgins,  2,  16,,0
Maule,  1,  32,,0
Ñuble, 30, 144,,0
Biobío, 26, 135,,2
Araucanía, 32, 143,,0
Los Ríos,  8,  22,,0
Los Lagos,  3,  63,,0
Aysén,  0,   2,,0
Magallanes,  3,  22,,0
Total,304,1610,43,5
