Region, Casos nuevos, Casos totales, Casos recuperados, Casos fallecidos
Arica y Paricota,  0,   6,, 0
Tarapacá,  0,  10,, 0
Antofagasta,  4,  39,, 0
Atacama,  1,   3,, 0
Coquimbo,  2,  30,, 0
Valparaíso, 21, 136,, 1
Metropolita,101,1521,, 5
O’Higgins,  3,  26,, 0
Maule,  9,  71,, 1
Ñuble, 14, 259,, 0
Biobío, 24, 240,, 2
Araucanía, 41, 343,, 6
Los Ríos,  6,  64,, 1
Los Lagos, 30, 181,, 0
Aysén,  1,   3,, 0
Magallanes, 36,  99,, 0
Total,293,3031,234,16
