Region, Casos nuevos, Casos totales, Casos recuperados, Casos fallecidos
Arica y Paricota,  1,   7,, 0
Tarapacá,  2,  12,, 0
Antofagasta,  8,  47,, 0
Atacama,  0,   3,, 0
Coquimbo,  4,  34,, 0
Valparaíso, 20, 156,, 1
Metropolita,115,1636,, 6
O’Higgins,  6,  32,, 0
Maule, 11,  82,, 1
Ñuble, 82, 341,, 0
Biobío, 35, 275,, 2
Araucanía, 46, 389,, 7
Los Ríos,  4,  68,, 1
Los Lagos, 22, 203,, 0
Aysén,  2,   5,, 0
Magallanes, 15, 114,, 0
Total,373,3404,335,18
