Month,Huambo City,Luanda City,ZEE
Mar,-0.107006863,-0.117256543,-0.148212391
Apr,-0.053411003,-0.23826728,-0.167682874
May,0.005631374,-0.055835547,-0.059815112
Jun,-0.020855071,-0.009129526,0.116575327
Jul,-0.042518255,0.030733355,0.006137356
Aug,-0.042157895,-0.052397754,-0.052624971
Sep,0.02035211,-0.006577813,0.027426867
Oct,0.059352687,-0.062237955,0.005947356
