Month,Huambo City,Luanda City,ZEE
Mar,-1.063767262,-0.982151252,-1.237822467
Apr,-1.689966408,-0.799846742,-1.087190121
May,0.60785426,-1.75043988,1.177570202
Jun,-0.48867533,0.166023671,-1.968962858
Jul,0.224473998,-1.184116409,5.711229247
Aug,-0.434557619,-0.818025115,-0.274659165
Sep,-1.436935591,-9.046427721,-3.736310829
Oct,-0.361032159,-0.459559327,0.35323405
