Month,Huambo City,Luanda City,ZEE
Mar,2.34E-05,4.25E-05,-3.16E-05
Apr,3.13E-05,-5.55E-05,7.65E-05
May,-7.31E-06,-5.56E-05,-8.21E-05
Jun,4.68E-05,-3.97E-05,-4.85E-05
Jul,3.41E-05,4.38E-05,4.79E-05
Aug,8.45E-05,-3.95E-05,-6.69E-06
Sep,7.34E-05,2.77E-05,1.41E-05
Oct,-2.35E-05,-4.26E-05,-7.07E-05
