Month,Huambo City,Luanda City,ZEE
Mar,-4.54E-06,-8.51E-06,-8.74E-06
Apr,-2.13E-06,-2.02E-05,-1.03E-05
May,1.70E-07,-4.67E-06,-3.77E-06
Jun,-1.40E-06,-1.43E-06,8.17E-06
Jul,-3.14E-06,3.15E-06,4.77E-07
Aug,-3.28E-06,-4.42E-06,-4.02E-06
Sep,1.40E-06,-6.25E-07,1.84E-06
Oct,3.31E-06,-4.62E-06,3.49E-07
