Date,Closure Policy Name,Policy,New_Cases,Active_cases,retail_and_recreation_mob,grocery_and_pharmacy_mob,parks_percent_mob,transit_stations_mob,workplaces_mob,residential_mob,avg_mob,population,New_Cases_pc,Active_cases_pc
1,2,10,210,180,-28,-12,-33,-38,-21,12,-20,10576400,1.99E-05,1.7E-05
2,2,10,5,183,-30,-11,-32,-42,-23,15,-20.5,10576400,4.73E-07,1.73E-05
3,2,10,52,227,-35,-5,-38,-40,-10,11,-19.5,10576400,4.92E-06,2.15E-05
4,2,10,40,256,-49,-22,-59,-49,-12,14,-29.5,10576400,3.78E-06,2.42E-05
5,2,10,46,301,-40,-19,-43,-53,-34,18,-28.5,10576400,4.35E-06,2.85E-05
6,2,10,71,370,-43,-18,-46,-56,-40,19,-30.66666667,10576400,6.71E-06,3.5E-05
7,2,10,38,408,-54,-29,-55,-69,-69,28,-41.33333333,10576400,3.59E-06,3.86E-05
8,2,10,53,444,-47,-24,-46,-60,-43,20,-33.33333333,10576400,5.01E-06,4.2E-05
9,2,10,83,516,-46,-17,-43,-61,-44,22,-31.5,10576400,7.85E-06,4.88E-05
10,2,10,29,522,-54,-21,-51,-58,-31,17,-33,10576400,2.74E-06,4.94E-05
11,2,10,48,562,-59,-28,-63,-60,-26,17,-36.5,10576400,4.54E-06,5.31E-05
12,2,10,23,576,-51,-26,-50,-63,-45,22,-35.5,10576400,2.17E-06,5.45E-05
13,2,10,49,616,-50,-21,-52,-62,-47,22,-35,10576400,4.63E-06,5.82E-05
14,2,10,61,673,-47,-16,-49,-62,-47,21,-33.33333333,10576400,5.77E-06,6.36E-05
15,2,10,89,755,-48,-19,-46,-63,-47,22,-33.5,10576400,8.41E-06,7.14E-05
16,2,10,74,829,-47,-19,-44,-63,-46,23,-32.66666667,10576400,7E-06,7.84E-05
17,2,10,57,883,-53,-21,-52,-60,-34,18,-33.66666667,10576400,5.39E-06,8.35E-05
18,2,10,96,973,-57,-27,-64,-62,-28,17,-36.83333333,10576400,9.08E-06,9.2E-05
19,2,10,108,1068,-50,-30,-52,-63,-44,22,-36.16666667,10576400,1.02E-05,0.00010098
20,2,10,137,1198,-47,-18,-48,-62,-46,21,-33.33333333,10576400,1.3E-05,0.000113271
21,2,10,101,1286,-48,-23,-51,-63,-46,22,-34.83333333,10576400,9.55E-06,0.000121591
