Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Total,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Total,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Total,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Total
Serie,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI habilitadas,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas UCI ocupadas no COVID-19,Camas base (2019),Camas base (2019),Camas base (2019),Camas base (2019),Camas base (2019),Camas base (2019),Camas base (2019),Camas base (2019),Camas base (2019),Camas base (2019),Camas base (2019),Camas base (2019),Camas base (2019),Camas base (2019),Camas base (2019),Camas base (2019),Camas base (2019)
2020-04-19,21.0,15.0,68.0,11.0,50.0,158.0,816.0,61.0,50.0,27.0,140.0,82.0,23.0,65.0,8.0,32.0,1627.0,5.0,1.0,5.0,1.0,0.0,22.0,186.0,4.0,15.0,14.0,26.0,44.0,7.0,25.0,0.0,18.0,373.0,8.0,4.0,40.0,4.0,30.0,79.0,345.0,35.0,12.0,2.0,55.0,22.0,9.0,29.0,1.0,9.0,684.0,9.0,12.0,48.0,11.0,29.0,125.0,745.0,61.0,45.0,16.0,97.0,49.0,13.0,49.0,8.0,14.0,1331.0
2020-04-26,21.0,11.0,75.0,11.0,49.0,156.0,888.0,56.0,50.0,27.0,150.0,82.0,17.0,69.0,8.0,32.0,1702.0,9.0,2.0,15.0,1.0,0.0,14.0,248.0,4.0,10.0,10.0,23.0,38.0,7.0,17.0,0.0,17.0,415.0,3.0,4.0,47.0,4.0,27.0,81.0,321.0,31.0,22.0,1.0,62.0,22.0,6.0,30.0,0.0,6.0,667.0,9.0,12.0,48.0,11.0,29.0,125.0,745.0,61.0,45.0,16.0,97.0,49.0,13.0,49.0,8.0,14.0,1331.0
2020-05-03,21.0,12.0,75.0,12.0,49.0,151.0,1004.0,65.0,58.0,27.0,142.0,75.0,22.0,72.0,8.0,32.0,1825.0,7.0,4.0,24.0,1.0,0.0,17.0,289.0,5.0,8.0,9.0,20.0,27.0,3.0,17.0,0.0,18.0,449.0,5.0,4.0,36.0,7.0,27.0,78.0,345.0,35.0,23.0,1.0,62.0,32.0,5.0,35.0,1.0,6.0,702.0,9.0,12.0,48.0,11.0,29.0,125.0,745.0,61.0,45.0,16.0,97.0,49.0,13.0,49.0,8.0,14.0,1331.0
2020-05-10,21.0,14.0,77.0,23.0,51.0,151.0,993.0,64.0,58.0,27.0,146.0,73.0,19.0,68.0,8.0,32.0,1825.0,7.0,6.0,31.0,2.0,0.0,18.0,415.0,5.0,4.0,8.0,19.0,23.0,2.0,10.0,0.0,15.0,565.0,5.0,4.0,34.0,6.0,26.0,84.0,334.0,38.0,26.0,5.0,64.0,32.0,6.0,36.0,3.0,7.0,710.0,9.0,12.0,48.0,11.0,29.0,125.0,745.0,61.0,45.0,16.0,97.0,49.0,13.0,49.0,8.0,14.0,1331.0
2020-05-17,21.0,23.0,104.0,24.0,47.0,152.0,1261.0,67.0,58.0,28.0,147.0,72.0,19.0,67.0,8.0,32.0,2130.0,8.0,12.0,49.0,3.0,1.0,27.0,595.0,10.0,8.0,5.0,14.0,17.0,0.0,9.0,0.0,11.0,769.0,6.0,10.0,40.0,7.0,34.0,78.0,365.0,45.0,26.0,9.0,76.0,38.0,11.0,33.0,4.0,10.0,792.0,9.0,12.0,48.0,11.0,29.0,125.0,745.0,61.0,45.0,16.0,97.0,49.0,13.0,49.0,8.0,14.0,1331.0
2020-05-24,21.0,29.0,110.0,21.0,56.0,163.0,1392.0,81.0,59.0,27.0,159.0,69.0,19.0,72.0,8.0,32.0,2318.0,8.0,17.0,46.0,3.0,4.0,50.0,851.0,26.0,18.0,9.0,22.0,19.0,0.0,10.0,0.0,7.0,1090.0,4.0,4.0,53.0,6.0,33.0,76.0,457.0,43.0,25.0,12.0,78.0,30.0,13.0,38.0,2.0,6.0,880.0,9.0,12.0,48.0,11.0,29.0,125.0,745.0,61.0,45.0,16.0,97.0,49.0,13.0,49.0,8.0,14.0,1331.0
2020-05-31,21.0,34.0,119.0,21.0,56.0,181.0,1587.0,90.0,63.0,30.0,168.0,68.0,20.0,78.0,8.0,32.0,2576.0,12.0,25.0,48.0,2.0,11.0,95.0,1033.0,40.0,38.0,10.0,30.0,19.0,2.0,14.0,0.0,4.0,1383.0,2.0,5.0,57.0,6.0,35.0,58.0,490.0,36.0,14.0,7.0,80.0,26.0,9.0,36.0,2.0,17.0,880.0,9.0,12.0,48.0,11.0,29.0,125.0,745.0,61.0,45.0,16.0,97.0,49.0,13.0,49.0,8.0,14.0,1331.0
2020-06-07,27.0,44.0,129.0,22.0,57.0,196.0,1742.0,95.0,78.0,30.0,188.0,72.0,20.0,83.0,8.0,32.0,2823.0,11.0,41.0,51.0,2.0,10.0,91.0,1174.0,36.0,42.0,13.0,47.0,16.0,2.0,17.0,1.0,4.0,1558.0,5.0,1.0,50.0,5.0,37.0,72.0,527.0,51.0,17.0,6.0,78.0,29.0,9.0,40.0,1.0,9.0,937.0,9.0,12.0,48.0,11.0,29.0,125.0,745.0,61.0,45.0,16.0,97.0,49.0,13.0,49.0,8.0,14.0,1331.0
2020-06-15,27.0,50.0,139.0,24.0,57.0,207.0,1903.0,104.0,78.0,30.0,183.0,68.0,22.0,85.0,8.0,32.0,3017.0,14.0,36.0,63.0,6.0,16.0,106.0,1270.0,42.0,48.0,10.0,72.0,17.0,2.0,18.0,1.0,2.0,1723.0,7.0,5.0,51.0,8.0,31.0,66.0,487.0,55.0,26.0,8.0,63.0,32.0,7.0,45.0,1.0,11.0,903.0,9.0,12.0,48.0,11.0,29.0,125.0,745.0,61.0,45.0,16.0,97.0,49.0,13.0,49.0,8.0,14.0,1331.0
