Fecha,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29
pcr,3290.0,4886.0,7387.0,3534.0,1777.0,3680.0,3046.0,2898.0,2685.0,3405.0,4483.0,3343.0,2908.0,2258.0,3269.0,7962,4444,3577,5897,2764,2759,4079,6551,5449,5018,4758,5178,3530,6365,6425,7120,6945,6763,5260,4930,6454,7898,8916,9967,6818,7913,7964,10013,12118,11735,11943,12780,13373,9283,10410,11502,16095,8813,13171,17515,16189,12469,16334,16090,15239,14426,16283,13084,13398,15650,16333,16814,19120,16890,13442,15546,18140,21780,18954,21265,20040,17777,14477,19976,18733,20223,20151,18808,14575,12636,16997,20347,20080,20115,18645,12707,12575,17446,18249,17944,18370,16799,13349,10385,10831,15585,17287,18004,16377,12065,10464,16842,17727,18268,19171,17467,12238,12209,17192,18699,17716,15728,16343,12590,12793,18867,21071,19133,19709,21544,17596,17130,20295,22874,24398,24899,24269,18857,21398,22802,25243,27037,28460,26012,22249,19348,23628,27618,28499,30882,25289,23199,19275,26278,28669,29727,31981,27454,24503,20257,27019,30274,32237
casos,220.0,164.0,304.0,299.0,230.0,310.0,289.0,293.0,373.0,333.0,424.0,310.0,344.0,301.0,430.0,426.0,529.0,426.0,286.0,312.0,392.0,356.0,534.0,445.0,478.0,358.0,419.0,325.0,464.0,516.0,494.0,552.0,473.0,482.0,552.0,770.0,888.0,985.0,1427.0,1228.0,980.0,1373.0,1032.0,1533.0,1391.0,1247.0,1647.0,1197.0,1658.0,2660.0,2659.0,2502.0,1886.0,2353.0,2278.0,3520.0,4038.0,3964.0,4276.0,3536.0,3709.0,4895.0,3964.0,4328.0,4654.0,3695.0,4220.0,4830.0,5471.0,3527.0,4942.0,4664.0,4207.0,5246.0,6405.0,4696.0,3913.0,5737.0,5596.0,6754.0,6509.0,6938.0,5143.0,5013.0,4757.0,4475.0,6290.0,5355.0,5607.0,4608.0,3804.0,3649.0,4648.0,4296.0,4406.0,4216.0,4017.0,3394.0,2650.0,2498.0,3548.0,3758.0,3685.0,3025.0,2462.0,2064.0,3133.0,3058.0,2755.0,3012.0,2616.0,1836.0,1712.0,2475.0,2840.0,2185.0,2082.0,2099.0,1656.0,1741.0,2371.0,2545.0,2287.0,2198.0,2133.0,1876.0,1773.0,1948.0,2123.0,1979.0,2081.0,1762.0,1462.0,1781.0,1947.0,2149.0,2201.0,2036.0,1988.0,1566.0,1540.0,1852.0,2077.0,1777.0,2086.0,1556.0,1336.0,1233.0,1813.0,1920.0,1926.0,1942.0,1903.0,1406.0,1371.0,1739.0,1868.0,2033
positividad,0.0669,0.0336,0.0412,0.0846,0.1294,0.0842,0.0949,0.1011,0.1389,0.0978,0.0946,0.0927,0.1183,0.1333,0.1315,0.0535,0.119,0.1191,0.0485,0.1129,0.1421,0.0873,0.0815,0.0817,0.0953,0.0752,0.0809,0.0921,0.0729,0.0803,0.0694,0.0795,0.0699,0.0916,0.112,0.1193,0.1124,0.1105,0.1432,0.1801,0.1238,0.1724,0.1031,0.1265,0.1185,0.1044,0.1289,0.0895,0.1786,0.2555,0.2312,0.1555,0.214,0.1787,0.1301,0.2174,0.3238,0.2427,0.2658,0.232,0.2571,0.3006,0.303,0.323,0.2974,0.2262,0.251,0.2526,0.3239,0.2624,0.3179,0.2571,0.1932,0.2768,0.3012,0.2343,0.2201,0.3963,0.2801,0.3605,0.3219,0.3443,0.2734,0.3439,0.3765,0.2633,0.3091,0.2667,0.2787,0.2471,0.2994,0.2902,0.2664,0.2354,0.2455,0.2295,0.2391,0.2543,0.2552,0.2306,0.2277,0.2174,0.2047,0.1847,0.2041,0.1972,0.186,0.1725,0.1508,0.1571,0.1498,0.15,0.1402,0.144,0.1519,0.1233,0.1324,0.1284,0.1315,0.1361,0.1257,0.1208,0.1195,0.1115,0.099,0.1066,0.1035,0.096,0.0928,0.0811,0.0836,0.0726,0.0775,0.0832,0.0854,0.0851,0.0814,0.0715,0.0764,0.0704,0.0796,0.0784,0.0752,0.0624,0.0675,0.0615,0.0576,0.064,0.069,0.067,0.0648,0.0607,0.0693,0.0574,0.0677,0.0644,0.0617,0.0631
mediamovil_positividad,,,,,,,0.0764,0.0813,0.0963,0.1044,0.1058,0.1006,0.1055,0.111,0.1153,0.1031,0.1061,0.1096,0.1033,0.1025,0.1038,0.0975,0.1015,0.0962,0.0928,0.0966,0.092,0.0849,0.0828,0.0826,0.0809,0.0786,0.0779,0.0794,0.0822,0.0889,0.0934,0.0993,0.1084,0.1242,0.1288,0.1374,0.1351,0.1371,0.1382,0.1327,0.1254,0.1205,0.1214,0.1431,0.1581,0.1634,0.179,0.1861,0.1919,0.1975,0.2072,0.2089,0.2246,0.2272,0.2384,0.2628,0.275,0.2749,0.2827,0.277,0.2798,0.2791,0.2824,0.2766,0.2759,0.2702,0.2654,0.2691,0.2761,0.2633,0.2572,0.2684,0.2717,0.2956,0.3021,0.3082,0.3138,0.3315,0.3287,0.3263,0.3189,0.311,0.3017,0.2979,0.2915,0.2792,0.2797,0.2691,0.2661,0.2591,0.2579,0.2515,0.2465,0.2414,0.2403,0.2363,0.2327,0.2249,0.2178,0.2095,0.2031,0.1952,0.1857,0.1789,0.1739,0.1662,0.1581,0.1521,0.1491,0.1452,0.1417,0.1386,0.136,0.1354,0.1328,0.1283,0.1278,0.1248,0.1206,0.117,0.1124,0.1081,0.1041,0.0986,0.0947,0.0909,0.0867,0.0838,0.0823,0.0812,0.0813,0.0795,0.0801,0.0791,0.0785,0.0775,0.0761,0.0734,0.0728,0.0707,0.0689,0.0667,0.0653,0.0641,0.0645,0.0635,0.0646,0.0646,0.0651,0.0645,0.0637,0.0635
