FieldName,LongName,Category,VisMin,VisMax,VisColor,Temporal
SO2,SO2,,,,,0
NO2,NO2,,,,,0
HCNM,HCNM,,,,,0
HCT,HCT,,,,,0
CH4,CH4,,,,,0
CO,CO,,,,,0
NO,NO,,,,,0
NOx,NOx,,,,,0
O3,O3,,,,,0
PM10,PM10,,,,,0
PM2_5,PM2.5,,,,,0
