filepath,name,VisMin,VisMax,VisColor,VisBrightness,Temporal,Times,Latitude,Longitude,Zoom
./Data/Rio de Janeiro/Images/Landsat_Composite_uint8.tif,Visual Composite,,,,,,,,,
./Data/Rio de Janeiro/Images/DNB_meanAnomaly.tif,Nightlights Mean Anomaly,-121.323,146.9287,,,,,,,
./Data/Rio de Janeiro/Images/DNB_Mosaic.tif,Nightlights,-603.7521,1030.739,,,,,,,
